Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,RainToday,Temp3pm,MaxTemp,Evaporation,Sunshine,Pressure9am,Pressure3pm,Temp9am
5.0,48.0,13.0,15.0,92.0,67.0,1,14.9,15.7,1.6,2.6,1017.4,1017.7,13.5
0.8,35.0,13.0,15.0,75.0,52.0,0,15.5,15.8,1.4,7.8,1022.4,1022.6,13.7
0.0,20.0,2.0,11.0,81.0,56.0,0,13.9,15.1,1.8,2.1,1027.8,1026.5,9.3
0.0,30.0,6.0,13.0,71.0,46.0,0,15.3,15.9,1.4,8.0,1028.7,1025.6,10.2
0.0,30.0,9.0,9.0,56.0,67.0,0,13.8,15.4,5.770363849765259,0.9,1023.6,1020.2,11.3
1.5663539307667422,52.0,15.0,22.0,62.0,62.0,0,14.4,15.7,5.770363849765259,1.5,1019.5,1016.2,13.0
16.2,46.0,17.0,13.0,83.0,88.0,1,9.3,11.2,4.6,1.1,1015.9,1017.9,9.8
17.0,43.0,11.0,22.0,73.0,91.0,1,10.8,13.5,0.6,2.1,1025.8,1025.9,10.9
1.8,41.0,9.0,19.0,90.0,64.0,1,13.5,14.3,1.6,0.8,1025.8,1022.7,10.8
9.0,52.0,24.0,20.0,54.0,66.0,1,11.2,13.1,1.2,7.2,1019.8,1019.6,10.9
0.2,28.0,9.0,13.0,70.0,43.0,0,13.5,14.0,2.8,4.3,1023.8,1021.2,10.0
1.5663539307667422,48.0,24.0,22.0,65.0,42.0,0,15.6,15.8,5.770363849765259,6.1,1014.0,1009.8,9.5
1.5663539307667422,54.0,17.0,28.0,67.0,47.0,0,16.5,16.8,5.770363849765259,9.1,1011.2,1009.5,11.7
3.8,48.0,15.0,19.0,85.0,72.0,1,15.2,15.4,7.0,0.5,1014.0,1015.4,13.2
4.0,43.0,17.0,24.0,91.0,72.0,1,13.0,14.7,2.8,2.3,1020.4,1020.1,12.0
0.2,39.0,7.0,19.0,74.0,52.0,0,13.9,14.1,1.6,3.8,1019.9,1015.3,10.0
0.2,44.0,17.0,22.0,58.0,61.0,0,14.7,14.7,1.6,3.5,1009.8,1007.4,10.5
1.4,39.0,9.0,19.0,86.0,58.0,1,13.7,15.3,0.8,5.9,1014.3,1012.4,9.3
1.5663539307667422,52.0,19.0,11.0,44.0,47.0,0,17.6,18.1,5.770363849765259,2.4,1004.7,997.9,14.2
1.5663539307667422,46.0,26.0,11.0,67.0,91.0,0,9.6,12.0,5.770363849765259,0.3,1000.7,1000.4,10.0
6.8,41.0,13.0,15.0,69.0,55.0,1,12.8,14.2,4.0,3.8,1021.2,1024.7,11.9
0.0,20.0,9.950125470514429,13.0,70.0,61.0,0,11.8,13.8,1.2,3.3,1032.8,1031.1,9.7
0.0,19.0,7.0,9.0,49.0,36.0,0,13.7,14.2,1.0,9.2,1033.9,1029.8,10.7
0.0,28.0,9.0,13.0,58.0,38.0,0,14.5,14.9,1.4,7.2,1027.5,1023.4,8.8
0.0,30.0,9.0,15.0,52.0,33.0,0,16.1,16.4,1.2,7.9,1022.1,1018.8,9.6
1.5663539307667422,35.0,7.0,20.0,90.0,57.0,0,12.6,13.8,5.770363849765259,9.5,1019.1,1017.3,8.8
1.6,37.0,7.0,15.0,85.0,58.0,1,11.1,11.8,5.770363849765259,8.1,1018.1,1016.2,6.9
0.0,22.0,7.0,13.0,82.0,61.0,0,12.7,14.0,4.6,7.3,1024.1,1022.4,6.4
0.0,56.0,17.0,19.0,51.0,45.0,0,12.5,13.0,0.8,0.1,1017.9,1010.3,10.5
3.4,28.0,11.0,9.0,89.0,44.0,1,15.7,16.1,1.4,7.2,1013.7,1011.7,11.5
0.8,69.0,17.0,20.0,56.0,52.0,0,18.1,19.3,1.8,5.0,1006.8,1005.2,14.4
1.8,74.0,20.0,26.0,58.0,57.0,1,13.5,13.8,1.8,5.6,1010.9,1014.6,12.2
1.5663539307667422,31.0,11.0,0.0,95.0,86.0,0,11.9,14.3,5.770363849765259,2.6,1021.4,1019.8,10.9
1.5663539307667422,39.0,15.0,19.0,54.0,37.0,0,17.8,18.1,5.770363849765259,5.6,1017.3,1012.4,11.8
8.2,31.0,9.0,6.0,92.0,92.0,1,11.7,13.8,4.4,4.4,1014.8,1015.8,10.1
16.2,26.0,6.0,11.0,95.0,75.0,1,13.6,15.0,2.6,3.3,1025.5,1025.2,10.4
1.2,48.0,17.0,13.0,90.0,92.0,1,9.5,11.9,0.4,0.5,1021.3,1016.8,10.0
11.2,43.0,9.0,17.0,70.0,52.0,1,11.9,13.2,1.2,7.0,1023.9,1024.0,9.6
0.8,41.0,20.0,20.0,91.0,47.0,0,13.7,14.4,2.0,6.5,1022.5,1022.6,10.6
1.5663539307667422,61.0,11.0,17.0,94.0,88.0,0,9.1,12.9,5.770363849765259,1.9,1022.3,1018.9,7.4
1.5663539307667422,48.0,13.0,24.0,76.0,63.0,0,10.7,11.7,5.770363849765259,7.3,1025.3,1025.6,7.7
22.0,37.0,9.0,17.0,87.0,57.0,1,13.3,13.8,5.0,9.3,1028.2,1025.9,7.7
0.8,46.0,11.0,17.0,92.0,67.0,0,13.2,14.0,1.6,5.6,1027.0,1025.6,9.9
2.2,28.0,7.0,15.0,97.0,58.0,1,12.8,13.9,1.6,9.2,1031.9,1030.8,7.1
0.0,35.0,7.0,20.0,78.0,55.0,0,12.2,12.8,2.0,0.8,1033.5,1030.3,8.9
1.6,43.0,13.0,22.0,90.0,75.0,1,12.6,13.2,1.4,5.5,1027.2,1024.0,10.6
1.5663539307667422,33.0,6.0,11.0,90.0,75.0,0,13.2,14.1,5.770363849765259,7.6,1024.9,1024.7,10.7
6.2,39.0,4.0,17.0,89.0,47.0,1,13.8,14.1,5.770363849765259,8.5,1031.1,1029.6,9.9
0.0,30.0,0.0,13.0,85.0,55.0,0,13.9,14.9,4.6,5.7,1032.5,1030.8,10.6
0.0,39.0,11.0,19.0,75.0,42.0,0,15.1,15.7,0.8,2.0,1029.9,1026.0,10.0
0.0,43.0,9.0,20.0,52.0,39.0,0,16.4,17.0,1.8,5.1,1023.5,1020.2,11.3
1.4,57.0,15.0,17.0,64.0,49.0,1,12.2,13.4,2.0,5.8,1021.9,1023.9,10.0
2.0,37.0,6.0,15.0,70.0,59.0,1,12.6,12.7,1.6,8.0,1032.0,1030.7,9.1
0.8,24.0,2.0,9.0,82.0,62.0,0,13.2,14.1,5.770363849765259,3.6,1034.1,1031.7,7.2
0.0,20.0,6.0,13.0,68.0,51.0,0,13.5,15.1,5.770363849765259,7.4,1032.9,1029.0,9.2
0.0,36.49921060940954,13.0,17.0,44.0,29.0,0,16.5,17.4,4.6,9.2,1024.3,1020.7,13.5
0.0,31.0,7.0,17.0,46.0,62.0,0,15.5,17.5,2.2,10.3,1024.0,1024.4,12.1
0.0,28.0,9.0,13.0,49.0,41.0,0,14.9,15.5,2.6,10.2,1031.2,1028.6,12.1
0.0,24.0,13.0,13.0,53.0,44.0,0,17.1,18.7,2.8,9.6,1028.7,1024.1,13.2
0.0,31.0,11.0,15.0,44.0,34.0,0,17.3,17.6,2.8,0.5,1020.6,1015.8,13.7
1.5663539307667422,48.0,20.0,22.0,76.0,61.0,0,17.7,18.6,5.770363849765259,0.5,1006.5,1003.8,13.7
8.4,50.0,20.0,28.0,75.0,58.0,1,13.7,15.2,5.770363849765259,6.2,1013.1,1016.3,11.7
0.8,44.0,17.0,26.0,76.0,54.0,0,16.4,17.1,5.8,2.8,1022.1,1021.0,10.5
1.0,30.0,7.0,15.0,68.0,39.0,0,16.1,16.8,1.6,9.3,1028.2,1028.2,13.8
0.0,37.0,19.0,11.0,52.0,37.0,0,15.8,16.8,3.4,7.5,1033.1,1030.3,13.9
0.0,35.0,17.0,9.0,36.0,36.0,0,16.2,17.5,3.0,10.3,1030.3,1025.6,14.2
0.0,28.0,6.0,13.0,60.0,34.0,0,18.2,18.8,3.2,10.8,1023.2,1020.2,12.5
0.0,37.0,13.0,17.0,47.0,24.0,0,22.0,22.6,5.770363849765259,10.3,1020.0,1016.4,16.6
1.5663539307667422,39.0,7.0,9.0,88.0,75.0,0,14.8,17.0,5.770363849765259,2.7,1021.0,1020.2,12.9
1.0,31.0,6.0,17.0,58.0,48.0,0,16.9,18.0,7.6,10.8,1026.8,1024.8,13.8
0.0,22.0,9.0,13.0,49.0,29.0,0,19.0,19.8,2.8,10.9,1028.1,1023.8,14.1
0.0,31.0,15.0,19.0,34.0,33.0,0,20.0,21.9,3.4,6.4,1020.0,1015.0,16.7
1.0,41.0,19.0,20.0,39.0,31.0,0,24.2,24.9,3.4,8.3,1009.4,1005.0,19.2
0.0,44.0,11.0,20.0,78.0,46.0,0,20.5,21.3,4.4,9.4,1006.6,1005.1,14.3
0.0,57.0,11.0,31.0,38.0,14.0,0,27.7,28.4,5.770363849765259,10.9,1005.5,998.6,20.5
1.5663539307667422,52.0,24.0,26.0,68.0,44.0,0,16.6,17.5,5.770363849765259,8.2,1008.3,1005.9,13.6
2.8,74.0,26.0,33.0,81.0,43.0,1,14.1,14.7,14.4,5.0,1005.2,1009.6,9.8
0.4,39.0,13.0,13.0,68.0,44.0,0,14.0,15.3,3.6,6.4,1024.6,1024.3,10.8
0.0,41.0,17.0,17.0,37.0,26.0,0,20.6,21.0,2.6,9.9,1022.8,1017.1,15.1
0.0,44.0,13.0,20.0,21.0,15.0,0,24.6,24.8,5.4,6.8,1010.5,1007.4,17.8
0.0,35.0,11.0,13.0,51.0,54.0,0,19.2,22.2,4.4,10.3,1008.1,1009.1,18.4
1.6,43.0,22.0,20.0,72.0,47.0,1,16.2,17.3,5.770363849765259,7.0,1014.9,1016.3,14.7
0.0,35.0,17.0,19.0,55.0,30.0,0,22.1,22.5,5.770363849765259,9.3,1016.4,1010.4,14.6
0.0,65.0,22.0,20.0,67.0,63.0,0,11.3,15.0,12.0,2.6,1005.2,1011.6,14.6
6.2,35.0,20.0,15.0,57.0,51.0,1,16.7,16.8,2.6,10.5,1024.7,1026.1,13.9
0.0,28.0,9.0,13.0,58.0,38.0,0,19.0,19.4,3.4,9.4,1032.1,1027.5,13.7
0.0,41.0,22.0,22.0,30.0,22.0,0,23.2,23.9,3.0,11.0,1025.2,1019.7,18.1
0.0,39.0,15.0,17.0,18.0,11.0,0,27.3,28.0,5.6,11.5,1020.1,1016.2,21.3
0.0,65.0,19.0,31.0,11.0,9.0,0,33.2,33.7,5.770363849765259,10.0,1012.2,1005.8,25.3
0.0,39.0,9.0,17.0,73.0,60.0,0,16.9,19.1,5.770363849765259,6.0,1020.3,1019.0,13.9
1.2,31.0,9.0,19.0,47.0,40.0,1,15.7,16.7,16.4,11.4,1024.2,1022.2,14.8
0.0,39.0,13.0,11.0,41.0,25.0,0,22.1,22.8,3.6,9.7,1021.4,1015.6,15.1
0.0,65.0,22.0,24.0,14.0,48.0,0,23.7,27.2,6.8,7.7,1006.9,1007.1,21.1
0.0,28.0,7.0,13.0,67.0,38.0,0,23.9,24.8,4.0,8.6,1016.0,1012.1,16.8
0.4,31.0,2.0,19.0,76.0,79.0,0,16.2,20.4,4.2,0.7,1015.0,1013.8,16.3
1.5663539307667422,31.0,9.0,17.0,46.0,42.0,0,16.4,17.3,5.770363849765259,11.7,1019.4,1017.7,14.0
1.5663539307667422,33.0,7.0,13.0,42.0,24.0,0,22.4,22.8,5.770363849765259,11.8,1017.0,1012.7,15.7
1.5663539307667422,36.49921060940954,22.0,20.0,66.0,34.0,0,15.3,22.898934169278995,5.770363849765259,8.7,1021.3,1023.2,12.1
2.8,36.49921060940954,9.950125470514429,19.0,59.70106649937265,47.0,1,15.1,16.4,14.0,3.9,1018.764081632653,1023.5,16.92904642409034
0.2,30.0,6.0,19.0,91.0,48.0,0,16.7,18.1,2.6,8.5,1025.8,1024.9,11.1
1.2,28.0,4.0,15.0,60.0,41.0,1,20.5,21.1,2.6,12.0,1027.8,1024.6,14.3
0.0,28.0,15.0,11.0,36.0,19.0,0,25.8,26.6,4.6,12.1,1026.1,1023.6,19.2
0.0,35.0,7.0,19.0,46.0,15.0,0,27.7,29.1,5.770363849765259,12.0,1023.7,1020.5,17.6
0.6,54.0,19.0,28.0,12.0,8.0,0,30.4,31.9,5.770363849765259,8.8,1015.7,1011.0,24.1
0.0,39.0,17.0,19.0,54.0,40.0,0,18.5,19.0,19.0,11.1,1020.8,1021.2,14.6
0.0,37.0,15.0,19.0,44.0,38.0,0,17.6,18.4,5.0,6.2,1027.2,1026.2,13.3
0.0,35.0,9.0,19.0,59.0,49.0,0,18.8,19.8,4.0,10.7,1029.2,1025.9,13.8
0.0,26.0,2.0,15.0,61.0,28.0,0,24.8,25.5,4.4,12.1,1025.1,1020.5,15.5
0.0,30.0,6.0,13.0,33.0,13.0,0,30.5,31.0,5.2,12.0,1020.3,1017.3,22.0
0.0,30.0,11.0,19.0,17.0,5.0,0,33.8,34.6,5.770363849765259,9.5,1017.6,1016.1,25.6
0.0,35.0,15.0,13.0,62.0,46.0,0,21.7,22.2,5.770363849765259,12.4,1023.1,1023.3,17.5
0.0,33.0,17.0,17.0,51.0,30.0,0,20.2,20.7,18.8,7.747993216506501,1029.3,1027.5,14.3
0.0,35.0,7.0,15.0,47.0,31.0,0,19.7,20.3,5.4,12.6,1030.9,1029.9,13.9
0.0,31.0,9.0,20.0,47.0,34.0,0,18.6,20.7,5.6,10.6,1032.5,1028.8,12.9
0.0,26.0,0.0,6.0,54.0,14.0,0,24.5,26.6,4.4,5.1,1027.2,1023.1,15.7
0.0,35.0,11.0,17.0,9.0,5.0,0,30.3,30.9,4.4,11.7,1019.8,1015.9,24.1
0.0,41.0,17.0,17.0,5.0,6.0,0,33.7,34.7,5.770363849765259,3.5,1010.8,1006.5,26.4
0.0,50.0,15.0,20.0,64.0,44.0,0,22.3,23.7,5.770363849765259,6.9,1006.2,1008.1,18.1
2.8,35.0,13.0,13.0,83.0,46.0,1,18.5,20.1,20.0,5.5,1016.7,1017.9,14.6
0.0,43.0,7.0,13.0,53.0,34.0,0,22.3,24.1,3.2,12.8,1024.4,1020.8,15.4
0.0,46.0,19.0,17.0,44.0,25.0,0,25.9,26.8,6.6,7.747993216506501,1018.5,1014.6,19.1
0.0,46.0,15.0,24.0,24.0,28.0,0,28.7,29.8,5.770363849765259,12.2,1009.1,1009.3,25.1
0.0,46.0,20.0,17.0,73.0,60.0,0,17.5,18.1,7.6,12.1,1018.1,1020.0,15.4
1.5663539307667422,39.0,19.0,11.0,56.0,34.0,0,23.8,26.2,5.770363849765259,7.747993216506501,1022.3,1018.1,15.7
1.4,44.0,11.0,24.0,82.0,55.0,1,23.7,26.3,5.770363849765259,6.2,1014.0,1012.9,18.8
0.0,39.0,15.0,20.0,50.0,39.0,0,19.9,21.2,15.2,10.0,1021.9,1020.1,14.8
0.0,44.0,13.0,9.0,54.0,26.0,0,25.0,25.9,5.8,9.0,1019.5,1012.9,15.1
0.8,44.0,17.0,20.0,85.0,45.0,0,21.0,23.9,4.8,9.7,1009.7,1010.8,17.6
0.0,50.0,6.0,7.0,51.0,17.0,0,28.8,29.5,6.0,8.6,1011.6,1007.3,18.7
0.2,56.0,17.0,28.0,58.0,51.0,0,18.4,22.5,8.0,1.4,1001.0,1004.7,22.4
1.6,48.0,20.0,24.0,60.0,42.0,1,17.7,19.0,5.770363849765259,4.7,1013.1,1015.6,14.9
0.2,30.0,15.0,17.0,58.0,43.0,0,22.3,22.7,5.770363849765259,9.2,1021.5,1020.7,17.0
0.0,24.0,6.0,13.0,57.0,25.0,0,27.2,28.6,13.0,12.9,1023.5,1020.4,18.8
0.0,39.0,13.0,20.0,25.0,8.0,0,33.5,34.5,6.6,11.7,1017.0,1013.2,26.8
0.0,44.0,15.0,17.0,12.0,7.0,0,36.2,36.6,11.4,9.9,1011.2,1006.5,31.3
0.0,44.0,11.0,17.0,49.0,56.0,0,22.0,26.2,10.2,11.3,1006.6,1008.6,24.8
0.0,41.0,15.0,22.0,60.0,42.0,0,19.8,20.7,5.6,11.1,1016.1,1015.7,16.4
