MinTemp,Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Pressure3pm,Sunshine,Pressure9am
19.6,0.0,87.0,17.0,16.0,0.0,3.0,0,1005.8,9.8,1010.5
21.0,1.2,41.0,18.0,13.0,2.0,5.0,1,1004.6,12.2,1009.3
22.9,0.0,48.0,17.0,11.0,0.0,3.0,0,1003.4,12.6,1006.3
24.7,0.0,72.0,29.0,24.0,3.0,6.0,0,1006.9,7.8,1008.7
23.4,0.2,46.0,58.0,43.0,7.0,6.0,0,1010.7,4.1,1014.0
21.7,2.6,35.0,90.0,78.0,8.0,7.0,1,1011.1,0.2,1014.3
20.9,4.8,31.0,70.0,77.0,7.0,8.0,1,1009.9,2.1,1011.4
17.7,0.6,26.0,63.0,27.0,3.0,1.0,0,1005.9,12.2,1010.9
24.4,0.0,50.0,40.0,20.0,3.0,3.0,0,1002.6,11.0,1006.2
25.3,0.0,54.0,38.0,51.0,4.0,7.0,0,1004.4,8.7,1005.9
25.0,0.0,63.0,50.0,73.0,7.0,7.0,0,1001.3,4.2,1005.6
20.7,14.4,41.0,88.0,37.0,6.0,6.0,1,1002.7,8.4,1005.2
16.6,0.0,37.0,55.0,39.0,3.0,1.0,0,1009.6,13.3,1012.9
13.7,0.0,46.0,37.0,24.0,0.0,0.0,0,1010.5,13.3,1014.1
13.1,0.0,35.0,30.0,15.0,0.0,0.0,0,1009.6,13.4,1013.7
13.6,0.0,31.0,21.0,15.0,0.0,0.0,0,1007.9,13.4,1011.9
15.7,0.0,35.0,18.0,11.0,0.0,0.0,0,1004.9,13.4,1009.3
19.6,0.0,41.0,21.0,12.0,3.0,2.0,0,1004.9,10.4,1007.4
24.5,0.0,41.0,32.0,19.0,6.0,4.0,0,1006.6,9.6,1010.1
19.4,0.0,41.0,20.0,14.0,2.0,3.0,0,1007.0,13.0,1010.9
19.9,0.0,30.0,11.0,12.0,3.0,2.0,0,1004.1,12.5,1007.8
21.5,0.0,33.0,16.0,13.0,2.0,3.0,0,1004.9,11.5,1007.7
21.6,0.0,48.0,12.0,13.0,6.0,6.0,0,1005.0,9.7,1007.9
22.5,0.0,37.0,17.0,19.0,6.0,5.0,0,1005.7,9.8,1009.8
27.2,0.0,30.0,30.0,22.0,6.0,6.0,0,1006.1,6.4,1010.2
26.8,0.0,69.0,21.0,58.0,6.0,8.0,0,1003.5,6.0,1006.3
23.1,21.4,22.0,77.0,51.0,7.0,6.0,1,1005.0,3.0,1009.0
23.3,0.2,46.0,71.0,37.0,7.0,7.0,0,1003.8,1.8,1007.3
21.9,9.4,39.0,65.0,28.0,4.0,6.0,1,1006.3,7.9,1008.5
18.7,0.0,37.0,21.0,14.0,3.0,6.0,0,1006.2,12.8,1009.6
18.0,0.0,37.0,18.0,14.0,2.0,6.0,0,1003.4,7.6,1007.3
22.2,0.0,54.0,18.0,12.0,5.0,4.0,0,1002.9,10.1,1005.8
22.1,0.0,50.0,20.0,12.0,2.0,2.0,0,1005.9,13.2,1009.2
18.6,0.0,54.0,17.0,20.0,0.0,2.0,0,1004.4,12.9,1009.3
