MinTemp,Rainfall,Humidity9am,Humidity3pm,RainToday,Temp3pm
13.3,0.0,67.0,51.38185511171293,0,22.522698145025295
14.7,0.0,59.0,54.0,0,22.2
13.6,0.0,57.0,51.0,0,21.7
17.7,0.0,62.0,43.0,0,30.6
15.5,0.0,67.0,19.0,0,37.6
14.0,0.0,56.0,13.0,0,38.0
15.3,0.0,69.0,19.0,0,39.8
18.9,0.0,75.0,70.0,0,20.1
14.8,0.4,65.0,46.0,0,21.1
11.9,0.2,63.0,43.0,0,24.2
12.6,0.0,61.0,40.0,0,29.0
15.3,4.0,78.0,50.0,1,27.7
18.4,0.0,83.0,40.0,0,30.5
15.9,0.0,70.0,21.0,0,39.2
18.0,0.0,43.0,16.0,0,40.7
14.6,0.4,50.0,22.0,0,33.9
15.5,0.0,53.0,38.0,0,21.8
10.3,0.0,58.0,28.0,0,27.6
11.3,0.0,63.0,18.0,0,30.3
14.6,0.0,61.0,20.0,0,37.8
20.5,0.4,58.0,31.0,0,35.0
19.6,19.4,69.0,41.0,1,32.4
20.3,0.2,63.0,44.0,0,33.3
20.8,0.0,61.0,15.0,0,39.6
18.7,0.0,61.0,39.0,0,27.7
19.7,0.0,65.0,55.0,0,29.1
19.3,3.6,93.0,71.0,1,26.5
16.3,0.0,83.0,34.0,0,34.1
16.1,0.0,75.0,29.0,0,33.6
17.4,0.0,68.0,36.0,0,33.2
15.9,0.0,75.0,32.0,0,36.4
18.3,0.0,70.0,49.0,0,29.6
19.5,0.0,78.0,34.0,0,34.2
19.5,0.0,67.0,42.0,0,29.3
20.6,0.0,72.0,46.0,0,32.0
18.9,0.0,75.0,23.0,0,38.6
20.4,0.0,65.0,36.0,0,37.1
19.2,0.8,59.0,14.0,0,41.5
17.0,0.0,51.0,28.0,0,38.6
20.6,0.0,79.0,78.0,0,20.6
16.6,2.0,92.0,93.0,1,19.3
15.5,4.6,79.0,70.0,1,19.5
14.3,4.2,78.0,69.0,1,19.3
14.3,1.0,89.0,51.0,0,20.4
14.6,21.2,94.0,92.0,1,16.5
15.0,36.0,91.0,82.0,1,21.9
16.2,23.4,78.0,56.0,1,23.2
15.8,0.8,91.0,61.0,0,21.1
17.0,9.8,89.0,61.0,1,24.9
16.6,0.0,78.0,46.0,0,30.2
17.4,0.2,76.0,40.0,0,30.8
20.2,1.0,92.0,77.0,0,22.0
17.8,0.2,80.0,59.0,0,25.1
17.4,0.0,73.0,52.0,0,28.8
16.6,4.2,91.0,51.0,1,29.5
19.5,0.2,84.0,59.0,0,27.9
16.5,0.0,75.0,52.0,0,24.0
12.9,0.0,78.0,46.0,0,25.3
12.7,0.0,81.0,44.0,0,30.8
17.6,0.0,78.0,52.0,0,27.3
18.1,0.0,85.0,50.0,0,26.9
16.2,0.0,91.0,50.0,0,26.3
19.7,0.0,88.0,48.0,0,22.5
9.4,0.0,44.0,24.0,0,24.8
8.6,0.0,76.0,39.0,0,24.2
13.1,0.0,80.0,34.0,0,27.8
17.4,0.0,80.0,66.0,0,23.7
16.0,12.4,98.0,70.0,1,23.5
16.9,0.8,96.0,55.0,0,25.0
14.4,0.2,73.0,75.0,0,21.1
14.6,4.8,99.0,53.0,1,25.3
