Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Cloud9am,RainToday,Temp3pm,MaxTemp,Pressure9am,Pressure3pm
3.2,52.0,26.0,30.0,71.0,37.0,6.0,1,15.7,17.6,1008.2,1007.5
0.4,44.0,20.0,24.0,66.0,47.0,6.0,0,17.6,19.5,1009.3,1007.3
0.6,43.0,22.0,20.0,82.0,42.0,4.0,0,16.5,18.8,1009.5,1011.5
0.2,39.0,9.0,22.0,60.0,33.0,4.0,0,20.6,21.8,1016.2,1012.6
1.2,61.0,30.0,39.0,74.0,40.0,6.0,1,24.3,25.6,1006.6,1005.5
0.0,61.0,15.0,39.0,76.0,42.0,6.0,0,20.8,23.0,1009.6,1005.7
0.0,39.0,20.0,24.0,71.0,42.0,4.0,0,15.6,16.4,1012.3,1012.1
0.2,43.0,17.0,7.0,64.0,30.0,4.0,0,20.6,23.1,1014.0,1010.5
0.0,35.0,9.0,19.0,55.0,87.0,8.0,0,12.4,17.6,1007.5,1006.4
5.0,50.0,28.0,22.0,71.0,43.0,6.0,1,18.1,18.3,1011.8,1010.9
0.0,54.0,28.0,26.0,67.0,28.0,0.0,0,22.9,23.8,1013.8,1011.0
0.0,41.0,24.0,11.0,47.0,97.0,8.0,0,15.3,19.6,1006.2,1002.2
53.6,63.0,26.0,39.0,99.0,99.0,8.0,1,13.0,13.9,990.5,996.5
11.0,46.0,19.0,26.0,99.0,71.0,8.0,1,15.0,16.2,1005.8,1007.5
1.4,37.0,17.0,20.0,72.0,50.0,8.0,1,16.9,18.7,1012.3,1011.2
0.0,35.0,15.0,24.0,84.0,57.0,7.0,0,17.9,19.1,1012.5,1011.6
1.8,31.0,7.0,7.0,91.0,64.0,7.0,1,18.7,20.1,1012.3,1008.8
0.6,48.0,15.0,22.0,86.0,49.0,7.0,0,18.8,19.2,1005.6,1005.1
1.4,52.0,26.0,26.0,69.0,41.0,6.0,1,16.3,16.9,1014.1,1014.6
0.0,37.0,22.0,20.0,76.0,44.0,6.0,0,20.6,21.4,1020.4,1018.0
0.0,46.0,20.0,28.0,44.0,32.0,1.0,0,25.2,26.7,1017.6,1013.8
0.0,72.0,44.0,41.0,39.0,21.0,6.0,0,30.2,32.2,1007.6,1004.2
0.0,44.0,26.0,24.0,90.0,52.0,8.0,0,18.0,20.1,1013.2,1012.7
0.2,33.0,15.0,17.0,68.0,27.0,2.0,0,24.0,24.8,1013.2,1011.3
0.0,37.0,13.0,9.0,61.0,32.0,2.0,0,22.7,25.5,1014.2,1012.3
0.0,46.0,22.0,11.0,42.0,32.0,5.0,0,26.9,28.9,1010.3,1008.1
0.0,43.0,13.0,19.0,55.0,43.0,4.0,0,26.5,28.0,1006.1,1003.2
0.0,44.0,17.0,26.0,62.0,44.0,3.0,0,22.8,25.6,1003.9,1002.7
0.0,46.0,17.0,24.0,70.0,40.0,6.0,0,17.4,19.8,1008.2,1008.0
2.4,61.0,22.0,37.0,99.0,45.0,8.0,1,18.0,20.1,1003.6,1003.2
0.2,39.0,15.0,26.0,81.0,44.0,8.0,0,17.2,20.4,1006.1,1004.7
0.2,54.0,26.0,30.0,87.0,48.0,8.0,0,16.0,17.0,1004.7,1006.5
0.4,52.0,26.0,28.0,70.0,35.0,6.0,0,15.9,17.0,1017.2,1017.6
0.0,31.0,20.0,11.0,61.0,26.0,2.0,0,20.0,22.5,1018.7,1015.9
0.0,39.0,19.976912928759894,11.0,24.0,14.0,3.0,0,27.1,28.8,1014.8,1012.8
0.0,41.0,6.0,20.0,42.0,12.0,3.0,0,28.3,29.6,1012.1,1010.6
0.0,41.0,9.0,19.0,48.0,30.0,0.0,0,29.9,30.3,1010.6,1008.0
0.0,44.0,15.0,24.0,99.0,64.0,8.0,0,18.0,21.1,1009.2,1009.9
0.0,50.0,26.0,28.0,71.0,36.0,3.0,0,16.9,18.2,1016.7,1017.2
0.0,44.0,24.0,20.0,57.0,32.0,3.0,0,19.6,20.4,1019.5,1016.3
0.0,44.0,13.0,6.0,61.0,16.0,4.0,0,24.9,26.7,1011.9,1008.6
0.0,48.0,15.0,15.0,70.0,19.0,6.0,0,25.1,27.1,1010.0,1008.9
0.0,39.0,20.0,17.0,86.0,30.0,8.0,0,24.2,26.6,1017.6,1015.9
0.0,50.0,20.0,22.0,20.0,13.0,0.0,0,33.1,34.9,1013.8,1010.5
0.0,41.0,19.0,13.0,16.0,25.0,1.0,0,32.7,33.9,1009.0,1007.8
0.0,48.0,28.0,22.0,63.0,33.0,5.0,0,21.8,23.5,1014.8,1014.2
0.0,54.0,26.0,30.0,66.0,43.0,6.0,0,16.3,18.6,1017.2,1018.3
0.0,44.0,28.0,22.0,54.0,32.0,1.0,0,20.2,21.7,1021.3,1020.6
0.0,35.0,20.0,19.0,38.0,13.0,0.0,0,28.0,29.1,1019.4,1017.2
0.0,43.0,20.0,24.0,20.0,8.0,0.0,0,32.5,34.2,1013.8,1009.8
0.0,67.0,22.0,30.0,21.0,18.0,0.0,0,31.0,36.5,1006.7,1006.7
0.0,43.0,7.0,15.0,66.0,17.0,3.0,0,29.9,32.1,1009.5,1006.2
0.0,83.0,37.0,50.0,28.0,28.0,7.0,0,27.0,30.6,998.5,996.6
0.0,54.0,11.0,30.0,58.0,18.0,3.0,0,24.8,27.1,1007.0,1003.0
0.0,54.0,28.0,28.0,77.0,33.0,8.0,0,20.2,21.6,1007.3,1010.8
0.0,37.0,9.0,13.0,49.0,7.0,0.0,0,28.1,29.6,1016.9,1016.2
0.2,39.0,30.0,20.0,70.0,30.0,0.0,0,26.2,27.7,1017.8450928381963,1016.271201061712
0.0,39.0,11.0,9.0,51.0,11.0,0.0,0,34.5,36.3,1016.8,1014.1
0.0,48.0,22.0,17.0,17.0,8.0,0.0,0,39.1,40.0,1012.8,1010.7
0.0,61.0,35.0,33.0,20.0,12.0,1.0,0,39.9,41.4,1011.9,1010.7
0.0,54.0,20.0,17.0,17.0,9.0,0.0,0,39.0,41.1,1013.2,1010.6
0.0,67.0,22.0,33.0,34.0,31.0,2.0,0,34.2,39.2,1013.3,1012.7
0.0,54.0,31.0,30.0,72.0,25.0,4.0,0,32.7,34.7,1014.8,1012.4
0.0,46.0,11.0,19.0,79.0,36.0,7.0,0,31.0,32.0,1012.0,1009.9
0.0,59.0,35.0,33.0,80.0,51.0,6.0,0,24.9,27.3,1011.9,1010.3
0.0,39.0,13.0,13.0,70.0,11.0,2.0,0,33.0,34.7,1008.4,1005.6
0.0,39.0,2.0,20.0,27.0,30.0,0.0,0,30.9,33.0,1006.3,1006.8
0.0,41.0,11.0,24.0,57.0,16.0,0.0,0,35.0,36.7,1008.3,1006.7
0.0,93.0,39.0,61.0,25.0,6.0,0.0,0,43.1,44.1,1004.3,1000.1
0.0,44.0,20.0,26.0,73.0,37.0,7.0,0,19.9,21.3,1011.4,1012.5
1.2,54.0,31.0,26.0,58.0,37.0,2.0,1,18.2,18.9,1015.6,1014.7
0.0,50.0,30.0,33.0,66.0,49.0,3.0,0,14.3,17.2,1016.2,1016.2
0.0,57.0,28.0,35.0,73.0,42.0,7.0,0,15.5,18.0,1018.2,1017.8
0.0,44.982718511133264,31.0,35.0,72.0,36.0,2.0,0,19.4,21.0,1020.0,1019.7
0.0,56.0,20.0,9.0,54.0,25.0,0.0,0,23.2,24.5,1024.1,1022.1
0.0,44.0,22.0,11.0,46.0,24.0,0.0,0,25.9,27.4,1022.0,1018.4
0.0,56.0,24.0,30.0,75.0,47.0,7.0,0,21.7,23.5,1017.3,1016.4
0.0,52.0,17.0,7.0,70.0,26.0,0.0,0,27.1,28.7,1017.9,1015.3
0.0,46.0,30.0,11.0,43.0,26.0,0.0,0,26.1,29.1,1016.0,1013.9
0.0,57.0,13.0,15.0,42.0,22.0,2.0,0,27.9,30.4,1012.1,1009.1
0.0,48.0,4.0,20.0,24.0,17.0,0.0,0,29.5,31.3,1008.3,1006.3
0.0,41.0,17.0,20.0,76.0,48.0,8.0,0,19.5,20.9,1012.5,1012.9
0.0,48.0,26.0,31.0,82.0,38.0,7.0,0,21.9,23.3,1017.8450928381963,1016.271201061712
0.2,46.0,28.0,11.0,71.0,28.0,0.0,0,27.0,28.5,1015.9,1012.9
0.0,57.0,19.0,28.0,53.0,14.0,6.0,0,30.5,31.8,1010.9,1008.3
0.0,44.0,24.0,26.0,67.0,31.0,1.0,0,17.9,19.8,1018.0,1017.4
0.0,44.0,24.0,24.0,78.0,47.0,8.0,0,20.3,22.3,1019.4,1017.6
0.0,56.0,24.0,11.0,71.0,20.0,0.0,0,28.9,30.2,1017.3,1015.7
0.0,52.0,31.0,28.0,36.0,17.0,6.0,0,30.2,32.4,1013.6,1010.5
0.8,46.0,33.0,22.0,70.0,36.0,6.0,0,21.3,22.0,1011.9,1011.2
0.0,43.0,28.0,24.0,83.0,59.0,7.0,0,17.0,18.9,1013.7,1013.7
0.0,46.0,31.0,19.0,66.0,22.0,2.0,0,24.7,26.5,1013.9,1011.1
0.8,89.0,41.0,61.0,55.0,33.0,8.0,0,27.2,31.7,1006.6,1001.0
2.0,63.0,26.0,37.0,74.0,63.0,4.0,1,13.2,16.2,1011.4,1012.2
2.8,44.0,17.0,24.0,99.0,74.0,8.0,1,14.6,15.3,1015.8,1015.9
2.0,44.982718511133264,15.0,17.0,85.0,57.0,7.0,1,15.2,16.4,1016.0,1014.7
0.0,30.0,17.0,22.0,79.0,56.0,7.0,0,16.8,18.6,1016.0,1015.7
0.0,54.0,31.0,31.0,71.0,56.0,6.0,0,16.5,18.8,1019.4,1018.8
0.0,52.0,24.0,20.0,75.0,30.0,8.0,0,25.1,26.2,1019.7,1017.3
0.0,59.0,26.0,15.0,88.0,46.0,3.0,0,25.1,26.8,1019.3,1017.8
0.8,54.0,11.0,26.0,88.0,31.0,7.0,0,27.0,28.6,1020.3,1017.8
3.0,48.0,17.0,31.0,100.0,66.0,8.0,1,22.2,23.0,1017.8,1016.1
0.2,39.0,11.0,13.0,100.0,42.0,0.0,0,24.7,28.0,1016.4,1014.1
2.4,72.0,33.0,22.0,97.0,79.0,8.0,1,14.8,18.3,1010.4,1007.2
16.4,56.0,26.0,28.0,87.0,57.0,3.0,1,14.3,15.6,1011.4,1010.4
1.0,46.0,24.0,24.0,99.0,73.0,8.0,0,14.6,16.4,1012.0,1012.7
2.8,31.0,22.0,17.0,98.0,57.0,6.0,1,15.9,17.3,1017.4,1016.7
0.0,43.0,7.0,24.0,80.0,22.0,1.0,0,22.1,23.4,1016.0,1013.6
0.0,56.0,17.0,17.0,37.0,19.0,1.0,0,29.1,30.3,1013.6,1011.5
0.0,52.0,19.976912928759894,24.0,73.0,26.0,0.0,0,28.7,29.9,1014.7,1012.7
0.0,59.0,22.0,43.0,30.0,12.0,0.0,0,31.5,33.1,1013.3,1009.8
0.0,43.0,15.0,20.0,91.0,59.0,8.0,0,20.5,22.2,1012.1,1012.1
0.0,37.0,19.0,20.0,92.0,47.0,7.0,0,18.5,20.1,1015.8,1014.6
0.0,39.0,13.0,11.0,78.0,25.0,3.0,0,20.3,20.6,1015.9,1015.3
5.8,28.0,6.0,9.0,100.0,60.0,6.0,1,20.2,23.3,1015.4,1015.1
0.2,44.0,0.0,22.0,92.0,45.0,5.0,0,20.3,21.2,1019.7,1020.5
0.0,37.0,13.0,17.0,92.0,42.0,2.0,0,18.0,19.7,1026.1,1024.5
