Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Pressure9am,Pressure3pm
0.0,44.0,47.0,23.0,2.0,5.0,0,19.4,21.7,1009.1,1007.5
0.0,48.0,49.0,29.0,1.0,5.0,0,21.2,23.0,1010.4,1007.8
0.0,44.0,49.0,23.0,5.0,3.0,0,21.8,23.7,1009.4,1010.7
0.0,41.0,50.0,22.0,2.0,8.0,0,23.6,24.6,1017.0,1012.5
0.2,54.0,68.0,29.0,7.0,1.0,0,29.2,30.3,1008.0,1005.0
0.2,54.0,60.0,29.0,1.0,4.0,0,26.2,27.2,1010.0,1005.6
0.2,43.0,47.0,26.0,1.0,1.0,0,20.4,22.0,1012.4,1010.7
0.0,35.0,47.0,17.0,0.0,1.0,0,23.5,25.5,1014.2,1010.6
0.0,39.0,44.0,42.0,7.0,8.0,0,18.9,22.0,1007.0,1006.2
3.2,39.0,62.0,30.0,1.0,3.0,1,21.6,23.2,1010.4,1009.3
0.2,43.0,43.0,13.0,1.0,2.0,0,26.3,28.7,1012.8,1009.7
0.0,44.0,57.0,94.0,8.0,8.0,0,16.6,19.9,1007.1,1001.9
30.4,70.0,94.0,68.0,8.0,6.0,1,18.6,20.2,989.5,994.6
4.0,50.0,79.0,41.0,8.0,6.0,1,20.8,21.5,1004.7,1005.4
0.0,41.0,58.0,37.0,7.0,1.0,0,18.8,21.2,1012.7,1011.2
0.0,39.0,49.0,41.0,1.0,6.0,0,22.0,23.9,1012.5,1011.2
1.2,24.0,86.0,58.0,7.0,7.0,1,20.9,22.0,1012.5,1008.4
10.0,44.0,95.0,44.0,8.0,3.0,1,20.3,21.8,1006.1,1004.1
5.8,43.0,58.0,32.0,3.0,2.0,1,17.8,20.3,1013.5,1013.6
0.0,35.0,51.0,24.0,1.0,1.0,0,23.0,24.4,1019.9,1017.3
0.0,41.0,54.0,24.0,1.0,6.0,0,26.7,28.6,1018.1,1013.8
0.0,38.85,38.0,15.0,4.0,7.0,0,34.4,35.0,1009.6,1004.3
0.0,48.0,60.0,34.0,6.0,1.0,0,23.1,24.3,1012.0,1011.2
0.0,37.0,53.0,10.0,1.0,1.0,0,27.7,28.7,1012.2,1010.2
0.0,44.0,48.0,23.0,1.0,3.0,0,29.0,30.4,1013.4,1010.9
0.0,41.0,46.0,23.0,7.0,5.0,0,30.7,33.4,1010.5,1007.3
0.2,46.0,70.0,32.0,6.0,4.0,0,29.7,32.1,1006.8,1002.3
0.0,46.0,49.0,25.0,1.0,2.0,0,27.8,29.5,1004.8,1002.7
0.0,46.0,49.0,25.0,3.0,5.0,0,23.2,24.1,1008.3,1007.0
0.2,56.0,68.0,25.0,7.0,6.0,0,23.6,25.2,1004.0,1002.4
0.8,41.0,51.0,25.0,7.0,1.0,0,22.6,24.5,1006.7,1004.5
0.0,56.0,53.0,27.0,1.0,3.0,0,23.1,24.6,1005.4,1004.7
0.0,43.0,49.0,23.0,1.0,1.0,0,19.6,21.2,1017.3,1016.9
0.0,35.0,47.0,13.0,1.0,6.0,0,25.0,26.8,1018.8,1015.4
0.0,43.0,28.0,6.0,1.0,5.0,0,30.2,31.9,1015.0,1012.0
0.0,54.0,31.0,3.0,2.0,1.0,0,33.3,34.2,1012.0,1009.8
0.0,44.0,44.0,13.0,0.0,1.0,0,34.0,35.3,1010.7,1007.2
0.0,48.0,55.0,34.0,1.0,2.0,0,27.8,29.6,1007.6,1007.3
0.0,46.0,40.0,24.0,1.0,1.0,0,21.9,23.4,1016.5,1015.7
