MinTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir3pm,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Pressure3pm,Sunshine,Pressure9am
25.2,0.4,45.0,31.0,67.5,62.0,66.0,5.0,7.0,0,1008.1,6.4,1011.3
24.2,8.4,45.0,35.0,45.0,75.0,62.0,7.0,7.0,1,1008.0,5.3,1011.9
23.9,0.6,157.5,31.0,90.0,69.0,42.0,7.0,5.0,0,1009.9,11.3,1012.2
22.2,0.0,135.0,39.0,112.5,60.0,31.0,2.0,1.0,0,1010.9,12.3,1013.3
23.2,0.0,135.0,43.0,112.5,64.0,56.0,4.0,2.0,0,1011.0,11.8,1013.8
24.7,0.0,45.0,33.0,45.0,64.0,67.0,1.0,2.0,0,1009.2,10.6,1012.7
23.9,0.0,22.5,28.0,45.0,70.0,73.0,2.0,3.0,0,1007.1,9.2,1010.9
26.6,0.0,22.5,30.0,22.5,65.0,69.0,6.0,4.0,0,1005.8,7.2,1009.8
26.1,4.6,22.5,28.0,0.0,72.0,77.0,7.0,7.0,1,1006.9,7.1,1009.5
26.0,0.2,67.5,28.0,22.5,80.0,72.0,7.0,7.0,0,1007.5,4.0,1009.9
25.3,0.4,67.5,33.0,45.0,64.0,57.0,3.0,4.0,0,1006.6,12.0,1010.6
22.9,0.0,67.5,31.0,180.0,55.0,57.0,1.0,5.0,0,1007.6,8.4,1010.5
24.7,0.0,22.5,30.0,45.0,63.0,68.0,3.0,1.0,0,1006.3,12.1,1009.5
26.5,0.0,0.0,37.0,22.5,57.0,68.0,4.0,3.0,0,1003.2,10.5,1007.2
23.8,31.8,180.0,35.0,0.0,79.0,74.0,7.0,5.0,1,1005.0,7.2,1008.8
25.5,0.2,157.5,41.0,135.0,64.0,59.0,6.0,5.0,0,1007.4,7.0,1009.8
25.1,0.0,67.5,37.0,0.0,64.0,77.0,4.0,7.0,0,1008.9,5.5,1011.0
23.8,3.6,157.5,28.0,22.5,69.0,70.0,6.0,4.0,1,1007.7,7.8,1010.7
25.3,0.0,0.0,24.0,45.0,71.0,69.0,7.0,7.0,0,1006.8,1.6,1008.6
25.2,0.0,0.0,26.0,22.5,70.0,72.0,7.0,7.0,0,1006.6,3.8,1008.4
23.0,0.0,45.0,35.0,45.0,68.0,63.0,5.0,2.0,0,1007.3,9.8,1009.8
25.3,0.2,90.0,35.0,22.5,63.0,56.0,5.0,2.0,0,1009.3,10.7,1011.1
24.1,10.8,135.0,38.031436135009926,112.5,79.0,60.0,7.0,6.0,1,1008.8,4.8,1011.7
25.5,0.0,90.0,37.0,112.5,62.0,50.0,6.0,7.0,0,1007.9,9.7,1011.4
21.8,0.0,67.5,35.0,90.0,56.0,51.0,2.0,3.0,0,1007.5,12.1,1010.0
23.4,0.0,157.5,41.0,135.0,61.0,47.0,7.0,8.0,0,1006.6,10.2,1009.9
24.5,17.4,180.0,37.0,67.5,92.0,72.0,7.0,7.0,1,1005.8,3.2,1009.3
24.1,26.8,45.0,26.0,0.0,94.0,79.0,8.0,7.0,1,1005.2,1.0,1008.4
24.2,35.0,22.5,28.0,0.0,78.0,73.0,8.0,7.0,1,1004.6,5.3,1007.7
