MinTemp,Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,Temp9am,RainToday,Pressure3pm,Sunshine,Pressure9am
8.0,0.0,30.0,68.0,29.0,7.0,7.0,14.4,0,1015.0,6.3,1019.7
14.0,3.6,39.0,80.0,36.0,5.0,3.0,17.5,1,1008.4,9.7,1012.4
13.7,3.6,85.0,82.0,69.0,8.0,7.0,15.4,1,1007.2,3.3,1009.5
13.3,39.8,54.0,62.0,56.0,2.0,7.0,13.5,1,1007.0,9.1,1005.5
7.6,2.8,50.0,68.0,49.0,7.0,7.0,11.1,1,1018.5,10.6,1018.3
6.2,0.0,44.0,70.0,57.0,7.0,5.0,10.9,0,1021.7,8.2,1023.8
6.1,0.2,43.0,63.0,47.0,4.0,6.0,12.4,0,1022.2,8.4,1024.6
8.3,0.0,41.0,65.0,57.0,6.0,7.0,12.1,0,1024.2,4.6,1026.2
8.8,0.0,48.0,70.0,48.0,7.0,7.0,14.1,0,1022.7,4.1,1026.1
8.4,16.2,31.0,82.0,32.0,7.0,1.0,13.3,1,1020.7,7.7,1024.1
9.1,0.0,30.0,74.0,34.0,1.0,2.0,14.6,0,1021.1,11.9,1024.4
8.5,0.2,41.0,54.0,35.0,0.0,3.0,16.8,0,1019.9,12.5,1023.8
10.1,0.0,30.0,62.0,29.0,0.0,1.0,17.0,0,1017.1,13.0,1022.0
12.1,0.0,44.0,67.0,20.0,1.0,4.0,19.7,0,1013.1,12.4,1017.3
10.1,0.0,41.0,45.0,16.0,0.0,1.0,18.7,0,1013.7,13.1,1018.2
12.4,0.0,46.0,70.0,22.0,0.0,3.0,19.1,0,1012.8,11.1,1017.9
13.8,0.0,44.0,72.0,23.0,7.0,6.0,20.2,0,1009.8,8.4,1014.4
11.7,1.2,52.0,59.0,26.0,1.0,5.0,20.1,1,1013.0,10.1,1016.4
12.4,0.6,39.0,60.0,25.0,1.0,3.0,20.2,0,1013.3,13.0,1017.1
15.6,0.0,33.0,61.0,27.0,0.0,1.0,22.8,0,1013.7,10.4,1018.5
15.3,0.0,59.0,60.0,26.0,1.0,5.0,22.2,0,1006.5,9.5,1012.4
16.4,0.4,26.0,88.0,72.0,8.0,8.0,16.5,0,1008.9,0.0,1010.7
12.8,25.8,28.0,91.0,79.0,8.0,8.0,14.0,1,1014.9,0.6,1014.0
12.0,0.4,26.0,74.0,57.0,7.0,5.0,17.8,0,1019.2,7.5,1020.7
15.4,0.0,33.0,85.0,31.0,8.0,2.0,16.8,0,1018.6,8.1,1022.4
15.6,0.0,41.0,65.0,48.0,2.0,4.0,19.8,0,1016.5,8.9,1019.7
13.3,0.2,39.0,70.0,55.0,7.0,7.0,16.5,0,1018.6,2.3,1021.0
12.9,0.0,52.0,61.0,31.0,5.0,7.0,18.8,0,1014.8,10.7,1019.2
15.1,0.0,39.0,69.0,80.0,7.0,7.0,18.9,0,1017.1,0.4,1019.0
13.6,0.4,30.0,83.0,49.0,8.0,7.0,17.3,0,1013.3,0.5,1017.2
15.1,22.6,41.0,82.0,90.0,8.0,8.0,17.0,1,1014.1,0.2,1015.0
11.6,4.2,41.0,66.0,46.0,2.0,2.0,16.7,1,1009.5,12.0,1013.9
16.6,0.2,50.0,72.0,60.0,7.0,7.0,20.5,0,1004.6,4.7,1007.9
13.3,6.6,50.0,74.0,40.0,5.0,2.0,18.8,1,1006.3,11.8,1007.3
14.5,0.0,43.0,69.0,63.0,7.0,1.0,18.6,0,1015.3,9.8,1015.0
16.3,0.0,39.0,78.0,54.0,8.0,7.0,18.6,0,1016.1,6.3,1018.8
17.2,0.0,41.0,70.0,74.0,6.0,7.0,21.5,0,1011.5,8.8,1014.5
16.5,4.0,39.0,76.0,42.0,8.0,1.0,18.0,1,1011.4,8.8,1014.8
15.0,0.0,43.0,78.0,24.0,7.0,7.0,20.6,0,1008.5,11.1,1010.8
14.9,0.0,35.0,58.0,37.0,7.0,7.0,19.3,0,1010.4,10.0,1011.7
11.8,0.6,35.0,60.0,63.0,8.0,6.0,13.8,0,1017.4,2.3,1018.0
11.7,0.0,41.0,66.0,51.0,7.0,5.0,15.7,0,1019.6,7.3,1021.1
9.6,0.0,39.0,70.0,49.0,7.0,7.0,15.8,0,1019.3,3.6,1021.9
8.9,0.0,35.0,63.0,37.0,1.0,2.0,15.8,0,1012.5,12.7,1018.1
10.1,0.0,41.0,63.0,36.0,1.0,8.0,17.4,0,1010.2,8.8,1012.6
15.5,5.4,31.0,93.0,86.0,8.0,8.0,16.6,1,1008.6,0.9,1010.1
10.8,1.4,48.0,59.0,40.0,1.0,4.0,15.3,1,1016.8,10.6,1017.6
7.5,0.0,39.0,61.0,43.0,6.0,7.0,15.3,0,1018.3,8.7,1020.6
12.8,0.0,22.0,72.0,54.0,8.0,8.0,16.1,0,1015.6,0.8,1018.0
12.6,3.4,30.0,97.0,74.0,8.0,7.0,15.3,1,1014.1,2.3,1015.8
14.8,6.4,41.0,81.0,48.0,2.0,7.0,21.0,1,1008.3,8.1,1012.9
19.9,11.0,76.0,92.0,62.0,8.0,3.0,20.6,1,996.8,5.9,996.5
9.2,17.4,39.0,59.0,49.0,1.0,7.0,14.9,1,1009.1,10.2,1009.5
12.4,0.0,44.0,69.0,43.0,6.0,4.0,15.0,0,1009.7,12.1,1012.8
11.3,3.4,41.0,67.0,52.0,8.0,3.0,12.4,1,1019.1,5.6,1020.4
9.8,0.0,41.0,63.0,35.0,1.0,1.0,15.3,0,1018.0,13.0,1023.2
14.3,0.0,65.0,68.0,64.0,7.0,7.0,19.8,0,1014.3,7.1,1017.3
15.1,14.4,28.0,73.0,44.0,1.0,5.0,18.3,1,1013.4,13.2,1016.8
14.4,0.0,30.0,65.0,30.0,0.0,2.0,21.5,0,1014.2,13.6,1017.1
15.4,0.0,39.0,55.0,18.0,1.0,1.0,23.4,0,1015.0,13.0,1017.4
13.8,0.0,31.0,44.0,20.0,0.0,1.0,21.9,0,1015.6,13.6,1019.2
13.6,0.0,35.0,50.0,20.0,7.0,6.0,21.9,0,1011.6,12.8,1015.8
14.3,0.0,41.0,43.0,14.0,0.0,1.0,23.0,0,1008.7,10.5,1012.6
15.9,0.0,50.0,69.0,55.0,8.0,7.0,19.2,0,1016.3,2.2,1016.8
16.7,0.0,46.0,56.0,45.0,6.0,7.0,20.3,0,1013.0,12.5,1016.2
12.1,0.0,35.0,69.0,40.0,7.0,2.0,18.6,0,1007.4,11.7,1011.8
14.3,0.0,39.0,77.0,34.0,1.0,1.0,18.9,0,1003.3,10.5,1006.6
16.5,0.0,39.0,60.0,36.0,1.0,1.0,20.8,0,1009.5,12.6,1012.3
16.5,0.0,46.0,77.0,44.0,7.0,1.0,18.1,0,1013.4,8.1,1015.7
17.5,0.0,43.0,74.0,45.0,8.0,1.0,19.3,0,1015.9,8.8,1018.5
14.7,0.0,33.0,64.0,25.0,1.0,1.0,21.3,0,1013.3,12.8,1017.8
17.5,0.0,57.0,56.0,24.0,0.0,1.0,24.7,0,1006.5,13.3,1011.8
20.9,0.0,50.0,61.0,28.0,7.0,2.0,23.6,0,1003.0,6.9,1007.6
17.0,2.0,52.0,65.0,35.0,2.0,3.0,23.0,1,1001.8,13.5,1004.0
16.0,0.0,50.0,70.0,57.0,8.0,6.0,17.0,0,1012.3,6.0,1012.3
15.4,0.0,35.0,70.0,26.0,7.0,1.0,18.0,0,1009.0,11.1,1014.2
17.9,0.0,59.0,58.0,62.0,6.0,7.0,24.5,0,1006.1,8.4,1008.5
15.2,4.8,46.0,62.0,42.0,1.0,1.0,17.1,1,1015.0,11.6,1016.8
15.1,0.0,39.0,63.0,55.0,8.0,8.0,17.8,0,1015.8,0.1,1017.5
15.3,18.8,33.0,92.0,88.0,8.0,8.0,18.0,1,1006.0,0.0,1008.7
17.2,12.2,50.0,80.0,71.0,7.0,8.0,19.4,1,1004.0,8.1,1004.9
15.9,0.8,48.0,73.0,58.0,8.0,7.0,17.4,0,1012.1,1.6,1011.4
10.0,0.0,33.0,55.0,46.0,1.0,2.0,14.7,0,1016.8,11.6,1018.7
9.9,0.0,28.0,60.0,38.0,1.0,4.0,16.2,0,1019.2,10.8,1021.6
10.3,0.0,35.0,64.0,29.0,3.0,6.0,17.0,0,1018.1,9.9,1021.3
15.4,0.0,41.0,67.0,32.0,7.0,7.0,17.6,0,1016.9,8.2,1020.1
12.7,0.0,28.0,70.0,28.0,1.0,5.0,18.3,0,1012.4,9.0,1016.5
13.2,0.0,46.0,71.0,28.0,1.0,4.0,19.7,0,1009.5,11.6,1013.1
15.3,0.0,44.0,60.0,18.0,0.0,1.0,22.4,0,1012.0,13.2,1013.9
17.9,0.0,46.0,72.0,22.0,1.0,1.0,19.8,0,1014.6,11.8,1017.4
18.0,0.0,69.0,68.0,29.0,1.0,6.0,22.2,0,1013.7,9.9,1018.0
17.6,5.2,39.0,66.0,49.0,7.0,8.0,21.4,1,1012.8,3.6,1014.6
16.0,2.2,30.0,73.0,49.0,8.0,7.0,16.5,1,1017.1,6.2,1018.9
14.9,0.0,30.0,71.0,44.0,7.0,2.0,19.1,0,1014.5,8.1,1018.2
17.1,0.0,48.0,67.0,38.0,6.0,7.0,21.7,0,1012.8,9.2,1016.7
18.2,1.8,33.0,92.0,76.0,8.0,8.0,18.5,1,1011.5,0.0,1014.4
16.8,9.0,30.0,88.0,71.0,8.0,8.0,18.4,1,1007.8,0.3,1010.0
13.6,1.0,52.0,77.0,41.0,4.0,7.0,18.7,0,997.5,8.0,1002.1
14.5,0.0,61.0,76.0,76.0,7.0,7.0,17.9,0,998.9,5.9,999.4
12.4,16.2,41.0,75.0,58.0,7.0,7.0,13.6,1,1005.0,5.6,1007.6
10.4,0.0,33.0,65.0,51.0,6.0,6.0,13.8,0,1006.8,8.9,1007.7
9.1,0.0,41.0,66.0,37.0,1.0,7.0,14.0,0,1011.4,9.6,1013.6
8.9,0.0,31.0,74.0,34.0,1.0,5.0,14.6,0,1011.7,10.7,1016.1
14.5,4.4,48.0,95.0,60.0,8.0,5.0,15.8,1,1006.8,5.9,1010.8
12.6,11.0,30.0,81.0,73.0,7.0,8.0,16.3,1,1011.0,0.4,1010.0
8.6,0.2,33.0,63.0,37.0,1.0,1.0,13.7,0,1015.1,12.7,1017.5
10.8,0.0,35.0,69.0,32.0,1.0,1.0,15.0,0,1016.7,12.6,1020.2
11.2,0.0,39.0,71.0,40.0,1.0,1.0,15.3,0,1020.0,12.6,1022.9
12.1,0.0,46.0,64.0,46.0,7.0,1.0,15.4,0,1021.4,10.2,1025.2
10.8,0.0,31.0,72.0,42.0,5.0,4.0,17.2,0,1017.4,11.7,1021.3
11.4,0.0,33.0,69.0,38.0,1.0,2.0,16.9,0,1012.8,12.1,1017.6
12.0,0.0,39.0,78.0,31.0,2.0,7.0,17.4,0,1009.1,8.2,1012.2
16.3,1.8,50.0,88.0,56.0,7.0,7.0,17.5,1,1008.4,3.8,1011.8
12.7,6.6,50.0,78.0,42.0,5.0,5.0,16.5,1,1002.3,8.6,1008.3
12.7,0.0,46.0,57.0,32.0,1.0,1.0,15.7,0,1005.4,12.4,1007.4
12.0,0.0,44.0,54.0,34.0,0.0,1.0,15.1,0,1007.2,12.4,1007.9
11.5,0.0,44.0,70.0,35.0,6.0,2.0,15.8,0,1014.3,10.2,1016.4
13.0,0.0,44.0,74.0,27.0,3.0,6.0,17.4,0,1014.4,11.6,1017.6
11.7,0.0,48.0,74.0,25.0,2.0,6.0,17.6,0,1009.1,8.1,1013.6
14.8,0.0,48.0,74.0,78.0,7.0,7.0,15.7,0,1009.9,0.8,1010.0
7.7,10.4,48.0,58.0,34.0,5.0,1.0,10.6,1,1014.5,12.0,1015.5
4.4,0.0,35.0,60.0,31.0,1.0,1.0,11.7,0,1019.3,12.1,1020.8
7.4,0.0,35.0,65.0,37.0,0.0,2.0,12.2,0,1023.2,11.6,1026.3
8.3,0.0,35.0,78.0,28.0,1.0,1.0,13.8,0,1020.4,10.1,1025.4
10.1,0.0,39.0,72.0,28.0,1.0,7.0,15.6,0,1018.2,7.3,1021.1
12.0,0.0,46.0,69.0,35.0,1.0,1.0,15.7,0,1022.2,11.0,1025.5
12.9,0.0,41.0,76.0,24.0,2.0,3.0,17.4,0,1019.3,11.3,1023.9
10.8,0.0,50.0,56.0,34.0,0.0,7.0,17.5,0,1017.7,7.5,1021.6
9.5,3.0,24.0,79.0,39.0,1.0,7.0,14.0,1,1020.7,11.5,1024.7
12.1,0.0,41.0,66.0,33.0,0.0,1.0,17.8,0,1023.1,11.5,1024.8
12.5,0.0,24.0,74.0,28.0,1.0,1.0,17.2,0,1020.4,11.2,1024.9
13.9,0.0,46.0,50.0,18.0,0.0,3.0,20.2,0,1019.3,8.5,1022.8
13.3,0.2,44.0,80.0,23.0,2.0,5.0,17.5,0,1017.6,11.0,1021.6
13.2,0.0,39.0,91.0,18.0,7.0,1.0,16.1,0,1017.7,9.7,1020.9
12.3,0.0,22.0,57.0,15.0,0.0,1.0,17.9,0,1019.1,11.3,1022.6
13.8,0.0,48.0,47.0,15.0,5.0,2.0,21.4,0,1019.3,11.2,1022.5
11.3,0.0,28.0,44.0,17.0,5.0,2.0,18.2,0,1020.7,11.4,1024.3
11.7,0.0,33.0,73.0,22.0,1.0,0.0,17.7,0,1020.6,11.2,1024.3
12.5,0.0,43.0,76.0,30.0,0.0,1.0,16.8,0,1018.8,10.7,1022.7
15.1,0.0,31.0,59.0,48.0,1.0,4.0,19.7,0,1018.7,9.8,1022.1
11.5,0.0,46.0,76.0,35.0,7.0,7.0,17.1,0,1009.4,8.0,1013.8
13.0,0.0,30.0,77.0,62.0,7.0,8.0,13.3,0,1019.3,0.0,1017.4
11.6,0.0,33.0,71.0,64.0,7.0,8.0,14.0,0,1021.8,1.6,1023.6
12.8,0.0,30.0,76.0,44.0,7.0,6.0,15.5,0,1019.3,6.2,1023.2
15.5,0.6,28.0,89.0,68.0,8.0,7.0,17.1,0,1015.4,1.9,1018.7
13.1,6.4,43.0,94.0,93.0,8.0,8.0,16.4,1,1006.5,0.0,1010.2
12.6,19.8,46.0,76.0,50.0,5.0,4.0,15.1,1,1008.4,9.1,1007.9
4.4,0.0,33.0,80.0,36.0,1.0,2.0,8.4,0,1012.6,9.6,1014.8
4.4,0.0,31.0,78.0,35.0,1.0,3.0,9.2,0,1015.0,11.0,1017.4
7.1,0.0,57.0,90.0,30.0,6.0,6.0,8.8,0,1011.3,10.0,1015.1
4.2,0.0,50.0,60.0,34.0,3.0,2.0,11.2,0,1009.3,10.8,1011.2
9.6,0.0,57.0,54.0,42.0,2.0,5.0,13.1,0,1013.0,10.0,1012.7
3.5,0.0,22.0,72.0,34.0,0.0,1.0,8.7,0,1021.2,10.3,1023.9
5.3,0.0,83.0,90.0,26.0,1.0,8.0,9.5,0,1010.5,5.6,1018.0
7.0,2.6,63.0,68.0,40.0,1.0,3.0,9.1,1,1012.7,9.7,1010.3
0.4,0.0,22.0,77.0,33.0,0.0,1.0,5.2,0,1019.1,9.6,1021.2
3.2,0.0,26.0,76.0,27.0,0.0,1.0,8.2,0,1022.3,10.6,1025.2
5.9,0.0,35.0,70.0,35.0,1.0,5.0,12.9,0,1024.1,9.3,1028.0
8.1,0.0,31.0,66.0,48.0,1.0,5.0,14.9,0,1024.0,7.8,1027.8
6.9,0.0,39.0,68.0,45.0,5.0,4.0,13.8,0,1025.4,4.1,1028.2
5.6,0.0,17.0,69.0,49.0,6.0,4.0,14.3,0,1021.8,6.8,1025.7
7.2,0.0,26.0,82.0,28.0,1.0,1.0,14.0,0,1019.2,9.5,1023.1
7.1,0.0,39.0,72.0,29.0,0.0,1.0,12.7,0,1016.9,10.2,1021.0
6.1,0.0,35.0,75.0,32.0,7.0,3.0,11.5,0,1015.8,6.1,1019.2
7.1,2.0,39.0,96.0,56.0,5.0,2.0,10.7,1,1013.8,7.7,1018.4
5.6,5.2,31.0,70.0,40.0,1.0,1.0,12.4,1,1019.6,9.3,1020.8
5.4,0.0,28.0,66.0,36.0,1.0,2.0,12.3,0,1023.9,10.8,1027.2
6.3,0.0,31.0,65.0,39.0,1.0,1.0,12.6,0,1024.4,10.6,1027.9
5.3,0.0,26.0,77.0,44.0,7.0,2.0,12.0,0,1023.3,6.3,1027.2
7.9,0.0,48.0,58.0,43.0,3.0,6.0,14.0,0,1024.1,8.3,1027.3
8.4,0.0,35.0,69.0,51.0,6.0,7.0,13.6,0,1027.4,4.9,1029.5
8.1,0.0,33.0,66.0,65.0,4.0,7.0,13.5,0,1024.2,7.1,1028.2
2.4,0.0,30.0,77.0,34.0,1.0,2.0,10.6,0,1021.0,10.1,1024.8
5.6,0.0,33.0,79.0,49.0,7.0,6.0,12.5,0,1023.5,8.0,1025.8
7.5,0.0,26.0,74.0,43.0,6.0,5.0,12.6,0,1022.2,6.8,1025.5
2.5,0.0,28.0,82.0,55.0,4.0,4.0,9.2,0,1019.8,7.9,1023.7
5.0,0.0,22.0,84.0,42.0,7.0,6.0,10.1,0,1014.3,8.9,1019.9
3.8,0.2,44.0,99.0,34.0,7.0,7.0,7.9,0,1006.7,6.5,1011.9
7.9,0.0,59.0,68.0,51.0,6.0,6.0,14.4,0,997.7,5.8,1003.2
4.3,7.2,57.0,75.0,60.0,3.0,6.0,7.1,1,1008.1,5.6,1006.3
-2.1,0.2,22.0,69.0,40.0,0.0,1.0,6.3,0,1019.6,9.5,1020.6
-1.8,0.0,28.0,80.0,40.0,1.0,7.0,5.3,0,1020.5,7.0,1024.2
3.8,0.0,31.0,67.0,54.0,7.0,7.0,10.5,0,1018.5,0.8,1020.6
2.1,0.0,43.0,81.0,38.0,1.0,2.0,8.7,0,1017.3,9.2,1020.0
0.5,0.0,31.0,74.0,42.0,1.0,1.0,7.4,0,1017.4,9.4,1020.8
-0.9,0.0,30.0,76.0,42.0,5.0,2.0,6.2,0,1018.5,9.3,1022.7
0.4,0.0,39.0,76.0,41.0,6.0,5.0,7.7,0,1015.8,8.3,1019.8
7.5,0.0,41.0,70.0,53.0,7.0,7.0,12.5,0,1013.8,3.0,1018.0
8.3,0.0,43.0,73.0,43.0,1.0,1.0,12.4,0,1013.5,9.4,1015.8
-0.2,0.0,24.0,80.0,44.0,1.0,1.0,6.7,0,1018.9,9.4,1021.4
0.1,0.0,17.0,78.0,36.0,0.0,1.0,7.6,0,1020.3,9.2,1023.2
1.5,0.0,20.0,80.0,41.0,1.0,1.0,8.4,0,1020.0,9.3,1023.2
8.3,0.0,20.0,80.0,52.0,7.0,7.0,13.5,0,1021.5,1.6,1024.4
9.4,0.0,24.0,73.0,47.0,7.0,1.0,12.1,0,1020.3,7.7,1024.2
1.3,0.0,30.0,87.0,34.0,1.0,2.0,7.9,0,1021.4,9.4,1024.7
2.2,0.0,31.0,84.0,44.0,1.0,3.0,8.5,0,1021.0,9.2,1024.4
-0.4,0.0,33.0,80.0,40.0,1.0,2.0,6.8,0,1018.7,8.7,1023.5
4.5,1.8,35.0,88.0,69.0,7.0,7.0,10.0,1,1013.7,4.3,1017.7
7.9,1.0,52.0,68.0,78.0,7.0,7.0,11.3,0,1005.9,1.7,1006.3
4.3,0.8,41.0,71.0,53.0,6.0,6.0,7.9,0,1008.3,8.8,1008.4
-2.7,0.0,52.0,85.0,36.0,1.0,1.0,3.5,0,1014.3,9.3,1017.8
0.3,0.0,31.0,99.0,52.0,8.0,1.0,3.8,0,1018.6,5.6,1021.9
3.8,0.0,24.0,81.0,47.0,6.0,2.0,8.0,0,1022.9,7.3,1024.5
2.4,0.0,20.0,74.0,43.0,1.0,1.0,5.9,0,1026.0,9.2,1030.4
1.2,0.0,17.0,81.0,49.0,7.0,1.0,5.3,0,1024.8,6.7,1028.5
1.2,0.0,17.0,74.0,43.0,0.0,1.0,6.5,0,1023.5,8.9,1026.7
-0.3,0.0,39.0,81.0,48.0,1.0,5.0,6.2,0,1021.8,8.4,1025.5
4.7,3.8,22.0,99.0,50.0,7.0,4.0,7.0,1,1023.1,5.1,1026.6
4.9,5.2,22.0,93.0,55.0,1.0,1.0,8.9,1,1022.3,8.5,1025.7
1.4,0.0,20.0,91.0,50.0,1.0,4.0,6.2,0,1024.7,8.2,1027.2
2.2,0.2,20.0,92.0,45.0,2.0,1.0,5.5,0,1029.6,8.5,1032.1
-0.1,0.0,40.064214262665374,83.0,46.0,1.0,1.0,5.6,0,1028.7,8.6,1033.2
-0.9,0.0,22.0,84.0,38.0,2.0,3.0,4.7,0,1027.4,8.9,1030.2
0.6,0.0,17.0,99.0,67.0,7.0,7.0,4.6,0,1028.9,2.7,1032.3
4.6,0.0,15.0,85.0,67.0,7.0,7.0,9.9,0,1027.1,0.6,1030.3
9.8,0.8,20.0,99.0,86.0,8.0,8.0,12.1,0,1027.2,0.0,1028.5
10.6,3.8,41.0,78.0,65.0,8.0,7.0,11.5,1,1025.7,2.6,1028.2
7.8,0.0,31.0,84.0,65.0,6.0,7.0,10.3,0,1023.4,2.7,1025.9
4.4,0.0,22.0,74.0,42.0,1.0,1.0,9.6,0,1022.1,9.0,1025.2
-0.2,0.0,28.0,86.0,42.0,1.0,1.0,4.9,0,1027.0,9.0,1027.6
4.3,0.0,30.0,76.0,70.0,7.0,7.0,7.9,0,1031.7,3.0,1034.3
7.4,0.0,30.0,75.0,65.0,7.0,7.0,12.1,0,1027.9,7.4020381328073634,1031.4
8.6,6.2,31.0,97.0,94.0,8.0,8.0,10.3,1,1024.3,0.0,1027.8
10.2,4.8,46.0,90.0,65.0,7.0,7.0,12.9,1,1022.1,0.5,1022.9
7.3,0.2,43.0,86.0,48.0,1.0,1.0,11.2,0,1019.7,8.5,1023.7
8.7,0.6,54.0,82.0,58.0,4.0,2.0,8.8,0,1014.1,7.1,1013.7
1.0,0.0,48.0,73.0,49.0,4.0,1.0,6.5,0,1025.6,7.2,1025.7
2.1,0.0,43.0,72.0,57.0,1.0,2.0,9.0,0,1026.3,8.2,1029.0
6.4,0.0,26.0,78.0,51.0,7.0,2.0,9.5,0,1024.8,5.9,1027.8
5.4,0.0,20.0,80.0,58.0,7.0,1.0,9.4,0,1025.5,5.8,1028.6
0.4,0.0,13.0,97.0,70.0,5.0,7.0,4.0,0,1023.5,4.7,1026.7
4.0,0.0,17.0,95.0,63.0,8.0,7.0,8.4,0,1019.7,2.0,1022.5
8.4,4.8,26.0,91.0,86.0,8.0,7.0,9.7,1,1019.2,0.0,1021.2
0.4,0.6,41.0,99.0,59.0,3.0,6.0,4.2,0,1021.0,7.7,1023.0
4.2,0.0,33.0,74.0,44.0,5.0,4.0,8.8,0,1025.7,7.6,1026.4
0.9,0.0,24.0,92.0,53.0,7.0,7.0,5.5,0,1022.1,6.8,1025.1
0.8,0.0,41.0,95.0,69.0,8.0,6.0,4.3,0,1024.2,4.1,1028.2
4.3,0.0,46.0,75.0,54.0,3.0,1.0,7.8,0,1021.9,9.0,1026.3
6.3,0.0,63.0,81.0,48.0,6.0,1.0,7.0,0,1020.4,6.5,1018.7
3.5,0.0,35.0,71.0,51.0,1.0,1.0,6.7,0,1025.0,8.9,1027.8
-1.5,0.0,15.0,90.0,41.0,4.0,3.0,2.1,0,1026.0,8.0,1029.1
1.2,0.0,31.0,84.0,38.0,7.0,6.0,6.5,0,1020.9,6.1,1024.6
0.5,0.0,70.0,53.0,68.0,1.0,7.0,9.7,0,1010.2,6.4,1017.2
