MinTemp,Rainfall,WindGustSpeed,WindSpeed9am,Humidity9am,Humidity3pm,RainToday,WindDir9am
17.0,0.0,31.0,17.0,52.0,61.0,0,337.5
19.0,0.0,37.0,19.0,55.0,70.0,0,337.5
21.3,0.0,52.0,24.0,61.0,74.0,0,0.0
20.9,0.8,52.0,15.0,65.0,75.0,0,67.5
19.7,0.2,43.0,11.0,67.0,83.0,0,90.0
22.8,3.6,48.0,22.0,52.0,50.0,1,315.0
22.1,15.4,54.0,17.0,82.0,75.0,1,337.5
20.2,0.2,41.0,26.0,64.0,62.0,0,180.0
19.9,1.2,42.4763698630137,19.0,71.0,61.0,1,157.5
17.363286137635825,3.7693959731543623,41.0,19.0,58.0,70.0,0,0.0
23.4,0.0,50.0,20.0,70.0,80.0,0,135.0
21.5,13.2,39.0,28.0,99.0,100.0,1,180.0
21.5,6.2,41.0,22.0,63.0,77.0,1,337.5
23.1,0.0,61.0,35.0,40.0,27.0,0,315.0
17.7,0.0,39.0,22.0,29.0,48.0,0,270.0
17.4,0.0,33.0,11.0,56.0,53.0,0,90.0
18.5,0.0,37.0,24.0,52.0,58.0,0,315.0
21.2,0.0,56.0,20.0,49.0,69.0,0,315.0
20.8,11.0,56.0,28.0,60.0,71.0,1,337.5
20.6,0.0,54.0,37.0,61.0,58.0,0,157.5
19.3,0.0,54.0,33.0,51.0,58.0,0,180.0
18.7,0.0,39.0,24.0,47.0,54.0,0,180.0
17.4,0.0,43.0,15.0,51.0,49.0,0,22.5
20.7,0.0,46.0,19.0,57.0,58.0,0,22.5
20.6,14.2,31.0,19.0,87.0,74.0,1,135.0
21.5,6.8,26.0,17.0,96.0,73.0,1,45.0
23.1,0.0,30.0,17.0,66.0,63.0,0,22.5
21.3,20.0,50.0,17.0,84.0,66.0,1,315.0
21.6,22.8,74.0,17.0,78.0,73.0,1,45.0
19.1,8.2,35.0,24.0,53.0,74.0,1,315.0
20.1,0.0,24.0,11.0,65.0,72.0,0,22.5
21.6,0.0,50.0,13.0,69.0,82.0,0,22.5
22.4,5.0,46.0,13.0,73.0,81.0,1,247.5
21.5,4.0,70.0,46.0,81.0,72.0,1,157.5
21.9,2.4,56.0,41.0,54.0,49.0,1,135.0
21.7,0.0,41.0,28.0,64.0,64.0,0,157.5
22.2,0.0,30.0,22.0,61.0,59.0,0,135.0
23.8,0.0,28.0,19.0,62.0,57.0,0,112.5
22.5,1.4,22.0,11.0,93.0,75.0,1,247.5
22.1,0.2,74.0,43.0,64.0,55.0,0,180.0
20.5,0.0,56.0,46.0,53.0,53.0,0,157.5
20.1,0.8,33.0,24.0,60.0,60.0,0,157.5
20.2,0.0,39.0,17.0,59.0,56.0,0,157.5
23.1,0.0,52.0,33.0,61.0,61.0,0,135.0
21.6,0.0,41.0,26.0,60.0,51.0,0,112.5
18.7,0.0,39.0,9.0,56.0,54.0,0,45.0
21.6,0.0,50.0,24.0,53.0,62.0,0,337.5
24.3,0.0,70.0,41.0,73.0,74.0,0,157.5
19.5,0.2,52.0,31.0,56.0,52.0,0,157.5
18.4,0.0,31.0,24.0,50.0,47.0,0,157.5
19.9,0.0,30.0,7.0,46.0,47.0,0,135.0
22.3,0.0,41.0,15.0,62.0,64.0,0,45.0
24.1,0.0,35.0,17.0,64.0,61.0,0,22.5
23.9,48.2,39.0,15.0,98.0,74.0,1,337.5
24.1,10.8,37.0,13.0,74.0,80.0,1,315.0
24.8,0.0,37.0,13.0,79.0,96.0,0,22.5
23.4,7.8,35.0,11.0,84.0,69.0,1,135.0
22.3,2.0,48.0,20.0,75.0,58.0,1,180.0
23.5,0.4,48.0,28.0,60.0,59.0,0,157.5
22.7,3.4,54.0,20.0,68.0,79.0,1,157.5
21.6,6.0,57.0,24.0,66.0,69.0,1,90.0
24.2,0.6,41.0,24.0,70.0,65.0,0,135.0
22.4,0.6,52.0,28.0,67.0,64.0,0,157.5
24.5,0.0,48.0,35.0,69.0,59.0,0,135.0
21.7,3.8,35.0,13.0,77.0,67.0,1,202.5
23.9,0.6,44.0,30.0,64.0,58.0,0,135.0
23.3,0.0,39.0,26.0,63.0,62.0,0,157.5
22.8,0.0,41.0,24.0,57.0,60.0,0,157.5
24.6,0.0,41.0,28.0,62.0,59.0,0,135.0
20.7,0.0,37.0,28.0,58.0,53.0,0,157.5
20.4,0.0,31.0,20.0,57.0,61.0,0,315.0
23.7,0.0,37.0,13.0,71.0,68.0,0,0.0
23.3,0.0,54.0,13.0,61.0,65.0,0,0.0
22.0,3.8,56.0,31.0,68.0,62.0,1,180.0
20.8,39.4,74.0,39.0,99.0,92.0,1,135.0
20.7,39.8,70.0,37.0,99.0,79.0,1,135.0
