Rainfall,WindGustSpeed,WindSpeed3pm,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Sunshine,Pressure9am,Pressure3pm
3.0,81.0,24.0,72.0,42.0,6.0,5.0,1,12.1,12.2,6.0,988.3,992.3
16.2,83.0,26.0,78.0,60.0,8.0,6.0,1,8.5,10.8,3.2,991.7,1002.5
3.0,100.0,39.0,55.0,53.0,4.0,1.0,1,9.3,12.4,4.3,1008.7,1015.1
1.0,28.0,9.0,76.0,54.0,1.0,1.0,0,9.6,10.4,8.3,1028.9,1028.1
0.0,28.0,15.0,79.0,53.0,1.0,7.0,0,9.7,10.0,8.1,1028.2,1025.4
0.0,41.0,7.0,77.0,70.0,7.0,7.0,0,9.1,10.0,2.7,1021.6,1017.8
0.0,39.0,4.0,82.0,61.0,3.0,5.0,0,13.8,15.8,5.3,1017.2,1015.2
8.4,24.0,13.0,96.0,72.0,7.0,2.0,1,14.0,14.2,3.4,1017.6,1017.2
0.4,35.0,13.0,88.0,74.0,2.0,7.0,0,10.7,11.4,6.0,1017.8,1012.4
0.6,44.0,20.0,68.0,49.0,7.0,2.0,0,10.3,12.9,5.2,998.7,996.5
2.6,52.0,28.0,66.0,52.0,7.0,2.0,1,9.5,10.0,5.0,1002.3,1007.4
0.2,43.0,9.0,73.0,63.0,8.0,7.0,0,10.8,10.9,0.0,1016.5,1014.8
0.0,30.0,11.0,77.0,56.0,7.0,6.0,0,12.2,13.0,4.4,1016.2,1016.0
0.0,28.0,9.0,88.0,64.0,5.0,5.0,0,11.6,13.1,7.4,1020.4,1019.6
0.8,26.0,11.0,88.0,69.0,7.0,4.0,0,11.6,12.4,3.7,1023.3,1022.4
0.8,17.0,0.0,88.0,87.0,7.0,7.0,0,10.1,10.1,0.0,1023.8,1021.5
0.2,20.0,7.0,91.0,66.0,7.0,7.0,0,11.4,12.6,3.5,1015.9,1010.0
0.0,46.0,22.0,85.0,53.0,5.0,3.0,0,13.2,13.9,6.0,1001.7,999.7
0.0,41.0,17.0,66.0,50.0,5.0,4.0,0,10.8,12.1,7.0,1005.0,1005.2
0.0,28.0,7.0,74.0,70.0,5.0,7.0,0,7.2,8.2,1.2,1011.4,1008.5
3.2,65.0,28.0,80.0,74.0,7.0,6.0,1,4.6,8.0,3.4,1000.6,1004.5
5.2,52.0,20.0,59.0,54.0,2.0,2.0,1,10.6,10.9,6.2,1020.3,1022.2
0.0,30.0,15.0,76.0,58.0,3.0,6.0,0,11.2,12.5,7.1,1031.2,1030.3
0.0,30.0,11.0,75.0,45.0,2.0,2.0,0,12.1,12.8,7.1,1032.2,1028.9
0.0,30.0,13.0,74.0,43.0,2.0,1.0,0,12.6,13.0,8.9,1024.9,1021.0
