Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,RainToday,Temp3pm,MaxTemp,Pressure9am,Pressure3pm
3.4,57.0,53.0,61.0,1,14.1,17.9,1000.6,1000.7
4.0,46.0,60.0,46.0,1,17.3,18.3,1001.4,1000.5
1.0,50.0,62.0,37.0,0,16.5,18.4,1002.4,1004.2
0.0,39.0,56.0,41.0,0,18.1,19.4,1017.8,1014.6
4.6,39.0,91.0,89.0,1,15.9,19.8,1008.7,1004.2
1.0,54.0,71.0,70.0,0,16.8,19.3,1003.8,1001.1
0.4,37.0,59.0,37.0,0,19.1,20.4,1005.5,1005.3
0.0,43.0,63.0,52.0,0,16.9,18.8,1011.8,1008.8
0.8,39.0,93.0,63.0,0,16.3,17.5,1005.4,1002.8
0.0,37.0,46.0,27.0,0,18.6,19.7,1013.3,1012.0
0.0,37.0,63.0,41.0,0,21.0,21.8,1017.0,1014.9
0.0,65.0,55.0,44.0,0,22.2,22.8,1014.0,1008.7
13.6,74.0,85.0,80.0,1,14.5,15.4,997.7,996.0
15.0,56.0,65.0,58.0,1,17.9,18.6,1003.6,1005.3
0.0,44.0,67.0,62.0,0,18.4,19.8,1008.4,1005.3
0.0,43.0,62.0,77.0,0,16.1,19.8,1006.9,1006.3
0.2,33.0,61.0,49.0,0,19.3,20.4,1010.5,1008.2
0.0,37.0,58.0,51.0,0,17.8,19.1,1005.6,1001.3
2.0,46.0,46.0,37.0,1,19.7,21.0,1008.5,1011.1
0.0,35.0,75.0,54.0,0,21.8,22.6,1018.9,1016.8
0.0,35.0,80.0,51.0,0,22.3,23.4,1019.5,1016.3
0.0,46.0,64.0,62.0,0,21.4,26.3,1009.5,1003.9
0.2,48.0,63.0,24.0,0,26.4,27.7,1009.2,1008.6
0.0,41.0,75.0,52.0,0,19.6,21.9,1015.3,1011.5
1.2,39.0,71.0,33.0,1,23.7,24.3,1013.4,1011.2
0.0,41.0,76.0,67.0,0,17.4,21.4,1011.1,1009.2
0.2,50.0,75.0,50.0,0,24.2,25.3,1004.6,999.6
0.0,52.0,74.0,81.0,0,17.8,21.8,998.1,996.0
0.2,43.0,52.0,47.0,0,19.2,20.0,1001.1,1000.6
6.6,48.0,92.0,45.0,1,19.6,22.5,992.8,991.5
0.2,44.0,53.0,37.0,0,18.4,20.1,997.2,996.6
0.0,54.0,48.0,33.0,0,18.5,19.6,994.3,997.1
0.0,39.0,51.0,36.0,0,18.0,19.9,1010.7,1012.7
0.0,35.0,64.0,50.0,0,18.5,20.3,1018.6,1015.5
0.0,43.0,66.0,51.0,0,20.8,22.0,1015.2,1011.8
0.0,50.0,62.0,58.0,0,19.7,21.5,1008.5,1004.9
0.0,54.0,68.0,63.0,0,22.8,23.8,1004.7,1002.4
0.0,54.0,72.0,48.0,0,20.5,22.1,1006.7,1004.1
0.0,43.0,45.0,29.0,0,20.1,21.6,1011.5,1013.1
0.0,33.0,48.0,38.0,0,20.2,22.2,1021.0,1018.3
0.0,39.0,69.0,48.0,0,21.9,23.8,1015.0,1011.2
0.0,44.0,81.0,36.0,0,22.0,23.3,1010.0,1007.3
0.0,39.0,67.0,31.0,0,24.6,26.0,1015.8,1015.3
0.0,43.0,70.0,58.0,0,22.2,24.6,1016.2,1011.9
