Rainfall,WindGustSpeed,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Sunshine,Pressure9am,Pressure3pm
2.0,63.0,38.0,1.0,7.0,1,14.6,15.4,7.0,1006.8,1010.3
0.6,63.0,52.0,7.0,4.0,0,13.7,14.5,4.0,1013.4,1016.2
1.4,39.0,58.0,7.0,7.0,1,13.9,14.1,0.8,1024.8,1024.3
0.6,19.0,49.0,7.0,6.0,0,13.1,14.5,4.2,1030.2,1029.0
0.0,52.0,52.0,2.0,5.0,0,14.6,15.5,8.4,1028.9,1024.9
0.0,74.0,48.0,6.0,6.0,0,14.6,15.4,3.0,1023.1,1020.1
0.0,57.0,63.0,8.0,7.0,0,13.3,14.3,1.0,1016.3,1012.9
5.0,37.0,71.0,8.0,7.0,1,10.3,10.4,0.3,1017.1,1017.0
1.2,35.0,61.0,1.0,7.0,1,13.1,14.8,6.5,1023.1,1019.6
3.0,69.0,33.0,6.0,3.0,1,12.2,13.5,7.0,1009.4,1006.7
0.2,52.0,56.0,3.0,6.0,0,13.0,13.5,5.6,1016.3,1018.5
0.0,91.0,53.0,7.0,8.0,0,10.3,11.3,0.0,1023.2,1018.5
0.0,87.0,55.0,7.0,4.0,0,13.8,14.3,4.2,1017.1,1014.4
0.0,54.0,24.0,1.0,5.0,0,17.9,18.9,9.4,1017.4,1016.2
0.0,39.0,51.0,7.0,6.0,0,16.1,17.6,3.4,1019.9,1018.2
0.0,43.0,55.0,1.0,6.0,0,14.1,16.4,8.3,1022.2,1018.7
0.0,59.0,47.0,7.0,7.0,0,13.4,13.6,1.0,1013.5,1009.2
0.8,56.0,70.0,8.0,7.0,0,11.7,12.4,2.1,1008.2,1009.0
1.6,72.0,55.0,7.0,7.0,1,13.0,14.1,1.4,1012.5,1009.2
0.8,63.0,60.0,8.0,7.0,0,13.4,14.0,0.1,1004.4,1001.5
13.8,70.0,44.0,7.0,6.0,1,11.7,13.4,4.9,1011.7,1017.7
2.4,41.0,62.0,6.0,6.0,1,12.1,12.6,4.4,1029.0,1029.2
0.8,24.0,77.0,7.0,7.0,0,10.8,11.9,1.4,1034.1,1031.9
0.0,33.0,39.0,7.0,2.0,0,15.1,16.1,9.7,1031.2,1026.2
0.0,37.0,46.0,6.0,5.0,0,14.8,16.1,9.5,1024.8,1020.4
0.0,41.0,54.0,4.0,7.0,0,12.8,13.3,4.0,1017.3,1013.7
8.2,31.0,80.0,7.0,7.0,1,9.9,10.2,0.0,1013.5,1012.5
1.6,41.0,61.0,2.0,4.0,1,12.7,13.8,8.1,1021.6,1021.4
0.0,33.0,45.0,1.0,7.0,0,13.7,14.4,7.6,1023.0,1017.6
0.0,56.0,41.0,1.0,3.0,0,14.6,15.2,7.5,1015.5,1012.1
0.4,69.0,46.0,6.0,6.0,0,15.2,15.4,4.7,1011.6,1006.9
0.4,80.0,67.0,3.0,7.0,0,10.9,14.7,5.2,999.7,1001.5
0.6,46.0,55.0,5.0,6.0,0,14.6,15.3,6.0,1015.9,1016.1
0.0,52.0,54.0,2.0,4.0,0,13.7,14.9,5.0,1019.2,1015.7
0.2,54.0,52.0,7.0,7.0,0,13.4,13.6,1.0,1017.7,1018.1
0.2,30.0,55.0,7.0,3.0,0,14.8,15.0,7.7,1024.4,1022.8
0.0,35.0,43.0,7.0,7.0,0,15.7,16.6,7.6,1021.7,1017.0
0.0,41.0,52.0,6.0,6.0,0,14.5,15.4,5.7,1017.6,1017.0
0.4,35.0,41.0,2.0,6.0,0,14.0,14.7,8.0,1021.8,1018.9
1.8,46.0,44.0,1.0,7.0,1,12.5,13.4,7.6,1021.0,1016.7
4.8,70.0,66.0,8.0,6.0,1,9.1,12.2,2.4,1013.9,1013.0
11.4,50.0,57.0,7.0,6.0,1,12.0,13.5,5.2,1020.1,1019.7
0.6,63.0,69.0,6.0,7.0,0,12.6,13.2,4.5,1020.2,1019.0
1.6,46.0,48.0,1.0,7.0,1,12.6,13.0,8.4,1027.1,1025.8
0.2,56.0,65.0,7.0,7.0,0,13.3,14.1,3.7,1025.1,1021.7
0.2,50.0,80.0,7.0,7.0,0,13.1,14.2,1.4,1018.5,1015.9
2.2,52.0,60.0,7.0,6.0,1,12.8,14.3,2.5,1017.6,1018.9
4.2,31.0,56.0,5.0,7.0,1,11.5,12.9,2.8,1025.6,1025.3
0.4,41.0,55.0,6.0,6.0,0,13.5,14.3,7.1,1026.8,1025.9
0.0,50.0,46.0,7.0,7.0,0,14.9,15.2,6.1,1026.8,1023.1
0.0,52.0,43.0,7.0,7.0,0,15.0,15.3,0.7,1022.4,1019.2
0.0,41.0,86.0,8.0,8.0,0,8.6,9.9,0.0,1018.3,1018.7
14.0,46.0,55.0,5.0,7.0,1,11.7,12.8,5.7,1025.3,1025.7
0.6,26.0,59.0,7.0,7.0,0,13.8,14.2,5.7,1030.2,1029.1
0.2,20.0,46.0,7.0,6.0,0,13.6,14.2,0.2,1031.9,1029.8
0.0,37.0,48.0,2.0,7.0,0,13.3,14.3,5.1,1028.1,1023.5
0.0,46.0,32.0,3.0,5.0,0,16.2,17.3,6.0,1020.9,1021.1
0.0,30.0,60.0,6.0,6.0,0,13.5,15.3,5.8,1030.3,1029.2
0.0,26.0,63.0,7.0,5.0,0,14.0,14.9,2.9,1030.5,1027.1
0.4,41.0,32.0,1.0,3.0,0,18.4,19.3,10.0,1025.8,1020.9
0.0,80.0,46.0,7.0,7.0,0,16.2,18.2,1.9,1015.7,1009.7
0.4,72.0,69.0,7.0,6.0,0,11.9,18.6,3.6,1007.0,1007.2
0.8,61.0,40.0,2.0,7.0,0,15.4,16.4,7.8,1020.0,1018.8
0.8,43.0,55.0,7.0,7.0,0,14.1,17.2,4.9,1025.8,1027.2
0.4,33.0,44.0,2.0,1.0,0,15.1,15.8,10.4,1035.6,1033.5
0.0,30.0,43.0,7.0,3.0,0,17.8,18.5,6.5,1034.4,1029.2
0.0,37.0,36.0,6.0,7.0,0,17.5,19.0,1.2,1026.1,1022.1
0.0,26.0,45.0,2.0,4.0,0,18.0,18.9,7.3,1021.9,1018.4
0.0,41.0,67.0,7.0,7.0,0,14.4,17.5,5.6,1020.0,1019.0
0.2,39.0,47.0,7.0,5.0,0,13.5,15.2,6.3,1025.0,1025.2
0.2,30.0,43.0,7.0,7.0,0,13.9,14.6,0.3,1028.2,1025.9
0.0,44.0,29.0,6.0,1.0,0,18.5,19.7,9.2,1022.8,1017.2
0.0,67.0,24.0,4.0,7.0,0,17.3,18.9,5.7,1014.8,1009.9
0.0,91.0,31.0,6.0,3.0,0,23.1,24.5,6.9,1004.2,1000.6
0.0,70.0,27.0,8.0,0.0,0,25.3,25.5,10.7,1008.6,1003.7
0.0,70.0,27.0,1.0,7.0,0,16.8,18.8,6.5,1001.8,1003.5
0.0,102.0,61.0,7.0,6.0,0,11.5,16.8,4.9,998.5,998.7
2.0,50.0,53.0,6.0,7.0,1,11.8,14.3,7.1,1018.7,1021.7
0.0,39.0,37.0,3.0,2.0,0,17.4,18.4,10.7,1026.0,1020.9
0.0,69.0,29.0,7.0,8.0,0,18.2,18.9,3.8,1016.5,1011.6
