Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Sunshine,Pressure9am,Pressure3pm
0.0,69.0,33.0,43.0,55.0,37.0,7.0,7.0,0,18.1,19.9,8.8,1005.1,1006.4
1.2,56.0,31.0,26.0,50.0,43.0,6.0,7.0,1,15.8,17.8,12.9,1018.0,1019.3
0.0,31.0,13.0,19.0,51.0,35.0,1.0,7.0,0,19.6,21.1,10.5,1020.8,1017.6
0.0,35.0,2.0,20.0,67.0,23.0,5.0,4.0,0,28.2,29.2,12.5,1016.2,1012.8
0.0,33.0,9.0,20.0,51.0,31.0,6.0,2.0,0,27.1,29.0,12.3,1011.9,1010.3
0.0,50.0,11.0,28.0,50.0,34.0,0.0,1.0,0,29.8,31.7,13.7,1010.7,1007.7
0.2,46.0,17.0,28.0,98.0,67.0,8.0,7.0,0,19.9,21.4,4.4,1010.0,1009.9
0.2,56.0,28.0,35.0,51.0,42.0,2.0,5.0,0,17.7,18.4,11.5,1017.4,1018.9
0.0,43.0,19.0,28.0,51.0,42.0,2.0,7.0,0,19.3,19.7,12.6,1021.4,1018.0
0.0,43.0,7.0,24.0,76.0,46.0,7.0,1.0,0,21.8,23.6,10.2,1013.8,1010.3
0.0,41.0,9.0,17.0,77.0,52.0,8.0,1.0,0,23.0,23.5,10.2,1012.0,1009.7
0.0,26.0,11.0,17.0,73.0,47.0,8.0,5.0,0,22.4,25.1,7.8,1018.6,1017.4
0.0,52.0,35.0,22.0,39.0,12.0,0.0,0.0,0,35.1,37.1,13.5,1013.8,1010.0
0.0,57.0,35.0,24.0,12.0,45.0,3.0,4.0,0,24.8,33.5,12.3,1007.5,1009.4
0.0,44.0,28.0,22.0,56.0,44.0,7.0,5.0,0,21.4,23.1,10.1,1015.8,1014.5
0.0,61.0,28.0,28.0,59.0,33.0,7.0,6.0,0,19.8,21.6,9.9,1017.4,1018.4
