Rainfall,WindGustSpeed,WindSpeed3pm,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Sunshine,Pressure9am,Pressure3pm
0.0,56.0,31.0,51.0,24.0,6.0,1.0,0,26.0,27.4,12.6,1009.8,1008.5
0.0,39.0,15.0,39.0,21.0,0.0,7.0,0,23.3,24.8,13.3,1019.8,1017.7
0.0,30.0,9.0,39.0,18.0,0.0,1.0,0,27.1,28.6,13.6,1019.2,1016.0
0.0,26.0,17.0,24.0,9.0,2.0,2.0,0,32.8,34.5,13.5,1014.2,1012.1
0.0,37.0,13.0,37.0,7.0,1.0,1.0,0,35.6,37.3,13.4,1013.7,1010.8
0.0,37.0,15.0,34.0,6.0,0.0,0.0,0,37.8,39.2,13.4,1011.8,1007.7
0.0,48.0,26.0,67.0,22.0,3.0,1.0,0,31.5,32.3,13.1,1010.0,1008.7
0.0,46.0,17.0,50.0,20.0,0.0,1.0,0,24.7,27.3,12.5,1018.3,1017.0
0.0,35.0,17.0,43.0,14.0,2.0,7.0,0,26.4,27.8,7.8,1019.1,1014.8
0.0,52.0,11.0,35.0,11.0,7.0,1.0,0,30.4,32.2,11.6,1010.9,1008.0
0.0,56.0,17.0,53.0,14.0,7.0,1.0,0,32.0,33.4,11.8,1010.0,1008.9
0.0,50.0,20.0,40.0,9.0,0.0,0.0,0,33.0,34.4,13.3,1016.6,1013.9
0.0,35.0,6.0,22.0,9.0,0.0,0.0,0,38.7,40.4,13.7,1012.7,1009.4
0.0,41.0,20.0,13.0,7.0,0.0,0.0,0,41.4,42.4,13.0,1009.1,1007.6
0.0,52.0,20.0,51.0,23.0,4.0,4.0,0,25.9,29.7,11.8,1016.8,1015.8
0.0,48.0,20.0,53.0,21.0,0.0,0.0,0,27.6,29.8,12.9,1021.3,1018.3
0.0,43.0,20.0,45.0,15.0,1.0,3.0,0,25.7,28.6,13.1,1022.8,1019.5
0.0,28.0,13.0,30.0,12.0,7.0,6.0,0,30.0,32.7,11.7,1019.0,1016.0
