Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Evaporation,Sunshine,Pressure9am,Pressure3pm,Temp9am
4.0,61.0,20.0,30.0,73.0,39.0,3.0,3.0,1,17.8,18.7,5.0,10.6,1009.4,1008.9,13.4
0.0,50.0,17.0,31.0,74.0,49.0,8.0,8.0,0,16.2,18.1,5.4,3.6,1009.8,1008.9,14.4
1.0,43.0,20.0,24.0,73.0,47.0,5.0,6.0,0,18.2,19.3,3.2,12.0,1011.9,1013.9,13.6
0.0,50.0,17.0,26.0,69.0,39.0,8.0,8.0,0,20.5,21.2,4.4,1.6,1014.8,1009.5,13.7
12.8,63.0,24.0,39.0,86.0,65.0,8.0,7.0,1,18.7,19.3,3.8,1.8,1005.7,1006.9,16.1
0.6,57.0,26.0,39.0,81.0,46.0,7.0,5.0,0,18.5,19.6,2.4,8.6,1008.9,1008.7,15.7
0.0,39.0,11.0,26.0,65.0,46.0,7.0,7.0,0,16.4,16.8,5.8,2.3,1015.3,1014.6,12.6
0.0,35.0,15.0,26.0,51.0,42.0,7.0,6.0,0,20.4,21.0,4.0,9.4,1015.3,1011.0,13.9
0.4,33.0,22.0,15.0,87.0,91.0,8.0,7.0,0,13.1,16.5,3.4,3.9,1006.9,1007.8,11.1
4.2,50.0,20.0,35.0,58.0,43.0,4.0,3.0,1,19.3,19.9,2.0,14.0,1014.2,1012.2,14.9
0.0,35.0,26.0,15.0,56.0,25.0,1.0,1.0,0,24.7,25.8,5.0,10.8,1014.8,1010.3,14.7
0.8,59.0,7.0,22.0,85.0,93.0,8.0,8.0,0,13.5,15.4,6.8,0.0,1005.2,1000.3,15.2
78.8,63.0,37.0,33.0,86.0,74.0,8.0,8.0,1,13.6,14.9,3.4370722433460075,0.0,1002.3,1005.8,11.9
2.0,41.0,24.0,22.0,69.0,61.0,8.0,7.0,1,15.8,15.9,1.0,1.9,1011.4,1012.5,13.0
0.0,46.0,17.0,30.0,61.0,50.0,8.0,7.0,0,19.6,19.9,3.0,8.6,1014.4,1012.3,13.2
0.4,43.0,15.0,22.0,89.0,72.0,7.0,7.0,0,18.4,19.3,4.4,2.8,1013.6,1012.6,14.1
6.0,31.0,15.0,15.0,87.0,64.0,7.0,7.0,1,18.5,19.7,2.2,0.1,1012.8,1009.1,14.5
0.0,50.0,0.0,33.0,63.0,58.0,7.0,7.0,0,16.2,19.1,3.2,6.1,1008.0,1008.8,15.2
0.6,41.0,28.0,26.0,46.0,45.0,2.0,1.0,0,18.0,18.5,4.0,12.5,1017.9,1018.4,15.4
0.0,33.0,20.0,11.0,63.0,39.0,2.0,1.0,0,24.0,24.9,4.8,14.0,1021.5,1017.8,15.5
0.0,41.0,20.0,19.0,38.0,18.0,7.0,7.0,0,28.2,30.2,5.4,9.3,1014.6,1010.2,22.0
0.0,54.0,30.0,30.0,71.0,64.0,7.0,8.0,0,19.8,20.6,12.2,2.3,1006.1,1007.2,18.2
0.0,33.0,20.0,19.0,61.0,51.0,8.0,3.0,0,19.0,20.5,3.4,6.5,1016.2,1015.3,15.6
0.0,46.0,17.0,28.0,57.0,35.0,1.0,1.0,0,24.8,25.4,3.8,13.8,1013.5,1011.8,16.2
0.0,33.0,13.0,19.0,63.0,40.0,7.0,4.0,0,23.5,24.0,7.0,13.2,1015.9,1012.6,16.8
0.0,30.0,13.0,13.0,68.0,45.0,6.0,7.0,0,24.8,25.8,5.2,11.8,1010.8,1008.1,18.4
0.0,39.0,15.0,22.0,66.0,50.0,4.0,7.0,0,21.6,22.8,4.6,13.4,1007.6,1005.6,18.0
0.0,56.0,24.0,28.0,89.0,59.0,8.0,7.0,0,20.1,20.6,6.2,5.1,1004.6,1004.3,16.2
0.8,48.0,28.0,30.0,45.0,49.0,5.0,7.0,0,17.9,19.1,4.8,9.3,1010.5,1009.8,16.2
6.0,59.0,30.0,39.0,60.0,50.0,7.0,7.0,1,17.4,18.8,4.0,8.8,1006.2,1006.6,16.4
0.0,52.0,24.0,31.0,64.0,51.0,8.0,6.0,0,18.6,19.6,4.6,7.1,1007.7,1006.3,14.6
0.8,56.0,28.0,35.0,66.0,43.0,7.0,5.0,0,16.6,17.0,4.8,6.5,1008.3,1011.6,14.3
0.0,43.0,28.0,20.0,48.0,37.0,5.0,1.0,0,17.4,18.8,4.8,11.7,1020.6,1020.6,15.5
0.0,43.0,13.0,13.0,55.0,33.0,7.0,3.0,0,21.3,22.6,4.6,11.9,1020.5,1017.0,13.3
0.0,33.0,11.0,20.0,56.0,44.0,3.0,1.0,0,23.9,25.3,4.8,13.8,1016.2,1013.8,16.6
