Rainfall,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp
0.0,50.0,24.0,3.0,4.0,0,30.6,24.10106990014265
0.0,74.06142857142858,59.0,8.0,0.0,0,25.4,32.2
0.0,74.0,26.0,4.0,4.0,0,32.0,32.2
0.0,66.0,61.0,7.0,5.0,0,23.0,24.0
0.0,85.0,57.362684435982864,8.0,1.0,0,22.32553393450403,30.2
0.0,56.0,39.0,6.0,7.0,0,31.8,34.2
0.0,91.0,39.0,8.0,4.0,0,27.0,27.8
0.0,74.06142857142858,71.0,8.0,7.0,0,22.2,26.2
0.0,78.0,53.0,1.0,3.0,0,28.2,29.4
0.0,63.0,57.362684435982864,0.0,1.0,0,22.32553393450403,26.4
0.0,83.0,72.0,8.0,8.0,0,20.0,21.4
0.4,87.0,96.0,8.0,8.0,0,18.8,22.4
29.8,95.0,51.0,8.0,7.0,1,28.8,31.6
1.0,55.0,39.0,3.0,3.0,0,25.4,27.2
0.0,42.0,49.0,4.0,1.0,0,21.8,22.8
0.0,72.0,51.0,0.0,1.0,0,26.0,27.0
0.0,51.0,44.0,2.0,1.0,0,28.2,29.0
0.0,91.0,34.0,2.0,7.0,0,31.0,34.0
1.2,71.0,98.0,1.0,2.0,1,23.0,26.6
0.0,96.0,96.0,6.0,5.0,0,20.8,21.6
0.0,96.0,98.0,3.0,2.0,0,23.6,24.2
0.0,100.0,49.0,1.0,1.0,0,25.4,26.4
0.0,62.0,42.0,6.0,8.0,0,29.0,31.0
2.0,81.0,73.0,8.0,8.0,1,21.0,24.10106990014265
0.0,74.06142857142858,57.362684435982864,8.0,1.0,0,22.32553393450403,25.6
0.0,87.0,63.0,6.0,1.0,0,29.0,29.4
0.0,88.0,51.0,8.0,8.0,0,30.4,30.6
0.0,74.0,57.362684435982864,1.0,1.0,0,22.32553393450403,31.2
0.0,57.0,80.0,7.0,6.0,0,21.6,28.8
10.6,77.0,36.0,5.0,4.0,1,30.8,33.4
0.0,50.0,23.0,0.0,0.0,0,32.2,33.4
0.0,71.0,47.0,1.0,6.0,0,28.0,32.8
0.0,65.0,52.0,4.0,1.0,0,24.8,25.6
0.8,64.0,60.0,8.0,8.0,0,22.2,22.6
0.0,67.0,53.0,0.0,0.0,0,27.0,28.8
0.0,69.0,40.0,1.0,2.0,0,34.4,36.0
0.0,55.0,65.0,0.0,1.0,0,26.8,31.8
0.0,77.0,57.0,2.0,8.0,0,30.6,34.8
0.0,74.0,77.0,8.0,8.0,0,21.6,23.8
2.4,61.0,48.0,8.0,6.0,1,22.2,22.6
0.2,58.0,45.0,7.0,5.0,0,24.4,25.4
0.0,59.0,74.0,1.0,1.0,0,22.6,27.6
0.0,70.0,46.0,0.0,1.0,0,27.6,28.2
0.0,65.0,56.0,2.0,5.0,0,27.6,28.4
0.0,74.0,35.0,0.0,0.0,0,34.4,35.2
0.0,54.0,17.0,0.0,1.0,0,40.2,40.6
6.6,80.0,60.0,8.0,1.0,1,25.8,27.0
1.6,61.0,53.0,7.0,7.0,1,20.0,22.0
0.0,69.0,47.0,1.0,1.0,0,23.8,25.0
0.0,66.0,48.0,5.0,6.0,0,26.8,28.6
0.0,69.0,35.0,0.0,2.0,0,33.2,35.0
0.0,63.0,26.0,5.0,6.0,0,37.8,38.2
0.0,72.0,71.0,8.0,8.0,0,26.6,28.8
2.0,63.0,46.0,1.0,5.0,1,33.6,35.4
0.0,53.0,35.0,0.0,6.0,0,38.2,40.0
2.4,65.0,65.0,8.0,8.0,1,23.2,24.0
0.0,92.0,81.0,8.0,8.0,0,25.4,26.4
0.0,83.0,70.0,7.0,6.0,0,27.4,29.0
0.0,81.0,51.0,6.0,1.0,0,29.8,30.8
0.0,80.0,59.0,3.0,1.0,0,30.4,32.0
0.0,67.0,51.0,0.0,1.0,0,30.4,32.2
0.0,67.0,26.0,1.0,2.0,0,34.4,34.8
0.0,75.0,53.0,0.0,0.0,0,30.2,31.4
0.0,74.0,52.0,3.0,3.0,0,29.4,31.0
0.0,74.0,51.0,3.0,3.0,0,31.5,31.8
0.0,76.0,62.0,6.0,1.0,0,29.4,31.0
0.0,74.0,47.0,0.0,0.0,0,33.0,34.2
0.0,72.0,44.0,0.0,0.0,0,33.2,35.0
0.0,51.0,31.0,1.0,0.0,0,35.6,37.8
0.0,61.0,43.0,0.0,0.0,0,33.2,34.2
0.0,77.0,57.362684435982864,5.0,1.0,0,22.32553393450403,27.6
0.8,89.0,83.0,8.0,8.0,0,22.6,25.0
13.4,94.0,69.0,8.0,8.0,1,22.6,23.8
13.2,82.0,71.0,7.0,8.0,1,20.0,21.8
45.4,96.0,58.0,8.0,7.0,1,23.0,24.4
3.6,81.0,100.0,8.0,8.0,1,17.0,19.6
147.2,100.0,57.362684435982864,8.0,1.0,1,22.32553393450403,22.8
13.8,69.0,60.0,7.0,7.0,1,24.0,25.0
0.0,73.0,86.0,8.0,8.0,0,21.0,23.4
22.6,92.0,71.0,8.0,7.0,1,24.8,25.6
0.0,91.0,61.0,7.0,5.0,0,27.6,30.0
2.6,86.0,70.0,7.0,2.0,1,28.0,29.6
