Rainfall,WindGustSpeed,WindSpeed3pm,Humidity9am,Humidity3pm,RainToday,Temp3pm,MaxTemp,Pressure9am,Pressure3pm
0.2,54.0,30.0,62.0,27.0,0,25.3,27.4,1021.2,1019.3
0.0,46.0,19.0,60.0,22.0,0,27.6,30.1,1022.7,1019.9
0.0,50.0,20.0,51.0,26.0,0,29.4,30.6,1021.0,1017.8
0.0,48.0,17.0,52.0,23.0,0,32.0,32.4,1018.9,1015.9
0.0,54.0,20.0,48.0,25.0,0,32.6,34.2,1016.9,1014.5
0.4,28.0,9.0,41.0,26.0,0,32.7,35.2,1015.3,1012.8
0.0,33.0,9.0,45.0,29.0,0,32.8,35.2,1015.5,1014.2
0.0,33.0,11.0,42.0,18.0,0,35.4,37.3,1017.1,1014.3
0.0,43.0,20.0,33.0,17.0,0,34.4,36.5,1015.1,1012.8
0.0,30.0,9.0,44.0,20.0,0,34.6,37.7,1015.8,1013.9
0.0,43.0,13.0,35.0,16.0,0,37.5,39.0,1015.8,1013.5
0.0,50.0,26.0,31.0,15.0,0,36.8,38.5,1014.1,1010.2
0.0,54.0,30.0,54.0,30.0,0,24.7,25.4,1011.6,1011.6
0.0,46.0,22.0,55.0,28.0,0,24.7,26.5,1017.1,1015.0
0.0,41.0,19.0,81.0,28.0,0,25.1,26.9,1019.1,1016.7
0.0,63.0,28.0,69.0,80.0,0,17.6,23.8,1017.5,1016.8
0.2,50.0,26.0,71.0,28.0,0,19.2,21.3,1026.3,1024.6
0.0,48.0,19.0,77.0,33.0,0,21.4,23.5,1025.2,1022.6
0.0,30.0,7.0,72.0,26.0,0,24.8,25.9,1023.5,1020.6
0.0,39.0,19.0,41.0,15.0,0,29.8,30.9,1018.6,1013.1
0.0,89.0,57.0,29.0,38.0,0,22.6,25.0,1001.0,1003.0
0.2,43.0,24.0,64.0,47.0,0,17.6,18.3,1014.5,1014.6
0.2,48.0,26.0,85.0,40.0,0,23.2,24.7,1017.2,1015.1
0.0,56.0,31.0,74.0,56.0,0,22.1,24.3,1014.5,1014.6
0.0,26.0,11.0,87.0,43.0,0,22.0,23.0,1019.3,1017.4
0.0,39.0,24.0,60.0,23.0,0,32.3,33.5,1015.5,1010.7
0.0,63.0,26.0,23.0,30.0,0,28.6,31.5,1006.8,1007.8
4.2,70.0,37.0,82.0,47.0,1,18.6,20.2,1017.8,1018.8
0.2,26.0,13.0,84.0,49.0,0,18.4,19.6,1023.6,1021.0
0.0,43.0,30.0,87.0,55.0,0,19.5,20.9,1017.1,1014.5
0.4,41.0,24.0,92.0,49.0,0,19.8,22.1,1015.9,1015.9
0.0,39.0,24.0,80.0,49.0,0,19.5,22.1,1020.3,1018.8
0.0,44.0,26.0,84.0,46.0,0,23.6,23.8,1020.1,1018.8
0.2,44.0,24.0,91.0,35.0,0,19.3,20.5,1026.5,1024.7
0.0,33.0,17.0,84.0,30.0,0,22.1,23.9,1028.3,1025.9
0.0,41.0,19.0,66.0,27.0,0,26.8,28.4,1027.4,1024.2
0.0,31.0,11.0,60.0,23.0,0,29.5,31.1,1023.5,1019.6
0.0,33.0,17.0,39.0,25.0,0,29.3,30.1,1022.1,1019.1
0.0,33.0,15.0,71.0,24.0,0,26.7,27.4,1025.2,1022.3
0.0,28.0,7.0,73.0,27.0,0,26.9,28.0,1025.9,1021.9
0.0,30.0,9.0,60.0,13.0,0,28.2,28.8,1023.4,1020.2
0.0,33.0,11.0,42.0,29.0,0,27.0,28.7,1024.0,1021.6
0.0,28.0,13.0,57.0,21.0,0,29.5,30.4,1022.9,1017.4
0.0,41.0,24.0,28.0,38.0,0,24.3,25.4,1013.6,1012.0
0.0,44.0,28.0,78.0,50.0,0,21.0,23.8,1012.8,1010.0
0.0,44.0,19.0,88.0,35.0,0,19.9,20.6,1014.5,1013.1
0.0,30.0,20.0,74.0,31.0,0,19.2,19.9,1019.5,1016.3
0.0,35.0,20.0,68.0,30.0,0,19.9,20.8,1018.7,1016.3
0.0,48.0,26.0,93.0,35.0,0,20.3,22.0,1021.8,1020.5
0.0,41.0,22.0,69.0,25.0,0,17.8,18.5,1027.6,1024.0
0.0,33.0,15.0,64.0,28.0,0,19.3,20.3,1022.8,1017.7
0.0,61.0,15.0,48.0,81.0,0,10.3,17.4,1011.1,1006.5
9.8,43.0,28.0,86.0,64.0,1,18.0,19.4,1009.0,1008.4
0.4,35.0,20.0,84.0,55.0,0,16.1,17.4,1017.4,1017.3
0.0,37.0,9.0,77.0,71.0,0,17.3,19.8,1021.2,1018.9
1.2,54.0,33.0,90.0,44.0,1,20.5,20.8,1022.8,1021.2
0.0,33.0,17.0,94.0,51.0,0,22.0,22.6,1024.7,1022.4
0.0,59.0,33.0,58.0,20.0,0,27.3,27.8,1018.3,1012.3
0.0,33.0,19.0,78.0,57.0,0,18.0,18.6,1016.9,1017.1
0.0,30.0,11.0,65.0,39.0,0,18.5,19.1,1024.9,1024.0
0.0,24.0,7.0,62.0,36.0,0,19.4,19.9,1026.1,1022.7
0.0,50.0,37.0,79.0,39.0,0,18.8,20.3,1024.4,1022.9
0.0,31.0,9.0,73.0,31.0,0,17.8,18.4,1029.0,1025.4
0.0,41.0,24.0,51.0,21.0,0,21.8,22.4,1021.5,1016.1
0.0,43.0,20.0,65.0,33.0,0,16.6,17.4,1027.3,1025.1
0.0,31.0,13.0,77.0,35.0,0,16.1,16.9,1027.9,1024.3
0.0,33.0,13.0,66.0,69.0,0,11.8,12.2,1026.1,1023.0
1.2,31.0,17.0,70.0,28.0,1,23.5,23.9,1023.8,1021.4
0.0,31.0,11.0,75.0,27.0,0,25.9,26.3,1026.7,1023.8
0.0,37.0,13.0,66.0,24.0,0,27.3,27.9,1028.3,1025.5
0.0,33.0,17.0,66.0,26.0,0,25.4,26.3,1028.4,1024.8
0.0,44.0,19.0,47.0,23.0,0,25.1,26.3,1025.0,1020.0
0.0,37.0,20.0,80.0,82.0,0,16.2,16.9,1018.4,1015.3
8.4,52.0,30.0,83.0,57.0,1,12.2,13.8,1015.4,1014.9
0.8,43.0,26.0,88.0,56.0,0,14.4,14.6,1013.6,1010.9
3.8,65.0,37.0,89.0,69.0,1,14.3,15.8,1010.3,1007.8
1.8,43.0,31.0,86.0,52.0,1,16.1,17.3,1013.2,1012.6
0.0,30.0,19.0,93.0,60.0,0,14.3,14.9,1019.3,1017.7
0.0,26.0,19.0,93.0,59.0,0,14.2,14.7,1020.3,1018.2
0.2,59.0,20.0,93.0,43.0,0,18.4,19.1,1020.4,1016.1
0.4,26.0,17.0,79.0,78.0,0,14.7,15.6,1016.8,1015.4
4.8,35.0,20.0,87.0,66.0,1,14.3,14.8,1017.8,1014.2
1.4,31.0,19.0,90.0,82.0,1,11.9,12.9,1011.2,1010.1
2.0,39.0,24.0,93.0,49.0,1,16.3,16.6,1020.9,1020.6
0.0,31.0,22.0,92.0,62.0,0,16.5,17.0,1026.8,1025.2
0.0,41.0,17.0,90.0,55.0,0,17.9,18.4,1028.6,1026.7
0.4,31.0,17.0,94.0,64.0,0,14.3,14.8,1030.7,1028.9
0.0,22.0,6.0,93.0,54.0,0,14.9,16.0,1031.0,1028.5
0.0,20.0,11.0,86.0,54.0,0,15.9,16.3,1028.4,1024.7
0.0,28.0,13.0,79.0,42.0,0,17.5,18.1,1024.4,1021.0
1.0,30.0,17.0,84.0,76.0,0,17.0,17.3,1021.6,1019.5
0.8,28.0,15.0,94.0,91.0,0,14.6,14.9,1021.1,1018.6
14.4,50.0,20.0,93.0,91.0,1,14.4,15.5,1013.3,1010.4
11.2,46.0,22.0,85.0,70.0,1,14.7,15.5,1021.2,1022.4
0.0,31.0,17.0,93.0,69.0,0,14.1,14.9,1027.5,1026.5
0.0,17.0,6.0,78.0,70.0,0,13.3,13.4,1028.1,1025.0
0.0,33.0,20.0,84.0,69.0,0,13.2,13.6,1022.9,1018.5
0.2,41.0,28.0,85.0,59.0,0,16.3,17.2,1016.9,1014.5
1.8,50.0,22.0,81.0,56.0,1,13.4,14.6,1022.4,1024.8
0.0,26.0,13.0,92.0,58.0,0,13.0,13.5,1031.1,1028.4
0.0,24.0,13.0,81.0,51.0,0,14.0,15.0,1026.6,1022.2
0.0,33.0,22.0,77.0,50.0,0,18.1,19.2,1018.8,1015.9
0.6,35.0,19.0,88.0,76.0,0,16.2,17.1,1017.1,1013.4
65.6,54.0,28.0,92.0,91.0,1,10.9,11.9,1010.3,1008.2
20.0,43.0,24.0,81.0,74.0,1,13.7,14.2,1010.7,1011.4
0.2,54.0,26.0,82.0,73.0,0,12.0,13.3,1016.6,1017.1
0.0,35.0,24.0,92.0,59.0,0,13.9,14.9,1022.7,1021.4
0.2,28.0,13.0,93.0,57.0,0,13.7,14.2,1023.1,1019.5
0.2,22.0,13.0,94.0,65.0,0,11.8,12.4,1017.8,1014.9
0.2,28.0,19.0,93.0,55.0,0,13.8,14.6,1019.8,1019.4
0.0,31.0,19.0,87.0,52.0,0,12.8,13.3,1026.9,1025.1
0.0,24.0,9.0,87.0,67.0,0,12.6,12.8,1025.0,1021.2
0.2,39.0,7.0,85.0,73.0,0,11.4,13.4,1017.8,1015.7
9.0,46.0,28.0,86.0,65.0,1,13.5,13.9,1021.3,1021.8
0.6,37.0,24.0,82.0,66.0,0,13.2,13.4,1028.3,1026.6
0.0,28.0,7.0,73.0,53.0,0,13.6,14.4,1028.3,1026.1
0.0,15.0,9.0,93.0,54.0,0,14.1,14.5,1026.0,1023.6
0.2,17.0,6.0,93.0,54.0,0,14.8,15.3,1023.7,1021.6
0.0,13.0,6.0,91.0,50.0,0,16.1,17.0,1022.3,1020.3
0.0,15.0,7.0,91.0,54.0,0,16.8,16.9,1024.7,1023.4
0.4,35.0,22.0,93.0,58.0,0,14.5,15.1,1029.1,1027.9
0.0,33.0,20.0,94.0,67.0,0,15.9,16.6,1029.4,1026.7
3.0,46.0,33.0,92.0,71.0,1,16.4,16.7,1025.9,1023.7
0.2,48.0,35.0,92.0,53.0,0,15.9,16.5,1025.4,1022.9
0.0,41.0,31.0,87.0,42.0,0,16.0,16.5,1022.9,1017.6
0.2,67.0,39.0,67.0,50.0,0,15.6,16.4,1007.6,1002.7
2.6,72.0,33.0,87.0,68.0,1,11.9,12.3,1012.1,1013.1
1.4,43.0,22.0,91.0,70.0,1,13.0,13.5,1019.1,1018.7
2.2,30.0,17.0,92.0,66.0,1,13.0,13.3,1025.6,1025.5
0.0,26.0,15.0,93.0,56.0,0,13.0,14.0,1033.5,1033.3
0.2,20.0,11.0,92.0,69.0,0,11.3,11.7,1035.9,1032.7
0.2,20.0,9.0,94.0,56.0,0,12.0,12.7,1031.6,1029.8
0.0,28.0,20.0,88.0,74.0,0,12.4,13.4,1031.9,1028.6
0.2,28.0,17.0,93.0,77.0,0,14.0,14.3,1028.6,1025.9
