Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,RainToday,Temp3pm,MaxTemp
0.0,63.0,9.0,24.0,69.0,69.0,0,25.9,28.1
0.0,69.0,15.0,28.0,62.0,62.0,0,23.0,23.8
0.0,52.0,19.0,19.0,61.0,62.0,0,22.1,23.0
0.0,61.0,39.0,46.0,70.0,68.0,0,23.7,25.0
0.0,48.0,20.0,35.0,73.0,73.0,0,23.7,25.9
0.0,43.0,28.0,20.0,92.0,80.0,0,24.3,26.5
0.0,44.0,24.0,15.0,85.0,82.0,0,23.7,27.7
0.0,57.0,35.0,41.0,86.0,81.0,0,20.6,22.3
2.8,59.0,43.0,30.0,64.0,59.0,1,20.9,22.8
0.0,50.0,19.0,22.0,62.0,51.0,0,23.4,25.6
0.0,43.0,19.0,30.0,69.0,66.0,0,24.0,27.3
1.0,31.0,13.0,21.027936721642543,84.0,67.52119784656797,0,20.764211234443323,26.2
0.2,54.0,17.0,31.0,75.0,66.0,0,25.2,27.8
0.0,52.0,22.0,41.0,78.0,69.0,0,25.1,26.7
0.0,69.0,30.0,21.027936721642543,79.0,67.52119784656797,0,20.764211234443323,27.7
10.4,57.0,11.0,20.0,78.0,69.0,1,23.3,24.7
1.2,61.0,48.0,43.0,65.0,63.0,1,20.4,21.1
0.0,41.0,11.0,22.0,66.0,54.0,0,22.7,23.8
0.0,54.0,30.0,35.0,65.0,67.0,0,24.7,26.2
0.0,48.0,20.0,37.0,74.0,71.0,0,25.5,26.7
0.0,72.0,15.0,37.0,77.0,71.0,0,25.6,27.6
2.0,69.0,19.0,21.027936721642543,71.0,67.52119784656797,1,20.764211234443323,29.2
0.0,41.0,19.0,24.0,61.0,67.0,0,26.5,33.2
0.0,74.0,17.0,17.0,63.0,30.0,0,39.8,40.4
0.0,65.0,31.0,24.0,69.0,68.0,0,23.2,23.8
0.4,42.18305084745763,24.0,26.0,91.0,84.0,0,23.1,23.4
0.0,31.0,13.0,13.0,94.0,67.52119784656797,0,25.9,26.1
0.2,41.0,6.0,30.0,80.0,70.0,0,26.3,28.1
0.2,50.0,9.0,39.0,81.0,75.0,0,26.4,29.6
0.2,57.0,9.0,41.0,76.0,72.0,0,26.2,29.3
0.0,56.0,11.0,33.0,82.0,71.0,0,25.9,29.0
0.2,31.0,11.0,20.0,81.0,71.0,0,26.1,26.8
0.0,44.0,9.0,28.0,78.0,73.0,0,25.8,29.0
0.0,30.0,19.0,9.0,83.0,70.0,0,26.2,26.9
0.0,33.0,17.0,13.0,96.0,82.0,0,25.3,26.1
2.0,52.0,9.0,33.0,85.0,74.0,1,25.8,28.7
0.0,43.0,6.0,11.0,82.0,73.0,0,25.5,28.7
0.0,56.0,26.0,35.0,82.0,71.0,0,24.7,25.1
0.0,50.0,22.0,24.0,84.0,73.0,0,23.0,24.8
0.0,44.0,17.0,21.027936721642543,90.0,85.0,0,21.1,21.4
7.4,57.0,30.0,31.0,97.0,95.0,1,19.2,19.4
13.8,56.0,24.0,33.0,89.0,82.0,1,20.5,21.5
13.8,56.0,33.0,30.0,90.0,91.0,1,18.8,20.5
16.0,59.0,30.0,19.0,89.0,77.0,1,20.3,21.1
14.2,65.0,43.0,37.0,74.0,84.0,1,18.8,20.4
26.6,56.0,26.0,30.0,89.0,90.0,1,19.6,21.7
19.2,67.0,37.0,33.0,77.0,73.0,1,22.6,23.3
2.2,67.0,37.0,37.0,75.0,84.0,1,21.2,22.0
23.6,74.0,11.0,30.0,88.0,82.0,1,22.6,24.1
0.0,33.0,11.0,24.0,76.0,75.0,0,24.2,28.8
0.0,33.0,9.0,22.0,83.0,76.0,0,24.9,27.8
0.0,31.0,4.0,22.0,89.0,75.0,0,23.5,24.8
0.0,30.0,13.0,17.0,71.0,66.0,0,24.9,25.8
0.0,50.0,2.0,33.0,80.0,76.0,0,25.7,27.7
1.6,43.0,9.0,22.0,85.0,72.0,1,27.0,29.4
0.0,41.0,11.0,24.0,83.0,73.0,0,25.1,27.0
0.0,50.0,30.0,41.0,70.0,70.0,0,22.7,23.6
0.2,41.0,13.0,24.0,70.0,59.0,0,23.1,23.8
0.0,46.0,9.0,22.0,74.0,68.0,0,26.3,26.8
0.0,50.0,24.0,20.0,75.0,68.0,0,25.0,26.0
0.0,30.0,15.0,15.0,70.0,62.0,0,25.5,26.2
0.0,44.0,26.0,26.0,68.0,66.0,0,25.7,29.0
0.0,46.0,17.0,30.0,79.0,67.0,0,22.5,25.5
0.0,33.0,11.0,26.0,47.0,44.0,0,22.8,23.0
0.0,43.0,9.0,19.0,68.0,57.0,0,23.1,23.7
0.0,35.0,9.0,22.0,81.0,73.0,0,25.0,25.5
0.0,35.0,20.0,24.0,75.0,66.0,0,25.0,26.2
0.0,35.0,26.0,24.0,76.0,65.0,0,24.4,25.4
0.0,33.0,28.0,26.0,69.0,59.0,0,24.2,25.2
3.6,46.0,39.0,30.0,89.0,71.0,1,23.6,24.1
0.0,43.0,20.0,24.0,68.0,65.0,0,25.1,27.8
0.0,39.0,7.0,13.0,85.0,70.0,0,24.9,27.2
0.0,46.0,17.0,28.0,83.0,80.0,0,22.3,25.3
2.2,50.0,9.0,19.0,76.0,73.0,1,26.6,27.4
7.6,41.0,15.0,22.0,45.0,44.0,1,22.0,22.9
0.0,43.0,7.0,22.0,61.0,49.0,0,23.5,24.0
0.0,44.0,2.0,24.0,69.0,59.0,0,25.3,26.9
0.0,30.0,9.0,24.0,76.0,73.0,0,24.5,26.5
0.2,20.0,2.0,15.0,85.0,73.0,0,25.2,26.4
0.2,26.0,6.0,20.0,78.0,68.0,0,24.6,25.9
0.4,35.0,7.0,22.0,86.0,71.0,0,24.5,26.5
0.0,43.0,9.0,26.0,77.0,68.0,0,25.5,27.2
0.0,46.0,22.0,31.0,80.0,74.0,0,24.6,25.9
0.0,48.0,26.0,30.0,79.0,73.0,0,24.2,26.9
