Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Pressure3pm,Evaporation,Sunshine,Pressure9am
0.0,31.0,84.0,71.0,3.0,1.0,0,1013.6,6.0,12.4,1014.5
0.2,31.0,79.0,77.0,2.0,5.0,0,1015.5,8.0,10.3,1016.3
0.0,35.0,87.0,90.0,7.0,7.0,0,1014.3,3.2,2.0,1014.6
1.2,41.0,92.0,95.0,8.0,8.0,1,1015.3,2.8,0.0,1016.0
2.6,52.0,86.0,86.0,7.0,7.0,1,1013.7,2.2,2.9,1015.3
0.0,48.0,84.0,79.0,5.0,3.0,0,1012.7,3.0,8.7,1014.5
0.0,52.0,86.0,79.0,6.0,2.0,0,1013.0,7.2,6.0,1014.1
0.0,52.0,82.0,82.0,6.0,6.0,0,1009.4,4.4,6.0,1011.5
0.0,61.0,92.0,95.0,8.0,8.0,0,1000.4,5.0,0.0,1003.9
45.2,81.0,77.0,64.0,7.0,6.0,1,1001.2,15.0,3.0,1001.7
0.4,54.0,83.0,82.0,7.0,7.0,0,1006.9,5.4,1.2,1006.4
0.0,37.0,78.0,78.0,5.0,5.0,0,1010.5,4.0,12.0,1011.2
0.0,35.0,77.0,77.0,7.0,7.0,0,1010.4,7.2,7.1,1011.4
1.6,46.0,74.0,55.0,4.0,1.0,1,1012.4,5.0,10.4,1013.2
0.0,37.0,64.0,69.0,1.0,2.0,0,1015.0,8.0,12.7,1015.3
0.0,26.0,63.0,61.0,1.0,1.0,0,1016.2,5.2,11.9,1016.9
0.0,30.0,65.0,62.0,1.0,7.0,0,1013.4,5.8,9.6,1015.0
12.8,50.0,84.0,66.0,8.0,7.0,1,1014.8,5.8,5.1,1014.6
0.0,31.0,58.0,60.0,2.0,1.0,0,1018.0,5.0,10.6,1018.7
0.0,35.0,60.0,62.0,2.0,1.0,0,1021.4,6.0,12.2,1021.7
0.0,41.0,60.0,68.0,1.0,1.0,0,1021.8,8.0,13.0,1022.9
0.0,46.0,78.0,71.0,2.0,2.0,0,1020.5,7.8,11.8,1022.6
0.0,46.0,76.0,72.0,7.0,7.0,0,1018.5,7.0,2.6,1020.8
0.0,52.0,83.0,72.0,4.0,1.0,0,1016.7,2.6,9.1,1018.3
0.0,46.0,74.0,75.0,3.0,5.0,0,1018.3,7.2,10.4,1018.1
0.0,41.0,73.0,67.0,4.0,7.0,0,1016.9,6.8,12.1,1018.4
0.0,30.0,68.0,65.0,3.0,2.0,0,1015.0,7.6,13.0,1015.9
0.0,35.0,76.0,71.0,3.0,2.0,0,1016.1,5.6,12.7,1016.4
0.8,41.0,70.0,66.0,2.0,3.0,0,1018.4,8.8,11.5,1019.0
0.0,41.0,64.0,63.0,1.0,2.0,0,1018.3,7.8,12.1,1019.5
0.0,43.0,74.0,70.0,4.0,6.0,0,1017.6,7.2,8.9,1019.3
2.0,37.0,86.0,72.0,8.0,7.0,1,1014.3,5.4,1.1,1015.7
0.2,35.0,79.0,75.0,8.0,5.0,0,1013.1,4.2,6.5,1014.4
0.0,37.0,69.0,73.0,6.0,8.0,0,1011.6,5.6,8.3,1013.6
0.0,35.0,81.0,84.0,7.0,7.0,0,1009.9,5.2,3.8,1011.5
1.8,44.0,95.0,95.0,8.0,8.0,1,1006.1,4.2,0.0,1008.7
17.6,67.0,92.0,96.0,8.0,8.0,1,998.8,2.8,0.0,1000.6
3.8,61.0,98.0,90.0,8.0,7.0,1,1005.4,0.4,1.2,1003.1
6.0,43.0,87.0,80.0,4.0,4.0,1,1012.6,0.6,9.7,1012.1
0.6,56.0,90.0,94.0,7.0,8.0,0,1012.5,4.8,0.1,1014.2
20.6,33.0,85.0,80.0,3.0,5.0,1,1012.3,3.4,10.6,1013.6
0.2,37.0,87.0,86.0,7.0,7.0,0,1010.9,4.8,10.0,1012.9
0.0,50.0,87.0,87.0,4.0,4.0,0,1008.3,6.4,5.0,1008.8
