MinTemp,Rainfall,Humidity9am,Humidity3pm,RainToday,Temp3pm,MaxTemp
12.0,0.0,76.89762711864407,49.0,0,32.1,33.1
15.9,0.0,76.89762711864407,49.0,0,23.7,25.8
13.6,0.0,76.89762711864407,49.0,0,20.0,20.8
16.3,0.0,76.89762711864407,49.0,0,29.3,30.1
14.6,0.0,76.89762711864407,49.0,0,36.1,36.5
14.0,0.0,76.89762711864407,49.0,0,38.0,38.2
15.6,0.0,76.89762711864407,49.0,0,35.8,38.2
19.4,0.0,76.89762711864407,49.0,0,18.3,21.4
14.2,1.4,76.89762711864407,49.0,1,19.9,21.2
11.3,0.0,76.89762711864407,49.0,0,23.3,25.1
11.8,0.0,76.89762711864407,49.0,0,27.8,28.5
15.4,3.4,76.89762711864407,49.0,1,26.4,28.3
17.8,0.2,76.89762711864407,49.0,0,29.3,31.1
15.1,0.0,76.89762711864407,49.0,0,37.0,38.4
17.6,0.0,76.89762711864407,49.0,0,39.9,40.7
15.9,0.4,76.89762711864407,49.0,0,30.7,34.9
14.7,0.2,76.89762711864407,49.0,0,20.0,21.4
10.7,0.0,76.89762711864407,49.0,0,27.1,28.0
11.6,0.0,76.89762711864407,23.0,0,31.9,33.5
15.4,0.0,60.0,19.0,0,38.5,39.0
21.6,0.0,61.0,26.0,0,38.1,38.9
21.2,1.6,65.0,48.0,1,30.9,32.6
23.0,0.2,53.0,40.0,0,35.0,36.4
23.0,0.0,51.0,23.0,0,40.5,41.0
19.8,0.0,57.0,40.0,0,27.2,27.6
21.1,0.0,64.0,51.0,0,30.1,30.7
19.8,10.6,99.0,63.0,1,27.3,29.2
18.1,0.2,99.0,38.0,0,32.9,35.1
16.9,0.0,89.0,37.0,0,32.8,34.7
17.6,0.0,74.0,32.0,0,33.3,34.8
17.5,0.0,76.0,31.0,0,36.6,37.5
19.7,0.0,71.0,43.0,0,31.8,33.3
19.5,0.0,75.0,36.0,0,34.0,35.5
20.5,0.0,69.0,37.0,0,31.9,34.0
21.6,0.0,77.0,43.0,0,31.8,33.2
19.7,0.0,76.0,26.0,0,38.3,40.1
22.1,0.0,71.0,23.0,0,40.4,41.3
21.7,0.0,64.0,18.0,0,41.0,41.9
17.6,0.0,54.0,24.0,0,39.5,41.4
21.6,0.0,83.0,71.0,0,22.5,23.5
17.3,2.8,95.0,97.0,1,19.2,19.8
16.2,4.6,84.0,64.0,1,21.1,21.8
15.6,0.0,75.0,69.0,0,20.1,20.6
15.0,7.6,97.0,91.0,1,17.3,18.9
15.0,18.2,96.0,96.0,1,17.8,18.4
15.6,27.6,93.0,90.0,1,20.1,21.7
16.5,39.8,97.0,60.0,1,22.5,24.4
16.5,3.4,94.0,67.0,1,21.4,21.8
17.4,13.6,83.0,55.0,1,26.4,27.4
18.9,0.0,73.0,76.0,0,24.5,29.7
18.8,5.0,82.0,43.0,1,31.6,32.4
20.8,0.2,90.0,87.0,0,21.7,26.8
18.5,24.6,89.0,60.0,1,24.9,26.1
19.5,0.2,76.0,56.0,0,31.1,31.6
18.0,8.2,99.0,51.0,1,31.5,32.5
19.2,0.2,82.0,55.0,0,29.1,30.0
18.8,0.0,75.0,49.0,0,24.8,25.5
15.2,0.0,72.0,45.0,0,24.9,26.2
14.6,0.0,85.0,44.0,0,31.7,32.8
17.4,0.0,76.0,43.0,0,28.4,28.8
18.3,0.0,85.0,52.0,0,27.1,27.8
17.7,0.0,93.0,55.0,0,26.8,28.8
19.7,0.0,89.0,53.0,0,24.1,25.0
10.3,0.0,45.0,29.0,0,25.3,26.0
9.8,0.0,77.0,39.0,0,25.2,26.1
13.9,0.0,81.0,44.0,0,27.8,28.4
