MinTemp,Rainfall,WindGustSpeed,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,Sunshine,Pressure9am,Pressure3pm
10.7,0.0,76.0,62.0,4.0,6.0,0,16.7,11.5,1001.7,1003.4
8.0,0.0,50.0,36.0,3.0,6.0,0,16.7,11.7,1016.2,1017.3
4.2,0.0,33.0,43.0,1.0,6.0,0,18.8,9.1,1020.9,1018.0
6.7,0.0,33.0,47.0,3.0,5.0,0,23.2,10.5,1017.0,1013.4
8.9,0.0,37.0,52.0,6.0,1.0,0,25.5,10.8,1011.4,1008.9
10.8,0.0,44.0,45.0,0.0,1.0,0,26.3,13.4,1010.0,1006.9
15.3,0.0,30.0,74.0,8.0,7.0,0,19.6,0.5,1008.6,1008.3
11.4,0.0,43.0,49.0,4.0,6.0,0,16.8,9.5,1016.0,1017.2
4.7,0.0,43.0,33.0,1.0,8.0,0,20.4,12.8,1021.6,1018.6
10.6,0.0,44.0,54.0,7.0,6.0,0,22.9,9.8,1012.8,1009.8
11.0,0.0,33.0,61.0,7.0,7.0,0,21.4,5.0,1011.4,1009.7
7.7,0.0,35.0,52.0,3.0,3.0,0,22.9,13.3,1018.4,1017.9
11.9,0.0,37.0,27.0,1.0,1.0,0,33.1,12.5,1014.8,1010.1
13.4,0.0,56.0,41.0,4.0,6.0,0,30.7,9.8,1006.3,1005.7
15.1,0.0,54.0,36.0,7.0,7.0,0,23.1,7.3,1013.0,1012.7
12.7,0.4,69.0,25.0,7.0,4.0,0,20.3,8.7,1014.8,1015.7
9.3,0.4,35.0,40.0,7.0,1.0,0,20.7,10.3,1023.2,1021.8
6.7,0.0,35.0,46.0,0.0,0.0,0,22.7,13.6,1022.1,1018.9
8.4,0.0,37.0,46.0,1.0,1.0,0,26.9,13.2,1014.6,1011.1
12.5,0.0,57.0,11.0,1.0,4.0,0,39.3,11.8,1005.8,1002.5
12.0,0.0,41.0,47.0,3.0,3.0,0,24.6,13.2,1010.6,1007.8
13.8,0.0,70.0,59.0,7.0,8.0,0,26.8,5.5,998.3,995.0
15.2,1.2,43.0,49.0,2.0,2.0,1,22.5,11.8,1008.2,1004.5
13.2,1.2,76.0,35.0,7.0,3.0,1,22.7,10.9,1003.8,1009.9
6.6,0.0,37.0,48.0,0.0,0.0,0,23.0,12.6,1018.2,1017.4
10.4,0.0,41.0,49.0,4.0,1.0,0,23.1,13.1,1022.2,1021.9
16.3,0.0,37.0,43.0,3.0,1.0,0,27.8,12.0,1018.1,1014.5
12.6,0.0,46.0,19.0,0.0,1.0,0,40.2,12.5,1013.1,1009.6
17.3,0.0,41.0,15.0,1.0,2.0,0,42.6,12.5,1011.3,1009.3
18.9,0.0,48.0,10.0,0.0,1.0,0,42.9,12.7,1011.8,1008.5
19.5,0.0,44.0,38.0,2.0,1.0,0,31.7,11.3,1012.2,1012.7
18.7,0.8,44.0,85.0,8.0,8.0,0,19.6,0.0,1019.9,1019.3
18.5,0.2,33.0,90.0,8.0,8.0,0,21.8,0.1,1011.3,1010.0
17.9,1.2,37.0,71.0,8.0,8.0,1,19.8,0.0,1015.0,1014.4
17.8,0.0,39.0,69.0,8.0,7.0,0,24.1,1.6,1011.3,1009.0
18.8,0.0,48.0,41.0,7.0,1.0,0,33.0,10.5,1005.0,1003.5
