MinTemp,Rainfall,WindGustDir,WindGustSpeed,WindSpeed3pm,Humidity9am,Humidity3pm,RainToday,Temp3pm,MaxTemp
14.8,0.4,90.0,46.0,20.0,62.0,28.0,0,30.1,31.8
14.7,0.0,22.5,43.0,17.0,58.0,22.0,0,35.7,37.6
15.8,0.0,202.5,54.0,30.0,60.0,37.0,0,30.4,32.0
17.0,0.0,90.0,50.0,22.0,66.0,29.0,0,28.7,30.8
11.0,0.0,157.5,41.0,11.0,61.0,21.0,0,33.2,35.9
15.6,0.0,157.5,44.0,19.0,67.0,32.0,0,30.4,31.8
16.2,0.0,67.5,46.0,24.0,68.0,33.0,0,28.7,30.9
15.9,0.0,112.5,44.0,22.0,60.0,30.0,0,31.9,34.3
15.1,0.0,135.0,46.0,9.0,59.0,25.0,0,32.6,34.5
14.3,0.0,157.5,50.0,11.0,52.0,23.0,0,34.2,35.3
10.2,0.0,337.5,39.0,19.0,47.0,19.0,0,35.7,38.0
23.0,0.0,315.0,76.0,41.0,18.0,34.0,0,30.2,42.5
14.1,0.8,157.5,39.0,13.0,62.0,31.0,0,25.5,26.9
8.7,0.0,135.0,41.0,19.0,58.0,32.0,0,27.2,28.3
10.2,0.0,90.0,39.0,22.0,59.0,22.0,0,29.7,31.9
14.6,0.0,45.0,39.0,19.0,54.0,13.0,0,35.1,37.0
21.2,0.0,202.5,54.0,31.0,20.0,28.0,0,33.7,39.0
18.1,0.0,180.0,46.0,35.0,73.0,55.0,0,24.2,25.8
15.0,16.8,157.5,41.0,22.0,94.0,94.0,1,16.0,18.2
13.0,11.2,135.0,31.0,19.0,62.0,44.0,1,24.6,26.5
10.9,0.0,247.5,48.0,28.0,70.0,23.0,0,31.1,33.7
16.8,0.0,202.5,39.0,15.0,74.0,34.0,0,27.5,29.3
13.0,0.0,180.0,44.0,24.0,64.0,37.0,0,29.3,30.2
10.6,0.0,157.5,44.0,11.0,66.0,24.0,0,31.6,33.8
12.5,0.0,135.0,50.0,15.0,52.0,19.0,0,34.6,37.0
20.8,0.0,337.5,57.0,33.0,22.0,14.0,0,41.4,43.4
18.0,7.4,180.0,33.0,13.0,94.0,92.0,1,20.6,21.9
18.1,47.8,90.0,26.0,11.0,95.0,94.0,1,20.7,20.8
17.6,28.8,112.5,39.0,19.0,95.0,72.0,1,23.6,24.8
17.2,0.0,90.0,39.0,20.0,89.0,66.0,0,24.8,25.4
17.2,0.0,112.5,33.0,20.0,89.0,74.0,0,23.3,24.3
18.3,0.0,112.5,31.0,13.0,80.0,50.0,0,31.8,32.6
17.6,0.0,135.0,35.0,17.0,65.0,41.0,0,33.1,34.0
17.2,0.0,202.5,44.0,31.0,56.0,46.0,0,34.0,38.6
18.2,0.0,180.0,46.0,30.0,90.0,55.0,0,24.2,25.7
13.9,0.0,202.5,39.74837161467261,13.0,76.0,52.0,0,25.6,24.250827423167852
9.313006756756756,1.0343824027072759,90.0,33.0,20.0,79.0,83.0,0,19.6,22.7
12.6,0.0,157.5,44.0,24.0,61.0,58.0,0,20.6,22.2
6.2,0.0,112.5,43.0,22.0,54.0,38.0,0,24.5,25.1
9.1,0.0,112.5,46.0,26.0,57.0,41.0,0,24.5,25.3
13.7,0.0,90.0,48.0,22.0,49.0,31.0,0,26.4,27.0
14.9,0.0,22.5,46.0,15.0,58.0,31.0,0,27.7,28.9
14.1,0.0,22.5,48.0,20.0,56.0,22.0,0,31.4,33.2
18.3,0.0,180.0,39.0,20.0,36.0,52.0,0,26.6,28.4
19.5,0.0,90.0,57.0,35.0,53.0,14.0,0,34.6,35.6
18.0,0.0,67.5,54.0,28.0,63.0,24.0,0,31.4,33.6
18.7,0.0,180.0,48.0,20.0,31.0,36.0,0,30.0,35.9
16.6,1.0,180.0,43.0,24.0,79.0,47.0,0,25.0,26.6
15.4,0.0,180.0,37.0,17.0,69.0,52.0,0,21.4,22.8
5.7,0.0,135.0,44.0,19.0,69.0,34.0,0,25.5,27.4
9.4,0.0,135.0,39.0,20.0,67.0,26.0,0,28.1,28.9
13.0,0.0,0.0,37.0,17.0,66.0,26.0,0,30.1,32.2
17.7,0.0,180.0,48.0,31.0,36.0,50.0,0,24.7,27.6
11.9,0.0,45.0,41.0,17.0,59.0,34.0,0,27.4,30.1
16.6,0.0,45.0,50.0,26.0,80.0,52.0,0,27.1,29.2
15.1,0.6,247.5,46.0,13.0,88.0,63.0,0,24.3,25.2
11.5,0.2,225.0,48.0,20.0,67.0,25.0,0,24.0,25.3
6.6,0.0,157.5,37.0,13.0,79.0,33.0,0,25.1,26.8
12.7,0.0,67.5,46.0,26.0,82.0,33.0,0,28.5,29.6
16.8,0.0,45.0,43.0,22.0,84.0,61.0,0,24.8,26.1
17.8,0.0,225.0,63.0,24.0,82.0,77.0,0,18.9,22.6
7.8,0.0,202.5,41.0,24.0,67.0,39.0,0,18.3,20.0
6.1,0.0,135.0,39.0,19.0,64.0,37.0,0,22.2,24.2
6.3,0.0,157.5,30.0,15.0,73.0,35.0,0,25.0,26.6
7.5,0.0,180.0,46.0,24.0,71.0,39.0,0,25.6,27.7
10.7,0.0,90.0,37.0,19.0,68.0,43.0,0,22.2,23.3
5.9,0.0,67.5,41.0,17.0,77.0,35.0,0,25.3,26.8
9.4,0.0,67.5,35.0,7.0,61.0,27.0,0,28.1,29.2
11.7,0.0,67.5,37.0,15.0,68.0,21.0,0,29.6,31.3
16.0,0.0,180.0,52.0,13.0,54.0,17.0,0,33.6,35.8
15.7,0.0,135.0,31.0,7.0,83.0,53.0,0,22.7,23.6
12.3,0.0,157.5,54.0,35.0,61.0,58.0,0,20.2,24.9
5.9,0.0,157.5,33.0,13.0,55.0,28.0,0,24.7,26.0
10.8,0.0,45.0,37.0,22.0,67.0,30.0,0,25.2,26.7
