Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Sunshine,WindDir9am
15.6,41.75758889852558,92.0,84.0,8.0,8.0,1,20.9,22.4,0.0,180.0
6.0,41.75758889852558,83.0,73.0,7.0,7.0,1,24.8,25.6,2.7,270.0
6.6,41.75758889852558,88.0,86.0,7.0,8.0,1,23.0,24.5,0.1,112.5
18.8,41.75758889852558,83.0,90.0,8.0,8.0,1,20.9,22.8,0.0,22.5
77.4,41.75758889852558,88.0,74.0,8.0,8.0,1,25.5,25.7,0.0,22.5
1.6,41.75758889852558,69.0,62.0,6.0,6.0,1,26.0,27.2,8.6,270.0
6.2,41.75758889852558,75.0,80.0,4.0,7.0,1,22.3,26.3,5.2,270.0
27.6,41.75758889852558,77.0,61.0,7.0,8.0,1,21.1,22.3,2.1,180.0
12.6,41.75758889852558,92.0,91.0,7.0,7.0,1,16.5,20.8,3.0,202.5
8.8,41.75758889852558,80.0,53.0,4.0,2.0,1,23.3,24.2,10.1,270.0
0.0,41.75758889852558,78.0,53.0,7.0,8.0,0,23.7,23.9,8.0,292.5
0.0,41.75758889852558,68.0,67.0,7.0,7.0,0,24.7,27.3,6.7,0.0
14.4,41.75758889852558,87.0,70.0,8.0,7.0,1,21.0,22.8,3.3,180.0
3.0,41.75758889852558,81.0,51.0,7.0,1.0,1,23.3,24.3,8.7,202.5
0.0,41.75758889852558,80.0,56.0,7.0,3.0,0,23.8,24.4,8.5,225.0
0.0,41.75758889852558,77.0,52.0,7.0,6.0,0,23.3,24.1,8.8,292.5
0.0,41.75758889852558,63.0,62.0,7.0,7.0,0,23.4,24.8,3.2,135.0
0.0,41.75758889852558,70.0,59.0,7.0,6.0,0,23.8,25.3,4.5,157.5
0.0,41.75758889852558,79.0,65.0,7.0,7.0,0,23.4,24.8,7.5,292.5
0.0,41.75758889852558,80.0,60.0,3.0,1.0,0,25.2,26.4,11.1,270.0
0.0,41.75758889852558,86.0,62.0,7.0,7.0,0,24.9,26.8,6.4,292.5
0.4,41.75758889852558,77.0,66.0,4.0,1.0,0,24.9,25.4,9.4,292.5
0.0,41.75758889852558,38.0,45.0,1.0,1.0,0,24.0,26.0,12.2,247.5
0.0,41.75758889852558,48.0,40.0,0.0,0.0,0,26.1,28.3,12.0,292.5
0.0,41.75758889852558,58.0,54.0,7.0,7.0,0,23.5,24.2,1.5,90.0
0.0,41.75758889852558,73.0,65.0,1.0,6.0,0,25.8,26.2,8.4,247.5
22.2,41.75758889852558,82.0,52.0,7.0,7.0,1,24.7,29.0,3.3,270.0
4.2,41.75758889852558,77.0,88.0,8.0,8.0,1,19.2,21.4,0.0,180.0
33.0,41.75758889852558,65.0,51.0,5.0,3.0,1,19.9,20.6,8.9,225.0
0.2,41.75758889852558,55.0,46.0,0.0,1.0,0,21.2,22.0,11.3,270.0
5.4,41.75758889852558,93.0,54.0,7.0,2.0,1,22.4,23.4,7.3,270.0
0.2,41.75758889852558,78.0,57.0,1.0,1.0,0,22.5,23.1,11.2,270.0
0.0,41.75758889852558,77.0,57.0,0.0,2.0,0,23.8,25.4,11.3,292.5
0.0,41.75758889852558,72.0,64.0,6.0,3.0,0,24.1,25.8,8.7,180.0
0.0,41.75758889852558,67.0,65.0,1.0,1.0,0,24.7,26.0,10.4,0.0
0.0,41.75758889852558,83.0,75.0,5.0,7.0,0,23.3,24.9,4.5,202.5
17.4,41.75758889852558,88.0,71.0,1.0,2.0,1,21.5,24.8,9.6,292.5
0.0,41.75758889852558,82.0,64.0,1.0,2.0,0,23.8,24.3,10.2,270.0
0.0,41.75758889852558,76.0,50.0,1.0,0.0,0,25.5,26.3,10.8,292.5
0.0,41.75758889852558,72.0,58.0,0.0,0.0,0,26.0,26.1,11.3,67.5
0.0,41.75758889852558,77.0,60.0,1.0,1.0,0,25.0,26.4,11.1,270.0
0.0,41.75758889852558,84.0,69.0,1.0,4.0,0,25.3,26.1,10.6,292.5
0.0,41.75758889852558,84.0,62.0,3.0,1.0,0,25.7,26.0,11.0,270.0
0.0,41.75758889852558,80.0,64.0,1.0,1.0,0,25.6,26.1,11.3,315.0
0.0,41.75758889852558,81.0,69.0,2.0,2.0,0,24.7,25.8,10.1,270.0
0.0,41.75758889852558,82.0,60.0,4.0,1.0,0,25.4,25.7,10.0,292.5
0.0,41.75758889852558,73.0,58.0,0.0,2.0,0,25.6,26.7,9.7,0.0
0.0,41.75758889852558,70.0,60.0,5.0,7.0,0,24.9,26.9,6.3,157.5
0.0,41.75758889852558,70.0,58.0,2.0,2.0,0,27.6,28.1,10.4,22.5
1.0,41.75758889852558,87.0,80.0,8.0,8.0,0,18.4,19.6,0.0,180.0
2.2,41.75758889852558,81.0,60.0,7.0,7.0,1,21.7,23.2,0.6,112.5
0.4,41.75758889852558,82.0,57.0,5.0,6.0,0,24.8,24.8,6.1,292.5
17.0,41.75758889852558,95.0,72.0,6.0,2.0,1,23.3,24.3,8.0,337.5
0.4,41.75758889852558,81.0,58.0,5.0,7.0,0,27.0,27.5,2.5,45.0
19.0,41.75758889852558,76.0,38.0,1.0,5.0,1,27.1,27.2,10.5,270.0
0.0,41.75758889852558,52.0,42.0,1.0,1.0,0,21.8,23.6,11.0,270.0
0.0,41.75758889852558,71.0,51.0,4.0,3.0,0,21.2,21.7,8.3,202.5
0.2,41.75758889852558,85.0,65.0,3.0,2.0,0,21.7,22.9,9.3,270.0
0.0,41.75758889852558,61.0,22.0,0.0,1.0,0,25.9,26.8,10.9,270.0
0.0,41.75758889852558,57.0,31.0,4.0,1.0,0,24.9,25.6,10.4,292.5
0.0,41.75758889852558,55.0,54.0,1.0,1.0,0,23.3,23.9,11.0,270.0
0.0,41.75758889852558,75.0,34.0,1.0,7.0,0,28.0,28.7,10.5,270.0
0.0,41.75758889852558,42.0,21.0,6.0,1.0,0,21.2,22.2,9.7,225.0
0.0,41.75758889852558,47.0,37.0,1.0,0.0,0,21.0,22.2,10.6,270.0
0.0,41.75758889852558,71.0,50.0,0.0,1.0,0,21.0,22.7,10.7,292.5
0.0,41.75758889852558,71.0,55.0,5.0,6.0,0,22.1,22.7,6.4,270.0
12.0,41.75758889852558,83.0,70.0,5.0,6.0,1,19.8,22.0,4.7,202.5
9.6,41.75758889852558,86.0,75.0,6.0,6.0,1,18.9,22.1,5.1,135.0
22.8,41.75758889852558,96.0,62.0,7.0,5.0,1,21.1,22.2,5.8,270.0
2.2,41.75758889852558,77.0,60.0,5.0,1.0,1,21.9,22.7,10.6,270.0
0.0,41.75758889852558,83.0,61.0,4.0,2.0,0,22.1,23.5,8.9,270.0
0.0,41.75758889852558,79.0,59.0,7.0,4.0,0,22.2,23.8,7.8,270.0
0.0,41.75758889852558,81.0,75.0,5.0,6.0,0,19.7,22.7,6.6,270.0
11.0,41.75758889852558,82.0,64.0,7.0,3.0,1,18.8,18.9,5.2,202.5
2.8,41.75758889852558,85.0,71.0,7.0,7.0,1,19.0,19.7,1.7,225.0
1.4,41.75758889852558,78.0,85.0,7.0,8.0,1,16.2,20.9,2.2,202.5
4.6,41.75758889852558,91.0,72.0,7.0,7.0,1,19.4,19.7,0.8,202.5
6.4,41.75758889852558,94.0,75.0,8.0,7.0,1,19.6,20.0,0.3,270.0
5.0,41.75758889852558,51.0,61.0,6.0,7.0,1,19.5,21.4,5.0,135.0
2.8,41.75758889852558,79.0,75.0,7.0,6.0,1,18.4,19.1,1.3,112.5
21.8,41.75758889852558,91.0,70.0,8.0,7.0,1,19.0,19.3,4.6,202.5
10.2,41.75758889852558,90.0,55.0,7.0,5.0,1,20.1,20.3,2.0,157.5
12.6,41.75758889852558,90.0,89.0,7.0,7.0,1,17.2,17.9,0.7,225.0
15.6,41.75758889852558,93.0,80.0,7.0,7.0,1,19.3,20.0,2.5,180.0
5.4,41.75758889852558,55.0,69.0,7.0,7.0,1,20.3,21.2,2.6,157.5
0.4,41.75758889852558,81.0,38.0,2.0,7.0,0,24.6,24.8,10.2,270.0
0.0,41.75758889852558,51.0,28.0,6.0,2.0,0,25.7,26.1,7.6,337.5
0.0,41.75758889852558,46.0,33.0,2.0,6.0,0,15.6,16.8,8.5,270.0
0.0,41.75758889852558,54.0,41.0,1.0,1.0,0,17.8,18.4,10.5,270.0
0.0,41.75758889852558,68.0,50.0,1.0,3.0,0,18.1,19.6,9.8,270.0
0.0,41.75758889852558,74.0,56.0,7.0,7.0,0,18.1,18.2,2.7,292.5
0.0,41.75758889852558,65.0,44.0,1.0,3.0,0,21.7,22.2,9.1,270.0
0.0,41.75758889852558,62.0,52.0,1.0,1.0,0,18.6,19.6,10.5,270.0
0.0,41.75758889852558,64.0,47.0,1.0,1.0,0,19.4,20.3,10.3,270.0
0.0,41.75758889852558,71.0,34.0,1.0,2.0,0,22.2,22.3,10.0,270.0
0.0,41.75758889852558,74.0,48.0,6.0,7.0,0,21.1,23.6,3.1,270.0
0.0,41.75758889852558,57.0,44.0,1.0,3.0,0,22.0,23.0,9.4,270.0
0.0,41.75758889852558,63.0,45.0,1.0,1.0,0,20.8,21.8,10.2,270.0
0.0,41.75758889852558,75.0,60.0,0.0,1.0,0,20.6,21.9,10.1,270.0
0.0,41.75758889852558,86.0,67.0,1.0,1.0,0,19.3,21.3,9.6,292.5
0.0,41.75758889852558,84.0,67.0,7.0,7.0,0,18.7,19.4,2.1,292.5
0.0,41.75758889852558,88.0,63.0,1.0,1.0,0,19.2,19.5,7.3,270.0
0.0,41.75758889852558,88.0,67.0,6.0,7.0,0,18.1,19.7,4.2,270.0
0.0,41.75758889852558,82.0,64.0,1.0,1.0,0,20.0,20.6,9.7,270.0
0.2,41.75758889852558,90.0,60.0,1.0,1.0,0,21.3,21.4,8.7,270.0
1.2,41.75758889852558,78.0,66.0,6.0,2.0,1,20.9,23.2,6.4,292.5
0.0,41.75758889852558,52.0,41.0,3.0,7.0,0,20.9,21.8,6.9,337.5
0.0,41.75758889852558,57.0,36.0,1.0,1.0,0,17.0,17.8,9.4,270.0
0.0,41.75758889852558,58.0,36.0,1.0,0.0,0,20.3,20.5,9.9,270.0
0.0,41.75758889852558,64.0,38.0,1.0,1.0,0,21.3,21.7,10.0,270.0
0.0,41.75758889852558,74.0,64.0,4.0,7.0,0,17.3,18.9,6.1,292.5
0.0,41.75758889852558,63.0,52.0,1.0,2.0,0,17.4,18.7,7.5,202.5
0.0,41.75758889852558,76.0,53.0,1.0,5.0,0,17.1,18.4,5.4,292.5
0.0,41.75758889852558,71.0,39.0,1.0,1.0,0,19.3,20.1,9.1,270.0
0.0,41.75758889852558,78.0,58.0,4.0,3.0,0,16.9,18.3,6.5,270.0
0.4,41.75758889852558,81.0,58.0,6.0,2.0,0,19.5,21.1,9.1,270.0
0.0,41.75758889852558,82.0,71.0,3.0,1.0,0,19.1,22.4,8.7,270.0
0.0,41.75758889852558,80.0,74.0,3.0,6.0,0,18.6,19.2,3.9,270.0
1.0,41.75758889852558,86.0,76.0,3.0,2.0,0,17.6,18.6,4.6,270.0
0.2,41.75758889852558,87.0,58.0,1.0,2.0,0,19.6,21.0,5.6,270.0
0.0,41.75758889852558,90.0,61.0,1.0,1.0,0,19.4,20.1,9.4,292.5
0.2,41.75758889852558,91.0,74.0,7.0,7.0,0,18.7,20.5,0.3,270.0
22.0,41.75758889852558,97.0,90.0,8.0,7.0,1,17.1,17.6,0.1,270.0
4.0,41.75758889852558,98.0,90.0,8.0,8.0,1,16.7,19.1,0.0,270.0
9.2,41.75758889852558,87.0,88.0,8.0,8.0,1,17.2,18.3,0.0,135.0
46.4,41.75758889852558,82.0,84.0,7.0,8.0,1,16.6,16.9,0.0,202.5
12.4,41.75758889852558,81.0,70.0,7.0,6.0,1,16.6,17.4,1.8,247.5
0.0,41.75758889852558,76.0,49.0,1.0,1.0,0,17.9,18.2,8.8,270.0
6.0,41.75758889852558,97.0,71.0,8.0,7.0,1,17.2,17.7,0.5,292.5
3.6,41.75758889852558,96.0,89.0,7.0,8.0,1,16.2,16.9,1.2,270.0
