Rainfall,WindGustSpeed,WindSpeed9am,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Sunshine,WindDir9am
0.0,72.0,15.0,63.0,13.0,6.0,6.0,0,34.0,35.1,12.9,315.0
0.0,63.0,15.0,63.0,58.0,5.0,6.0,0,20.1,23.0,5.9,157.5
0.0,47.2342799188641,15.0,52.0,50.0,7.0,8.0,0,22.0,23.2,0.5,112.5
0.0,65.0,24.0,60.0,51.0,2.0,1.0,0,25.9,27.1,11.3,22.5
0.0,63.0,11.0,58.0,52.0,6.0,3.0,0,29.0,31.6,12.2,292.5
0.0,41.0,19.0,82.0,54.0,1.0,1.0,0,28.7,29.7,11.8,180.0
0.0,59.0,15.0,79.0,52.0,1.0,7.0,0,30.3,34.9,9.3,157.5
0.2,56.0,33.0,85.0,78.0,8.0,8.0,0,19.7,21.7,0.0,180.0
0.0,50.0,30.0,54.0,44.0,7.0,5.0,0,22.3,22.9,5.9,157.5
0.0,48.0,17.0,49.0,44.0,7.0,6.0,0,23.2,24.0,6.1,90.0
0.0,54.0,24.0,57.0,48.0,4.0,1.0,0,25.7,26.6,8.7,22.5
0.8,39.0,9.0,81.0,72.0,1.0,3.0,0,23.7,24.0,11.4,180.0
0.6,59.0,11.0,84.0,48.0,6.0,1.0,0,26.7,27.9,11.1,157.5
0.0,67.0,9.0,57.0,39.0,0.0,1.0,0,30.9,32.0,13.0,0.0
0.0,81.0,6.0,42.0,43.0,1.0,6.0,0,32.0,38.8,9.4,67.5
5.4,54.0,17.0,73.0,54.0,1.0,0.0,1,25.5,26.3,10.1,180.0
0.0,54.0,43.0,58.0,57.0,7.0,3.0,0,19.8,20.7,6.5,157.5
0.0,43.0,9.0,65.0,43.0,1.0,1.0,0,23.5,25.0,12.7,247.5
0.0,59.0,22.0,53.0,49.0,3.0,6.0,0,25.6,27.3,12.7,0.0
0.0,67.0,7.0,51.0,38.0,1.0,1.0,0,31.1,31.7,12.4,0.0
3.0,59.0,13.0,57.0,45.0,2.0,3.0,1,31.2,33.7,7.4,315.0
0.6,63.0,26.0,42.0,40.0,6.0,5.0,0,33.0,34.6,9.8,337.5
0.0,80.0,13.0,80.0,56.0,1.0,1.0,0,29.8,32.1,11.9,202.5
0.0,69.0,11.0,52.0,37.0,6.0,2.0,0,34.4,41.8,11.1,315.0
0.0,44.0,22.0,69.0,52.0,6.0,4.0,0,24.0,25.0,6.8,180.0
0.0,39.0,17.0,81.0,81.0,8.0,7.0,0,24.1,24.9,1.2,180.0
8.2,39.0,24.0,98.0,96.0,8.0,8.0,1,21.5,24.6,1.7,180.0
0.2,54.0,24.0,73.0,50.0,4.0,0.0,0,29.2,29.4,12.3,0.0
0.0,57.0,13.0,70.0,59.0,1.0,1.0,0,28.7,30.0,12.5,0.0
0.0,61.0,15.0,65.0,48.0,1.0,0.0,0,29.6,30.2,13.0,22.5
0.0,61.0,15.0,76.0,51.0,2.0,3.0,0,29.5,31.2,11.5,22.5
0.0,41.0,17.0,78.0,69.0,1.0,6.0,0,26.9,28.2,11.1,157.5
0.0,63.0,13.0,70.0,48.0,7.0,3.0,0,29.8,30.4,9.8,45.0
0.0,46.0,13.0,59.0,63.0,7.0,5.0,0,26.4,28.3,7.5,22.5
0.0,37.0,19.0,86.0,64.0,7.0,3.0,0,27.3,28.0,7.1,157.5
0.0,63.0,17.0,67.0,52.0,1.0,1.0,0,30.7,31.5,12.2,0.0
0.0,59.0,17.0,81.0,53.0,5.0,1.0,0,30.8,31.7,10.8,135.0
0.0,67.0,9.0,57.0,32.0,1.0,0.0,0,31.9,34.9,11.8,22.5
0.0,59.0,20.0,64.0,43.0,0.0,1.0,0,30.2,31.1,12.2,22.5
0.0,57.0,35.0,92.0,88.0,7.0,8.0,0,19.8,21.5,0.0,202.5
1.2,54.0,17.0,93.0,88.0,8.0,8.0,1,18.7,19.5,0.0,202.5
2.8,56.0,35.0,81.0,70.0,8.0,7.0,1,21.4,22.1,1.5,202.5
4.8,47.2342799188641,28.0,80.0,64.0,7.0,7.0,1,19.9,21.5,1.1,202.5
