MinTemp,Rainfall,WindGustDir,WindGustSpeed,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,Temp9am,RainToday,Pressure3pm,Sunshine,WindSpeed3pm,Pressure9am
24.4,23.6,67.5,33.0,72.0,74.0,5.0,4.0,30.1,1,1008.9,11.6,26.0,1011.9
25.9,0.6,67.5,37.0,72.0,70.0,2.0,2.0,29.7,0,1008.9,11.3,28.0,1012.4
26.1,2.4,67.5,33.0,59.0,44.0,2.0,1.0,29.4,1,1010.4,12.5,9.0,1013.5
23.9,0.0,45.0,41.0,63.0,62.0,2.0,1.0,29.0,0,1011.9,12.6,26.0,1014.2
24.2,0.0,67.5,39.0,65.0,65.0,3.0,2.0,29.8,0,1012.3,12.2,26.0,1015.1
26.2,1.4,67.5,35.0,74.0,66.0,5.0,2.0,29.9,1,1009.2,10.8,28.0,1013.2
26.7,0.0,22.5,39.0,71.0,65.0,6.0,2.0,29.3,0,1006.4,10.6,24.0,1010.6
22.5,76.8,202.5,54.0,93.0,70.0,7.0,3.0,24.4,1,1006.3,6.0,13.0,1011.0
23.8,3.8,112.5,59.0,76.0,71.0,4.0,4.0,29.2,1,1006.3,9.4,28.0,1010.3
27.5,0.0,67.5,39.0,72.0,73.0,2.0,4.0,30.2,0,1007.2,11.4,28.0,1010.4
27.3,0.0,45.0,33.0,70.0,63.0,4.0,2.0,29.9,0,1007.1,11.5,26.0,1010.8
25.2,0.0,67.5,39.0,61.0,57.0,4.0,1.0,29.8,0,1008.1,11.1,22.0,1011.0
26.2,0.0,0.0,33.0,71.0,61.0,7.0,5.0,29.5,0,1005.9,9.2,20.0,1009.7
27.5,0.0,247.5,80.0,74.0,66.0,7.0,2.0,29.9,0,1002.2,7.8,15.0,1006.7
23.4,21.2,67.5,28.0,36.0,42.0,7.0,5.0,30.7,1,1004.8,10.6,17.0,1007.8
26.1,0.0,67.5,43.0,67.0,53.0,4.0,2.0,29.9,0,1008.8,12.3,31.0,1011.0
27.2,0.0,67.5,41.0,63.0,64.0,2.0,2.0,29.8,0,1009.2,11.8,30.0,1012.1
26.1,0.0,22.5,37.0,64.0,60.0,3.0,3.0,29.8,0,1007.6,11.5,20.0,1010.8
27.3,0.0,67.5,30.0,70.0,73.0,7.0,8.0,29.4,0,1007.1,0.7,22.0,1009.3
26.6,0.0,112.5,37.0,65.0,64.0,7.0,6.0,31.4,0,1005.8,10.3,20.0,1009.2
26.3,0.2,67.5,39.0,75.0,64.0,4.0,6.0,28.7,0,1008.6,6.3,22.0,1010.2
25.6,0.0,45.0,44.0,75.0,69.0,7.0,7.0,28.8,0,1010.1,3.9,30.0,1012.2
25.4,0.4,90.0,39.0,57.0,50.0,4.0,2.0,29.4,0,1009.8,10.7,30.0,1013.0
24.1,0.0,67.5,39.0,54.0,52.0,2.0,3.0,28.8,0,1009.2,12.3,30.0,1012.2
24.1,0.0,45.0,37.0,59.0,54.0,6.0,4.0,29.4,0,1008.7,12.5,24.0,1010.4
25.1,0.0,45.0,37.0,60.0,58.0,7.0,4.0,29.8,0,1008.7,11.6,30.0,1010.3
26.5,0.0,90.0,39.0,66.0,65.0,6.0,6.0,30.6,0,1006.8,11.0,26.0,1010.0
26.7,0.0,0.0,41.0,75.0,62.0,7.0,7.0,29.6,0,1003.6,8.7,28.0,1008.1
24.9,14.4,67.5,35.0,82.0,66.0,7.0,6.0,28.1,1,1003.9,3.0,9.0,1007.6
25.1,2.8,270.0,31.0,66.0,83.0,7.0,7.0,29.1,1,1004.9,3.8,13.0,1007.0
24.1,31.2,22.5,37.0,76.0,67.0,7.0,7.0,28.7,1,1003.7,8.3,13.0,1007.4
24.8,1.4,337.5,39.0,77.0,69.0,7.0,7.0,28.8,1,1005.4,4.8,19.0,1008.0
25.1,0.8,292.5,26.0,73.0,72.0,7.0,7.0,28.2,0,1006.9,2.3,13.0,1009.1
25.3,1.2,112.5,35.0,90.0,70.0,7.0,7.0,25.7,1,1007.5,4.8,11.0,1010.1
23.8,17.4,90.0,43.0,72.0,69.0,7.0,7.0,28.2,1,1006.9,5.8,28.0,1010.2
25.0,0.4,67.5,33.0,66.0,70.0,4.0,7.0,29.2,0,1005.6,11.5,26.0,1008.8
25.2,1.8,45.0,30.0,68.0,69.0,7.0,7.0,29.1,1,1005.2,6.5,22.0,1009.3
25.3,0.6,45.0,31.0,68.0,68.0,7.0,7.0,28.9,0,1004.5,7.5,24.0,1008.1
