MinTemp,Rainfall,Humidity9am,Humidity3pm,Temp9am,RainToday,Pressure3pm,Pressure9am
13.1,0.0,36.0,34.0,19.6,0,1003.6,1005.6
5.7,0.0,38.0,25.0,16.4,0,1006.3,1008.8
9.4,0.0,35.0,26.0,19.4,0,1005.9,1005.7
11.6,0.0,59.0,32.0,16.3,0,1014.0,1017.7
14.6,0.4,91.0,47.0,15.5,0,1007.7,1011.7
13.8,0.0,48.0,21.0,20.8,0,1004.8,1007.6
16.5,0.0,38.0,12.0,20.8,0,1005.2,1007.0
12.2,0.0,55.0,16.0,16.2,0,1008.1,1012.7
10.0,0.0,69.0,14.0,17.1,0,1004.6,1009.5
14.7,0.4,53.0,48.0,19.2,0,1007.0,1006.5
13.9,0.0,68.0,49.0,15.9,0,1011.0,1012.4
12.5,4.8,92.0,90.0,12.9,1,1006.7,1012.7
12.8,55.6,61.0,65.0,20.5,1,992.6,992.8
12.7,0.0,52.0,41.0,15.4,0,996.8,996.2
10.7,0.0,48.0,39.0,14.9,0,1005.6,1006.5
7.5,0.0,55.0,34.0,14.9,0,1008.6,1011.2
10.2,0.0,54.0,83.0,19.1,0,1008.7,1010.5
13.0,8.0,72.0,39.0,17.5,1,1000.5,1003.8
8.2,0.6,46.0,35.0,15.1,0,1006.3,1005.2
8.0,0.0,57.0,36.0,11.8,0,1016.2,1018.3
9.6,0.0,56.0,30.0,14.8,0,1015.8,1020.1
11.1,0.0,61.0,33.0,16.5,0,1011.2,1016.2
16.3,1.8,79.0,53.0,19.1,1,1007.8,1010.3
14.4,8.8,76.0,69.0,16.1,1,1010.9,1012.6
15.4,0.0,71.0,28.0,18.1,0,1010.3,1013.3
14.1,0.0,78.0,22.0,18.0,0,1008.9,1012.6
14.7,0.0,61.0,64.0,22.3,0,1005.1,1008.4
14.1,24.8,81.0,38.0,19.7,1,1002.1,1006.2
11.7,0.0,53.0,35.0,19.3,0,1001.1,1003.7
11.5,0.0,55.0,49.0,18.3,0,1001.6,1001.6
13.2,0.0,41.0,32.0,17.5,0,1001.7,1001.7
12.0,0.0,41.0,29.0,20.2,0,1000.6,1002.3
11.0,0.0,39.0,18.0,16.1,0,1009.0,1009.7
9.9,0.0,60.0,35.0,14.0,0,1014.8,1019.0
10.9,0.0,64.0,35.0,18.5,0,1011.9,1015.9
13.3,0.0,58.0,17.0,22.2,0,1009.2,1012.3
10.6,0.0,37.0,12.0,21.5,0,1008.0,1011.6
11.9,0.0,34.0,16.0,22.7,0,1003.4,1008.8
15.1,1.2,72.0,41.0,18.5,1,1007.6,1010.8
11.7,0.0,61.0,35.0,13.6,0,1015.1,1018.6
9.0,0.0,57.0,35.0,14.6,0,1009.9,1014.8
10.1,0.0,62.0,32.0,17.6,0,1007.1,1011.5
13.5,4.4,73.0,45.0,19.3,1,1013.1,1014.3
16.8,0.0,72.0,23.0,18.7,0,1012.4,1017.4
15.3,0.0,41.0,21.0,26.2,0,1010.3,1013.9
19.5,0.0,35.0,20.0,28.6,0,1006.4,1009.8
14.4,0.0,60.0,14.0,18.8,0,1007.9,1011.1
9.4,0.0,42.0,17.0,13.0,0,1016.4,1019.0
10.1,0.0,63.0,26.0,14.4,0,1016.1,1020.2
11.0,0.0,51.0,19.0,19.9,0,1011.4,1016.7
14.0,0.0,40.0,55.0,25.4,0,1009.8,1013.3
17.0,29.2,65.0,33.0,22.6,1,1007.7,1011.4
20.5,0.0,62.0,51.0,22.9,0,1002.8,1007.2
18.8,11.8,81.0,50.0,22.9,1,1005.9,1008.1
17.7,12.4,62.0,28.0,24.3,1,1006.6,1003.5
15.3,0.0,69.0,51.0,16.4,0,1016.1,1018.0
13.4,0.0,70.0,27.0,20.4,0,1016.2,1018.6
17.5,0.0,76.0,42.0,19.5,0,1016.4,1020.5
16.7,0.0,65.0,26.0,23.1,0,1013.3,1016.9
17.9,0.0,52.0,20.0,25.0,0,1013.0,1017.1
16.3,0.0,51.0,11.0,24.3,0,1012.5,1016.7
15.4,0.0,54.0,19.0,23.6,0,1012.0,1016.1
20.7,0.0,38.0,25.0,27.1,0,1013.7,1015.3
17.1,0.0,67.0,30.0,21.6,0,1009.0,1014.8
18.3,0.0,55.0,54.0,24.5,0,1008.7,1010.2
18.4,0.0,68.0,37.0,21.1,0,1006.2,1011.0
18.2,0.0,66.0,26.0,24.0,0,1004.7,1008.0
21.1,0.0,44.0,17.0,26.9,0,1006.2,1010.5
20.2,0.0,51.0,21.0,26.7,0,1007.9,1012.4
20.4,0.0,37.0,17.0,28.8,0,1007.3,1010.9
17.9,0.0,72.0,48.0,18.9,0,1008.4,1011.1
12.5,0.0,73.0,52.0,14.2,0,1008.2,1010.8
12.0,0.0,59.0,32.0,13.6,0,1009.9,1011.4
12.9,0.0,60.0,60.0,14.3,0,1017.7,1016.9
10.8,1.6,84.0,52.0,12.4,1,1022.8,1025.4
10.1,0.0,62.0,52.0,14.2,0,1018.8,1022.6
14.1,0.0,68.0,53.0,16.6,0,1014.7,1015.5
13.4,0.0,73.0,43.0,15.7,0,1017.1,1018.5
10.8,0.0,62.0,52.0,16.0,0,1015.4,1017.6
15.6,0.0,69.0,44.0,16.8,0,1008.4,1012.7
11.6,0.0,69.0,20.0,17.7,0,1003.9,1007.0
12.4,0.0,80.0,37.0,17.1,0,1009.0,1010.8
11.0,0.0,72.0,35.0,17.0,0,1010.2,1013.2
11.3,0.0,68.0,42.0,17.5,0,1014.3,1017.4
17.1,0.0,68.0,36.0,19.9,0,1009.5,1014.6
11.9,2.4,76.0,19.0,18.9,1,1011.2,1013.6
10.4,0.0,70.0,15.0,15.6,0,1011.2,1015.8
14.0,0.0,57.0,28.0,16.5,0,1015.9,1019.3
15.9,0.0,58.0,32.0,17.6,0,1011.7,1016.9
15.1,0.0,63.0,18.0,19.3,0,1003.8,1009.5
15.3,0.0,70.0,31.0,19.2,0,1008.7,1010.3
16.6,0.0,64.0,36.0,19.1,0,1013.2,1015.8
17.3,0.0,75.0,55.0,18.2,0,1013.7,1017.1
17.0,0.0,43.0,24.0,17.2,0,1009.1,1009.3
10.4,0.0,41.0,24.0,13.7,0,1007.8,1009.3
5.9,0.0,49.0,28.0,11.5,0,1009.2,1012.7
9.0,0.0,66.0,25.0,13.9,0,1010.7,1014.2
13.6,0.0,70.0,40.0,17.1,0,1016.5,1017.8
15.1,0.0,76.0,46.0,15.7,0,1018.4,1022.1
12.5,0.0,69.0,35.0,18.0,0,1018.4,1021.4
14.4,0.0,69.0,32.0,16.9,0,1020.7,1023.8
15.5,0.0,77.0,34.0,17.3,0,1017.3,1022.1
17.3,0.0,77.0,51.0,19.0,0,1015.5,1017.9
13.6,0.2,86.0,71.0,16.9,0,1008.9,1014.1
11.7,8.4,52.0,23.0,13.3,1,1008.4,1010.3
3.9,0.0,64.0,30.0,10.7,0,1007.7,1011.4
3.7,0.0,67.0,28.0,9.5,0,1011.2,1013.4
9.0,0.0,74.0,30.0,14.7,0,1013.5,1017.9
8.8,0.0,66.0,22.0,13.3,0,1013.4,1016.2
7.7,0.0,55.0,22.0,14.6,0,1014.6,1017.8
8.7,0.0,52.0,17.0,15.4,0,1014.6,1018.7
10.0,0.0,79.0,25.0,15.2,0,1012.7,1016.9
10.1,0.0,69.0,27.0,14.5,0,1013.0,1016.9
10.4,0.0,61.0,22.0,17.0,0,1014.3,1017.2
14.2,0.0,53.0,31.0,18.1,0,1018.4,1019.5
11.0,0.0,69.0,33.0,15.8,0,1017.3,1020.4
14.0,0.0,76.0,37.0,16.5,0,1020.7,1023.5
14.5,0.0,68.0,36.0,15.6,0,1020.3,1024.3
8.5,0.0,68.0,21.0,13.9,0,1018.7,1022.6
8.8,0.0,64.0,39.0,14.1,0,1021.6,1024.9
14.1,0.0,72.0,46.0,16.4,0,1022.1,1024.1
14.8,0.0,74.0,66.0,17.1,0,1023.7,1024.2
16.2,0.0,78.0,56.0,17.5,0,1022.4,1025.2
15.4,0.0,81.0,43.0,18.1,0,1015.4,1021.2
12.9,12.4,75.0,48.0,13.3,1,1018.0,1018.1
12.4,0.0,72.0,39.0,14.4,0,1013.9,1019.5
7.4,0.0,68.0,40.0,12.6,0,1017.4,1020.7
5.0,0.0,57.0,29.0,10.6,0,1023.1,1026.5
4.0,0.0,62.0,34.0,12.2,0,1023.4,1027.6
10.2,0.0,62.0,31.0,15.2,0,1020.3,1025.0
8.2,0.0,75.0,51.0,12.3,0,1021.1,1023.5
7.4,0.0,81.0,45.0,13.1,0,1021.9,1026.2
13.1,29.6,88.0,38.0,14.9,1,1020.6,1024.0
7.6,0.0,72.0,58.0,14.6,0,1020.1,1023.8
13.2,29.2,91.0,82.0,15.2,1,1011.9,1016.1
8.1,9.0,79.0,36.0,14.1,1,1006.6,1010.7
2.4,0.0,59.0,26.0,9.9,0,1011.4,1014.7
2.6,0.0,65.0,35.0,10.5,0,1015.4,1017.8
4.8,0.0,74.0,37.0,11.9,0,1018.6,1022.1
11.0,0.0,61.0,58.0,15.5,0,1020.2,1022.5
10.7,0.0,57.0,49.0,13.2,0,1020.5,1022.7
10.9,0.0,70.0,46.0,13.5,0,1022.6,1025.1
7.6,0.0,77.0,54.0,13.1,0,1022.9,1026.3
10.9,0.0,62.0,45.0,15.1,0,1017.2,1022.1
6.6,0.0,90.0,73.0,10.4,0,1005.5,1011.5
10.4,7.4,76.0,68.0,13.2,1,1001.4,1002.9
6.5,8.0,70.0,61.0,7.6,1,1001.3,1001.5
5.7,2.4,59.0,60.0,9.1,1,1012.1,1011.8
4.8,0.4,79.0,50.0,9.8,0,1015.4,1014.5
3.7,0.2,58.0,39.0,6.9,0,1018.8,1022.1
4.2,0.0,67.0,37.0,7.8,0,1019.7,1021.6
0.1,0.0,95.0,42.0,5.4,0,1021.3,1025.2
0.6,0.0,71.0,38.0,8.6,0,1023.8,1026.8
3.1,0.0,81.0,43.0,8.5,0,1025.7,1029.4
