MinTemp,Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Sunshine,Pressure9am,Pressure3pm
9.9,0.0,59.0,37.0,24.0,1.0,1.0,0,27.0,28.4,13.5,1005.2,1003.5
8.9,0.0,48.0,37.0,10.0,1.0,0.0,0,23.2,25.3,13.7,1013.9,1012.9
11.0,0.0,39.0,43.0,18.0,0.0,1.0,0,28.0,30.7,13.7,1017.8,1014.3
14.7,0.0,39.0,46.0,19.0,1.0,4.0,0,33.7,35.2,12.1,1014.8,1010.6
11.8,0.0,43.0,23.0,5.0,1.0,1.0,0,34.6,36.5,13.4,1013.1,1009.8
12.5,0.0,72.0,23.0,3.0,0.0,0.0,0,37.4,39.1,13.6,1011.4,1007.4
15.6,0.0,59.0,17.0,5.0,1.0,6.0,0,39.4,41.8,9.3,1006.4,1002.5
14.5,0.0,54.0,38.0,8.0,1.0,0.0,0,28.5,30.4,12.9,1011.9,1010.9
14.8,0.0,78.0,46.0,18.0,0.0,4.0,0,27.2,28.7,12.8,1016.9,1013.5
15.9,0.0,61.0,43.0,31.0,2.0,6.0,0,27.1,29.7,12.7,1013.4,1008.8
18.1,0.0,33.0,51.0,38.0,1.0,7.0,0,29.1,31.3,10.1,1010.1,1007.3
16.5,0.0,39.0,53.0,17.0,1.0,1.0,0,33.9,35.4,13.5,1013.9,1011.8
19.4,0.0,41.0,50.0,16.0,0.0,1.0,0,36.1,38.3,13.4,1016.1,1011.2
20.9,0.0,50.0,29.0,10.0,1.0,1.0,0,41.0,42.0,13.4,1012.3,1008.1
25.6,0.0,48.0,19.0,7.0,1.0,4.0,0,35.0,36.9,10.1,1008.6,1009.0
14.0,0.0,61.0,35.0,15.0,1.0,1.0,0,26.7,28.4,13.3,1014.6,1012.3
10.8,0.0,35.0,27.0,14.0,1.0,1.0,0,26.6,29.3,13.4,1018.4,1016.6
13.7,0.0,30.0,45.0,14.0,1.0,1.0,0,29.9,31.8,12.9,1020.1,1016.7
15.9,0.0,46.0,36.0,10.0,5.0,1.0,0,35.0,36.4,12.5,1016.0,1011.0
21.8,0.0,115.0,41.0,19.0,0.0,6.0,0,37.2,40.0,8.4,1011.0,1006.0
16.4,15.8,65.0,47.0,13.0,1.0,1.0,1,36.7,37.9,12.3,1009.3,1006.7
23.1,0.2,94.0,61.0,39.0,3.0,6.0,0,32.5,35.0,5.5,1007.0,1001.5
19.8,12.8,46.0,69.0,42.0,1.0,3.0,1,33.3,35.5,11.0,1008.1,1004.6
21.3,0.0,57.0,34.0,26.0,1.0,1.0,0,29.7,31.1,12.8,1006.9,1008.2
14.7,0.0,41.0,54.0,20.0,0.0,0.0,0,30.8,33.1,13.4,1016.5,1014.7
18.0,0.0,57.0,47.0,16.0,0.0,1.0,0,35.5,37.7,13.4,1017.8,1014.9
20.9,0.0,57.0,53.0,23.0,1.0,2.0,0,36.5,37.9,13.2,1018.1,1014.3
23.0,0.0,31.0,39.0,20.0,0.0,1.0,0,37.6,39.2,13.3,1015.9,1012.6
