Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Sunshine,Pressure9am,Pressure3pm
0.0,61.0,19.0,31.0,48.0,7.0,7.0,0,18.0,20.0,8.8,1004.8,1006.0
0.8,52.0,13.0,24.0,41.0,6.0,7.0,0,17.1,18.4,12.9,1017.8,1019.0
0.0,28.0,6.0,17.0,44.0,1.0,7.0,0,19.9,21.4,10.5,1020.7,1017.4
0.0,30.0,6.0,13.0,16.0,5.0,4.0,0,29.0,30.5,12.5,1016.4,1012.7
0.0,33.0,4.0,13.0,27.0,6.0,2.0,0,28.4,29.9,12.3,1011.5,1010.1
0.0,48.0,6.0,24.0,36.0,0.0,1.0,0,29.7,31.7,13.7,1010.4,1007.4
0.0,39.0,7.0,24.0,58.0,8.0,7.0,0,21.9,22.6,4.4,1009.7,1009.9
0.0,52.0,19.0,30.0,42.0,2.0,5.0,0,17.7,19.3,11.5,1017.2,1018.6
0.0,43.0,13.0,15.0,36.0,2.0,7.0,0,21.4,22.4,12.6,1021.4,1017.3
0.0,39.0,4.0,22.0,46.0,7.0,1.0,0,23.2,25.6,10.2,1013.6,1009.6
0.0,41.0,6.0,17.0,51.0,8.0,1.0,0,23.8,25.4,10.2,1011.8,1009.4
0.0,30.0,2.0,13.0,44.0,8.0,5.0,0,23.9,26.0,7.8,1018.4,1017.1
0.0,43.0,9.0,17.0,15.0,0.0,0.0,0,34.4,37.2,13.5,1013.9,1009.8
0.0,46.0,28.0,17.0,44.0,3.0,4.0,0,27.5,34.5,12.3,1006.9,1008.5
0.0,44.0,17.0,20.0,41.0,7.0,5.0,0,22.3,24.4,10.1,1015.6,1014.4
0.0,57.0,24.0,26.0,39.0,7.0,6.0,0,20.0,20.3,9.9,1017.0,1018.4
0.0,44.0,15.0,22.0,43.0,4.0,2.0,0,19.6,21.5,12.1,1022.7,1022.2
0.0,30.0,6.0,19.0,39.0,1.0,0.0,0,24.7,27.8,13.0,1021.7,1018.5
0.0,37.0,11.0,17.0,10.0,1.0,1.0,0,35.9,37.2,13.4,1013.8,1008.9
0.0,65.0,4.0,33.0,26.0,1.0,3.0,0,29.0,40.6,12.0,1005.5,1005.3
0.0,33.0,6.0,20.0,37.0,7.0,6.0,0,28.5,29.7,10.9,1010.3,1006.1
0.0,76.0,31.0,31.0,14.0,8.0,7.0,0,35.3,35.8,7.6,998.3,993.9
0.0,56.0,6.0,22.0,13.0,3.0,2.0,0,30.7,32.1,12.3,1008.2,1002.5
0.0,50.0,20.0,22.0,37.0,6.0,2.0,0,22.8,23.6,11.4,1007.7,1011.2
0.0,39.0,4.0,9.0,18.0,0.0,0.0,0,28.6,30.6,13.3,1018.3,1016.3
0.0,39.0,11.0,20.0,47.0,7.0,1.0,0,26.0,27.2,12.7,1022.0,1019.9
0.0,39.0,7.0,19.0,14.0,1.0,1.0,0,36.0,37.5,12.3,1017.6,1013.4
0.0,31.0,9.0,11.0,10.0,0.0,1.0,0,41.5,42.9,13.4,1012.2,1009.2
0.0,57.0,24.0,19.0,12.0,1.0,4.0,0,43.1,44.7,10.3,1011.4,1009.2
0.0,44.0,9.0,15.0,10.0,1.0,1.0,0,42.7,44.0,12.8,1011.9,1008.9
0.0,43.0,6.0,19.0,52.0,1.0,6.0,0,29.2,33.2,10.8,1013.4,1013.5
0.0,48.0,6.0,11.0,40.0,7.0,7.0,0,32.7,35.9,7.1,1016.4,1011.8
0.0,39.0,7.0,24.0,65.0,8.0,7.0,0,26.1,28.1,2.7,1012.1,1009.9
1.0,37.0,15.0,22.0,43.0,7.0,3.0,0,28.6,30.4,8.4,1012.7,1009.9
0.0,31.0,11.0,11.0,29.0,7.0,0.0,0,32.2,34.2,11.0,1009.3,1005.7
0.0,41.0,7.0,22.0,39.0,0.0,1.0,0,29.2,32.1,13.1,1005.7,1006.7
0.0,41.0,9.0,15.0,36.0,7.0,1.0,0,31.0,34.8,8.5,1010.7,1006.8
0.0,74.0,6.0,41.0,8.0,2.0,1.0,0,45.2,46.7,8.5,1003.0,998.2
1.0,37.0,7.0,17.0,64.0,7.0,7.0,0,19.2,21.7,2.3,1012.1,1013.9
0.0,46.0,13.0,26.0,33.0,6.0,4.0,0,20.1,20.8,9.0,1016.7,1015.9
0.0,54.0,17.0,31.0,39.0,4.0,6.0,0,18.1,20.0,10.0,1017.1,1016.5
0.0,44.0,19.0,26.0,48.0,7.0,7.0,0,17.2,19.0,0.7,1018.9,1018.9
