MinTemp,Rainfall,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Sunshine
15.2,0.0,62.0,36.0,3.0,6.0,0,28.7,34.0,9.2
18.3,0.0,61.0,57.0,3.0,2.0,0,23.4,24.5,9.4
16.8,0.4,60.0,58.0,7.0,7.0,0,21.7,23.5,0.4
17.5,0.0,60.0,51.0,1.0,1.0,0,26.4,27.8,12.0
14.8,0.0,67.0,39.0,2.0,3.0,0,33.8,36.0,11.9
18.6,0.0,68.0,49.0,1.0,1.0,0,29.2,33.7,13.0
19.7,0.0,81.0,40.0,4.0,7.0,0,33.8,35.5,5.3
20.7,0.0,83.0,79.0,7.0,8.0,0,21.8,23.8,0.1
17.6,1.4,61.0,51.0,8.0,6.0,1,21.9,23.0,1.9
13.3,0.0,57.0,46.0,6.0,6.0,0,22.9,24.9,10.1
12.9,0.0,56.0,45.0,2.0,2.0,0,26.6,27.9,11.7
16.1,0.0,64.0,61.0,1.0,2.0,0,27.1,28.2,13.0
16.6,0.0,62.0,50.0,1.0,1.0,0,27.7,28.2,13.1
16.7,0.0,67.0,33.0,0.0,1.0,0,34.5,35.2,13.1
17.1,0.0,51.0,15.0,0.0,2.0,0,40.5,42.0,11.8
19.3,6.0,80.0,64.0,7.0,1.0,1,25.1,26.2,7.2
18.8,0.0,57.0,52.0,7.0,6.0,0,20.9,23.2,2.8
11.5,0.0,69.0,45.0,1.0,1.0,0,23.1,24.2,11.8
11.1,0.0,59.0,46.0,7.0,7.0,0,26.3,30.0,10.0
14.0,0.0,59.0,34.0,2.0,2.0,0,33.3,34.9,13.3
20.5,0.0,69.0,40.0,5.0,6.0,0,33.6,38.8,7.2
21.8,0.0,67.0,84.0,7.0,7.0,0,24.9,28.8,1.3
20.1,1.0,62.0,44.0,1.0,5.0,0,33.3,35.7,12.2
22.8,0.0,60.0,32.0,2.0,6.0,0,38.9,40.8,9.5
18.6,10.4,72.0,68.0,7.0,7.0,1,22.1,23.5,0.0
19.1,1.0,99.0,87.0,7.0,7.0,0,24.0,24.5,0.0
20.0,0.4,86.0,69.0,7.0,3.0,0,27.3,27.9,10.4
16.7,0.0,82.0,52.0,3.0,1.0,0,29.5,30.3,12.3
17.6,0.0,74.0,60.0,3.0,1.0,0,29.0,31.7,12.8
16.7,0.0,57.0,53.0,0.0,1.0,0,30.3,32.3,12.9
19.0,0.0,61.0,44.0,1.0,3.0,0,32.2,33.7,12.0
18.1,0.0,66.0,47.0,0.0,1.0,0,30.0,31.7,12.5
18.5,0.0,74.0,53.0,3.0,6.0,0,28.7,30.9,12.1
17.1,0.0,66.0,52.0,4.0,3.0,0,30.4,31.9,10.0
19.9,0.0,86.0,54.0,4.0,2.0,0,30.1,31.0,11.5
19.2,0.0,70.0,44.0,0.0,1.0,0,34.0,34.2,12.5
20.5,0.0,66.0,28.0,0.0,0.0,0,36.6,38.1,12.5
22.8,0.0,43.0,26.0,2.0,0.0,0,35.8,38.4,12.8
18.3,0.0,57.0,38.0,1.0,3.0,0,34.8,35.2,12.9
18.8,0.0,84.0,72.0,6.0,3.0,0,24.1,26.3,9.7
19.2,0.0,90.0,83.0,8.0,8.0,0,21.9,22.4,0.0
17.1,15.0,89.0,80.0,8.0,8.0,1,20.6,23.8,2.0
16.4,11.0,76.0,77.0,6.0,7.0,1,20.1,23.1,1.5
15.6,31.2,90.0,49.0,7.0,7.0,1,23.1,24.5,4.0
