MinTemp,Rainfall,WindGustSpeed,WindSpeed9am,Humidity9am,Humidity3pm,RainToday,Temp3pm
14.939471074380165,3.594902749832327,45.6908422459893,16.618351063829788,67.66190634340751,65.12857142857143,0,19.934872135503152
14.939471074380165,3.594902749832327,45.6908422459893,16.618351063829788,67.66190634340751,65.12857142857143,0,19.934872135503152
14.939471074380165,3.594902749832327,70.0,16.618351063829788,67.66190634340751,63.0,0,23.9
15.7,0.4,39.0,20.0,67.0,65.0,0,19.5
18.0,0.0,41.0,22.0,79.0,75.0,0,23.4
18.6,0.2,44.0,6.0,57.0,81.0,0,21.2
17.9,0.6,50.0,28.0,67.0,80.0,0,20.4
15.3,11.2,54.0,11.0,79.0,77.0,1,20.4
17.1,3.0,57.0,15.0,74.0,78.0,1,22.9
17.8,0.0,59.0,44.0,77.0,80.0,0,18.5
15.6,15.0,33.0,13.0,93.0,72.0,1,17.9
16.3,3.4,67.0,28.0,89.0,94.0,1,17.5
16.1,48.4,91.0,22.0,84.0,30.0,1,31.2
18.2,0.0,85.0,30.0,43.0,33.0,0,24.6
15.4,0.6,56.0,31.0,47.0,54.0,0,19.7
14.8,0.0,39.0,9.0,62.0,67.0,0,22.1
16.3,0.0,50.0,9.0,74.0,80.0,0,20.9
17.3,0.0,67.0,13.0,73.0,79.0,0,22.5
14.8,0.8,56.0,9.0,52.0,61.0,0,18.9
14.1,0.0,56.0,26.0,58.0,73.0,0,17.1
12.8,0.0,35.0,6.0,59.0,61.0,0,21.1
16.4,0.0,63.0,31.0,63.0,67.0,0,21.7
18.5,0.0,52.0,19.0,74.0,82.0,0,22.4
17.8,1.2,43.0,20.0,78.0,92.0,1,17.8
17.4,0.2,24.0,13.0,85.0,68.0,0,22.4
18.2,0.0,48.0,19.0,80.0,80.0,0,23.6
20.3,0.0,54.0,24.0,87.0,87.0,0,21.7
19.4,6.0,48.0,13.0,77.0,77.0,1,23.8
19.4,0.0,44.0,31.0,76.0,78.0,0,20.7
16.4,2.6,41.0,9.0,78.0,77.0,1,22.4
18.4,0.0,44.0,11.0,30.0,57.0,0,23.9
17.2,0.0,70.0,9.0,56.0,51.0,0,25.8
17.7,0.0,54.0,17.0,67.0,67.0,0,17.4
16.5,0.0,33.0,15.0,60.0,61.0,0,19.7
18.0,0.0,63.0,28.0,65.0,72.0,0,22.6
18.9,0.0,37.0,22.0,76.0,71.0,0,25.0
17.5,0.0,28.0,13.0,82.0,75.0,0,24.1
19.5,0.0,52.0,13.0,77.0,85.0,0,22.0
18.9,0.4,52.0,26.0,86.0,82.0,0,18.4
16.0,0.6,46.0,26.0,69.0,53.0,0,20.6
16.3,0.6,43.0,7.0,50.0,54.0,0,22.4
16.3,0.0,46.0,19.0,67.0,67.0,0,23.3
18.8,1.0,39.0,20.0,82.0,77.0,0,22.5
19.1,0.2,57.0,11.0,77.0,73.0,0,23.7
19.9,0.0,39.0,22.0,79.0,74.0,0,24.5
21.1,0.0,76.0,19.0,62.0,66.0,0,25.2
15.8,0.0,52.0,13.0,65.0,62.0,0,24.2
15.1,2.0,50.0,31.0,58.0,54.0,1,19.3
14.0,0.0,33.0,9.0,54.0,53.0,0,23.3
17.9,0.0,57.0,19.0,60.0,67.0,0,22.6
18.7,0.0,61.0,19.0,74.0,70.0,0,23.3
20.7,0.0,59.0,9.0,66.0,66.0,0,25.4
20.6,5.2,63.0,20.0,61.0,41.0,1,31.8
21.4,0.0,37.0,15.0,81.0,75.0,0,23.1
21.5,1.2,85.0,19.0,67.0,13.0,1,39.2
19.1,0.0,39.0,17.0,62.0,56.0,0,23.7
19.4,0.0,39.0,9.0,74.0,74.0,0,24.1
19.3,5.6,37.0,11.0,93.0,89.0,1,21.4
19.9,0.0,50.0,19.0,83.0,76.0,0,24.5
19.3,0.0,54.0,9.0,81.0,78.0,0,24.6
19.8,0.0,52.0,13.0,81.0,74.0,0,24.9
19.8,0.0,44.0,13.0,84.0,73.0,0,24.7
19.3,0.0,31.0,19.0,89.0,80.0,0,23.8
20.7,0.0,52.0,17.0,87.0,73.0,0,25.1
19.9,0.0,48.0,11.0,81.0,80.0,0,22.8
21.0,0.0,24.0,7.0,85.0,73.0,0,25.5
20.3,0.0,43.0,11.0,84.0,73.0,0,25.5
20.7,0.0,31.0,9.0,84.0,73.0,0,26.2
21.1,0.0,56.0,11.0,81.0,66.0,0,25.9
20.0,0.0,56.0,26.0,80.0,71.0,0,23.7
19.2,0.0,48.0,26.0,85.0,84.0,0,19.1
16.6,3.2,54.0,11.0,85.0,88.0,1,17.8
16.8,1.4,81.0,26.0,74.0,73.0,1,20.3
14.5,12.6,52.0,26.0,87.0,69.0,1,19.0
15.5,1.4,56.0,37.0,62.0,60.0,1,20.2
16.7,0.4,52.0,33.0,71.0,81.0,0,19.0
16.4,31.6,61.0,20.0,94.0,84.0,1,20.5
17.7,23.2,61.0,41.0,70.0,67.0,1,21.6
18.0,7.2,52.0,9.0,90.0,72.0,1,21.4
18.3,16.8,63.0,35.0,93.0,68.0,1,23.6
18.3,0.0,33.0,9.0,76.0,77.0,0,22.8
18.5,5.8,30.0,7.0,78.0,73.0,1,24.5
19.9,2.8,37.0,9.0,92.0,81.0,1,21.3
17.6,7.6,30.0,9.0,82.0,72.0,1,23.8
20.4,0.0,57.0,20.0,72.0,77.0,0,24.8
20.4,0.4,39.0,19.0,62.0,76.0,0,23.0
19.2,0.0,37.0,9.0,82.0,74.0,0,23.3
18.3,0.0,48.0,19.0,64.0,58.0,0,21.8
17.5,0.0,30.0,11.0,70.0,57.0,0,22.6
17.4,0.0,35.0,7.0,66.0,69.0,0,24.3
