Rainfall,WindGustSpeed,WindSpeed3pm,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Pressure3pm,Sunshine,Pressure9am
0.0,54.0,26.0,56.0,18.0,0.0,0.0,0,1010.1,9.047932237169906,1010.9
0.0,52.0,19.0,46.0,13.0,0.0,0.0,0,1014.4,9.047932237169906,1016.4
0.0,31.0,11.0,14.0,6.0,0.0,0.0,0,1012.3,12.8,1015.7
0.0,43.0,20.0,12.0,2.0,0.0,1.0,0,1010.5,14.2,1012.2
0.0,41.0,11.0,29.0,5.0,0.0,0.0,0,1009.5,9.047932237169906,1012.5
0.0,54.0,19.0,35.0,8.0,0.0,2.0,0,1006.8,13.9,1010.6
0.0,57.0,26.0,61.0,20.0,0.0,0.0,0,1010.4,13.3,1011.1
0.0,56.0,24.0,45.0,14.0,0.0,1.0,0,1014.2,13.4,1015.8
0.0,41.0,9.0,28.0,11.0,1.0,0.0,0,1011.3,13.5,1014.5
0.0,43.0,9.0,38.0,11.0,0.0,1.0,0,1007.3,9.047932237169906,1009.8
0.0,44.0,7.0,42.0,15.0,1.0,0.0,0,1008.2,13.2,1009.9
0.0,43.0,11.0,33.0,8.0,0.0,0.0,0,1010.6,13.3,1013.1
0.0,48.0,15.0,9.0,4.0,0.0,0.0,0,1008.1,13.2,1010.4
0.0,50.0,17.0,43.0,13.0,0.0,0.0,0,1008.9,13.2,1010.3
0.0,52.0,31.0,58.0,21.0,3.0,1.0,0,1015.2,11.4,1016.4
0.0,52.0,24.0,51.0,12.0,0.0,0.0,0,1018.0,13.3,1019.7
0.0,44.0,17.0,31.0,8.0,1.0,0.0,0,1016.3,13.3,1019.3
0.0,31.0,7.0,12.0,8.0,0.0,1.0,0,1013.0,13.5,1016.3
0.0,37.0,7.0,11.0,6.0,1.0,1.0,0,1008.3,13.5,1011.9
0.0,50.0,13.0,26.0,10.0,0.0,2.0,0,1007.0,12.1,1009.7
0.0,54.0,15.0,59.0,23.0,1.0,1.0,0,1006.6,13.0,1010.5
0.0,74.0,24.0,12.0,7.0,1.0,1.0,0,1004.1,13.2,1005.6
0.0,61.0,20.0,58.0,12.0,0.0,1.0,0,1005.0,13.0,1008.8
0.0,48.0,11.0,60.0,25.0,6.0,1.0,0,1012.1,13.0,1012.7
0.0,39.0,6.0,38.0,12.0,1.0,1.0,0,1013.4,13.0,1015.1
0.0,44.0,28.0,22.0,4.0,1.0,1.0,0,1012.5,13.1,1015.9
0.0,46.0,6.0,9.0,7.0,1.0,7.0,0,1008.4,12.4,1011.3
0.0,54.0,24.0,23.0,16.0,1.0,1.0,0,1005.6,12.4,1007.8
0.0,57.0,15.0,20.0,12.0,0.0,1.0,0,1007.1,12.9,1009.3
0.0,57.0,17.0,21.0,9.0,0.0,1.0,0,1006.8,13.0,1009.4
0.0,54.0,28.0,19.0,8.0,3.0,1.0,0,1008.6,11.4,1011.5
0.0,56.0,17.0,18.0,10.0,1.0,1.0,0,1008.8,12.9,1011.6
0.0,52.0,6.0,25.0,10.0,1.0,2.0,0,1006.4,10.4,1009.5
0.0,44.0,7.0,37.0,12.0,1.0,1.0,0,1005.0,12.4,1008.2
0.0,46.0,20.0,34.0,10.0,0.0,0.0,0,1004.4,12.8,1006.8
0.0,65.0,20.0,25.0,8.0,0.0,0.0,0,1005.0,12.8,1007.0
0.0,52.0,17.0,21.0,7.0,1.0,0.0,0,1002.7,12.6,1005.3
0.0,61.0,22.0,18.0,7.0,1.0,1.0,0,1003.0,12.6,1004.4
0.0,67.0,31.0,54.0,25.0,1.0,1.0,0,1009.5,12.1,1009.8
